ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1656,60,189,7,3,1391
HT4BTJT00127,joaquim-MS-7996,1800,49,229,5,1,1514
HT4BVJT00003,joaquim-MS-7996,3018,12,221,1384,0,1387
HT4BVJT00003,joaquim-MS-7996,2797,17,163,1260,0,1353
HT4CWJT00250,joaquim-MS-7996,2257,30,188,655,0,1373
HT4BVJT00189,joaquim-MS-7996,1730,72,270,5,1,1376
HT4BVJT00003,joaquim-MS-7996,1590,62,149,6,0,1363
HT4BVJT00003,joaquim-MS-7996,1646,26,178,8,2,1416
HT4CWJT00250,joaquim-MS-7996,2378,30,109,886,0,1349
HT4BTJT00127,joaquim-MS-7996,1557,33,160,6,1,1362
HT4CWJT00250,joaquim-MS-7996,1608,60,164,6,1,1372
HT4BVJT00003,joaquim-MS-7996,2159,55,152,600,0,1345
HT4BVJT00189,joaquim-MS-7996,1621,55,176,7,1,1370
HT4BVJT00189,joaquim-MS-7996,1582,51,180,2,0,1340
HT4CWJT00250,joaquim-MS-7996,1546,21,135,4,1,1375
HT4BTJT00127,joaquim-MS-7996,1575,40,161,5,1,1366
HT4BTJT00127,joaquim-MS-7996,1510,28,100,4,1,1367
HT4BTJT00127,joaquim-MS-7996,1481,37,77,4,1,1357
HT4CWJT00250,joaquim-MS-7996,1588,44,137,6,1,1400
HT4BVJT00003,joaquim-MS-7996,2829,15,123,1326,1,1338
HT4CWJT00250,joaquim-MS-7996,3979,8,133,2468,1,1360
HT4CWJT00250,joaquim-MS-7996,2820,29,109,1329,0,1342
HT4BTJT00127,joaquim-MS-7996,3638,62,127,2104,0,1340
HT4BVJT00003,joaquim-MS-7996,4543,26,161,2998,1,1341
HT4CWJT00250,joaquim-MS-7996,1555,55,122,5,1,1366
HT4BTJT00127,joaquim-MS-7996,1517,20,112,5,1,1367
HT4BVJT00189,joaquim-MS-7996,2563,49,145,1013,1,1346
HT4BVJT00189,joaquim-MS-7996,3083,12,302,1385,1,1354
HT4BVJT00189,joaquim-MS-7996,1644,28,215,3,0,1397
HT4BVJT00189,joaquim-MS-7996,3799,51,179,2202,1,1359
HT4BVJT00003,joaquim-MS-7996,2925,22,138,1399,0,1355
HT4BVJT00003,joaquim-MS-7996,1599,32,190,5,1,1369
HT4BVJT00189,joaquim-MS-7996,2897,42,178,1327,1,1348
HT4BVJT00189,joaquim-MS-7996,2380,43,153,833,0,1347
HT4BVJT00189,joaquim-MS-7996,3185,11,173,1632,1,1360
HT4BVJT00003,joaquim-MS-7996,3722,50,137,2190,0,1346
HT4BVJT00189,joaquim-MS-7996,1586,20,152,6,1,1382
HT4BVJT00189,joaquim-MS-7996,1615,54,170,6,1,1377
HT4CWJT00250,joaquim-MS-7996,1501,15,108,4,1,1367
HT4BVJT00189,joaquim-MS-7996,1536,11,160,3,0,1352
HT4BVJT00189,joaquim-MS-7996,1565,21,145,6,1,1388
HT4BVJT00189,joaquim-MS-7996,1617,61,165,8,0,1380
HT4BVJT00189,joaquim-MS-7996,2110,57,157,537,1,1349
HT4BVJT00189,joaquim-MS-7996,3149,10,125,1639,0,1370
HT4BVJT00189,joaquim-MS-7996,4113,32,156,2563,0,1343
HT4BTJT00127,joaquim-MS-7996,1595,59,154,7,1,1373
HT4BVJT00003,joaquim-MS-7996,1715,21,201,6,3,1410
HT4BTJT00127,joaquim-MS-7996,1642,19,178,2,1,1374
HT4BVJT00003,joaquim-MS-7996,2687,58,166,1093,1,1358
HT4BVJT00003,joaquim-MS-7996,2508,47,180,934,0,1342
HT4CWJT00250,joaquim-MS-7996,1965,25,198,369,0,1351
HT4BVJT00189,joaquim-MS-7996,1611,80,159,6,1,1364
HT4BVJT00003,joaquim-MS-7996,1573,48,119,5,1,1374
HT4BVJT00003,joaquim-MS-7996,1671,52,207,7,2,1373
HT4CWJT00250,joaquim-MS-7996,2372,27,129,864,0,1347
HT4BTJT00127,joaquim-MS-7996,1536,14,139,5,1,1372
HT4CWJT00250,joaquim-MS-7996,1573,10,151,6,1,1392
HT4BVJT00003,joaquim-MS-7996,2039,26,134,530,0,1338
HT4BVJT00189,joaquim-MS-7996,1625,36,181,5,1,1370
HT4BVJT00189,joaquim-MS-7996,1642,18,173,3,0,1347
HT4CWJT00250,joaquim-MS-7996,1521,9,125,5,1,1367
HT4BTJT00127,joaquim-MS-7996,1582,25,177,6,1,1372
HT4BTJT00127,joaquim-MS-7996,1521,16,123,5,0,1371
HT4BTJT00127,joaquim-MS-7996,1462,12,70,4,0,1375
HT4CWJT00250,joaquim-MS-7996,1604,37,170,6,0,1389
HT4BVJT00003,joaquim-MS-7996,2899,45,201,1314,1,1341
HT4CWJT00250,joaquim-MS-7996,4129,11,163,2558,1,1357
HT4CWJT00250,joaquim-MS-7996,2900,22,89,1442,0,1343
HT4BTJT00127,joaquim-MS-7996,3770,23,116,2261,0,1341
HT4BVJT00003,joaquim-MS-7996,4657,27,147,3110,1,1360
HT4CWJT00250,joaquim-MS-7996,1541,21,127,6,0,1374
HT4BTJT00127,joaquim-MS-7996,1624,26,115,4,1,1385
HT4BVJT00189,joaquim-MS-7996,2595,16,144,1079,1,1346
HT4BVJT00189,joaquim-MS-7996,3028,40,272,1359,1,1346
HT4BVJT00189,joaquim-MS-7996,1664,42,234,1,1,1387
HT4BVJT00189,joaquim-MS-7996,3842,56,151,2263,1,1357
HT4BVJT00003,joaquim-MS-7996,3020,20,130,1525,0,1336
HT4BVJT00003,joaquim-MS-7996,1628,43,155,3,0,1356
HT4BVJT00189,joaquim-MS-7996,2781,68,126,1231,0,1347
HT4BVJT00189,joaquim-MS-7996,2320,35,151,774,0,1354
