ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1463,72,48,4,0,1320
HT4BTJT00127,joaquim-MS-7996,1552,30,76,4,1,1440
HT4BVJT00003,joaquim-MS-7996,2761,17,44,1333,0,1289
HT4CWJT00250,joaquim-MS-7996,1462,19,78,4,1,1346
HT4BVJT00189,joaquim-MS-7996,1471,54,45,3,1,1315
HT4CWJT00250,joaquim-MS-7996,1436,46,49,4,1,1325
HT4BTJT00127,joaquim-MS-7996,1511,78,72,3,1,1309
HT4CWJT00250,joaquim-MS-7996,1395,19,51,3,1,1315
HT4BVJT00189,joaquim-MS-7996,1462,68,50,3,0,1332
HT4BVJT00189,joaquim-MS-7996,1420,27,55,4,0,1321
HT4CWJT00250,joaquim-MS-7996,1473,21,56,4,0,1379
HT4BVJT00003,joaquim-MS-7996,1982,77,48,548,1,1300
HT4BTJT00127,joaquim-MS-7996,1474,34,42,3,1,1318
HT4BTJT00127,joaquim-MS-7996,1422,43,47,3,1,1324
HT4BVJT00189,joaquim-MS-7996,1494,32,59,2,0,1319
HT4BVJT00189,joaquim-MS-7996,1506,42,47,4,0,1313
HT4CWJT00250,joaquim-MS-7996,2089,28,55,709,0,1289
HT4CWJT00250,joaquim-MS-7996,3053,71,47,1624,0,1297
HT4CWJT00250,joaquim-MS-7996,1838,109,49,363,0,1305
HT4BVJT00189,joaquim-MS-7996,1561,76,28,159,0,1293
HT4BVJT00003,joaquim-MS-7996,1443,37,83,1,0,1296
HT4BVJT00003,joaquim-MS-7996,1409,38,48,4,0,1319
HT4BVJT00189,joaquim-MS-7996,1840,62,74,393,0,1302
HT4BVJT00189,joaquim-MS-7996,1347,20,36,1,0,1289
HT4BVJT00189,joaquim-MS-7996,2091,30,31,724,1,1298
HT4CWJT00250,joaquim-MS-7996,2474,15,46,1115,0,1294
HT4BTJT00127,joaquim-MS-7996,1415,19,50,3,1,1332
HT4BVJT00189,joaquim-MS-7996,1470,15,71,2,0,1382
HT4BVJT00189,joaquim-MS-7996,1444,67,39,4,0,1318
HT4BVJT00003,joaquim-MS-7996,2663,62,36,1251,0,1304
HT4BTJT00127,joaquim-MS-7996,3762,26,41,2413,0,1283
HT4BVJT00189,joaquim-MS-7996,5004,34,67,3481,0,1296
HT4BVJT00189,joaquim-MS-7996,3093,64,53,1675,0,1304
HT4BVJT00189,joaquim-MS-7996,1418,32,45,27,0,1300
HT4BVJT00189,joaquim-MS-7996,1824,44,75,407,0,1290
HT4BVJT00189,joaquim-MS-7996,2773,28,58,1378,0,1292
HT4BTJT00127,joaquim-MS-7996,1452,11,53,3,1,1340
HT4BTJT00127,joaquim-MS-7996,2583,56,20,1201,0,1301
HT4BTJT00127,joaquim-MS-7996,2452,53,59,1020,0,1291
HT4BVJT00189,joaquim-MS-7996,1569,25,69,3,1,1467
HT4BVJT00003,joaquim-MS-7996,2555,29,44,1194,0,1286
HT4CWJT00250,joaquim-MS-7996,2896,17,66,1508,0,1296
HT4BVJT00189,joaquim-MS-7996,2026,43,36,526,1,1311
HT4BVJT00003,joaquim-MS-7996,2761,80,87,1304,0,1292
HT4BVJT00189,joaquim-MS-7996,1463,56,66,4,0,1334
HT4BVJT00003,joaquim-MS-7996,1411,26,48,5,0,1321
HT4BTJT00127,joaquim-MS-7996,1551,19,81,5,1,1433
HT4BVJT00003,joaquim-MS-7996,2676,18,47,1307,0,1292
HT4CWJT00250,joaquim-MS-7996,1495,59,82,4,0,1333
HT4BVJT00189,joaquim-MS-7996,1422,36,65,4,0,1312
HT4CWJT00250,joaquim-MS-7996,1418,24,49,4,1,1330
HT4BTJT00127,joaquim-MS-7996,1444,54,59,4,0,1326
HT4CWJT00250,joaquim-MS-7996,1426,56,43,3,0,1318
HT4BVJT00189,joaquim-MS-7996,1420,16,57,4,0,1339
HT4BVJT00189,joaquim-MS-7996,1450,34,64,4,0,1347
HT4CWJT00250,joaquim-MS-7996,1450,38,82,3,1,1327
HT4BVJT00003,joaquim-MS-7996,1979,90,42,541,0,1296
HT4BTJT00127,joaquim-MS-7996,1408,25,43,3,1,1335
HT4BTJT00127,joaquim-MS-7996,1368,14,47,2,0,1301
HT4BVJT00189,joaquim-MS-7996,1381,15,49,2,0,1310
HT4BVJT00189,joaquim-MS-7996,1416,54,48,3,1,1305
HT4CWJT00250,joaquim-MS-7996,2022,23,63,648,0,1290
HT4CWJT00250,joaquim-MS-7996,3048,20,42,1690,0,1292
HT4CWJT00250,joaquim-MS-7996,1811,18,51,428,0,1309
HT4BVJT00189,joaquim-MS-7996,1783,60,42,291,0,1287
HT4BVJT00003,joaquim-MS-7996,1409,29,64,1,0,1314
HT4BVJT00003,joaquim-MS-7996,1402,17,47,3,1,1329
HT4BVJT00189,joaquim-MS-7996,1939,48,56,513,0,1304
HT4BVJT00189,joaquim-MS-7996,1538,47,68,1,0,1361
HT4BVJT00189,joaquim-MS-7996,2236,76,45,789,0,1320
HT4CWJT00250,joaquim-MS-7996,2627,17,49,1252,0,1299
HT4BTJT00127,joaquim-MS-7996,1448,44,60,4,0,1335
HT4BVJT00189,joaquim-MS-7996,1548,50,96,4,0,1396
HT4BVJT00189,joaquim-MS-7996,1445,26,38,4,0,1373
HT4BVJT00003,joaquim-MS-7996,2541,78,46,1095,0,1297
HT4BTJT00127,joaquim-MS-7996,3709,38,33,2333,0,1294
HT4BVJT00189,joaquim-MS-7996,4831,27,52,3463,0,1286
HT4BVJT00189,joaquim-MS-7996,3064,31,58,1671,1,1296
HT4BVJT00189,joaquim-MS-7996,1465,38,58,1,0,1364
HT4BVJT00189,joaquim-MS-7996,1908,17,49,531,0,1302
HT4BVJT00189,joaquim-MS-7996,2930,47,57,1438,0,1288
HT4BTJT00127,joaquim-MS-7996,1404,14,50,3,1,1327
HT4BTJT00127,joaquim-MS-7996,2504,28,26,1159,0,1289
HT4BTJT00127,joaquim-MS-7996,2364,24,60,983,0,1294
HT4BVJT00189,joaquim-MS-7996,1539,26,74,4,0,1431
HT4BVJT00003,joaquim-MS-7996,2509,73,48,1091,0,1289
HT4CWJT00250,joaquim-MS-7996,2929,29,106,1452,0,1310
HT4BVJT00189,joaquim-MS-7996,1865,27,55,484,0,1293
HT4BVJT00003,joaquim-MS-7996,2762,19,56,1385,0,1288
HT4BVJT00189,joaquim-MS-7996,1423,22,75,3,0,1317
HT4BVJT00003,joaquim-MS-7996,1435,57,46,5,0,1314
HT4BTJT00127,joaquim-MS-7996,1578,30,71,4,0,1464
HT4BVJT00003,joaquim-MS-7996,2711,64,40,1296,1,1297
HT4CWJT00250,joaquim-MS-7996,1454,19,75,5,1,1338
HT4BVJT00189,joaquim-MS-7996,1431,49,56,3,0,1320
HT4CWJT00250,joaquim-MS-7996,1432,17,59,3,1,1341
HT4BTJT00127,joaquim-MS-7996,1439,55,46,3,1,1317
HT4CWJT00250,joaquim-MS-7996,1410,30,49,3,1,1322
HT4BVJT00189,joaquim-MS-7996,1442,57,49,4,0,1332
HT4BVJT00189,joaquim-MS-7996,1440,50,52,4,0,1330
HT4CWJT00250,joaquim-MS-7996,1519,17,67,4,0,1332
HT4BVJT00003,joaquim-MS-7996,1996,85,43,563,0,1301
HT4BTJT00127,joaquim-MS-7996,1453,30,31,3,0,1364
HT4BTJT00127,joaquim-MS-7996,1391,12,43,4,0,1322
HT4BVJT00189,joaquim-MS-7996,1475,54,47,1,0,1374
HT4BVJT00189,joaquim-MS-7996,1413,37,44,4,0,1325
HT4CWJT00250,joaquim-MS-7996,2042,22,50,650,0,1308
HT4CWJT00250,joaquim-MS-7996,3017,39,42,1636,1,1289
HT4CWJT00250,joaquim-MS-7996,1893,17,57,392,0,1309
HT4BVJT00189,joaquim-MS-7996,1653,32,32,300,0,1288
