ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2157,22,469,16,5,1586
HT4BTJT00127,joaquim-MS-7996,2221,21,555,76,3,1553
HT4CWJT00250,joaquim-MS-7996,2243,10,526,13,7,1563
HT4BVJT00003,joaquim-MS-7996,1939,10,298,11,2,1551
HT4BVJT00189,joaquim-MS-7996,2146,14,518,16,4,1554
HT4CWJT00250,joaquim-MS-7996,1807,16,238,2,1,1519
HT4BTJT00127,joaquim-MS-7996,1955,45,280,9,8,1533
HT4CWJT00250,joaquim-MS-7996,2021,42,373,24,1,1566
HT4BVJT00003,joaquim-MS-7996,3294,12,420,1332,4,1520
HT4BVJT00189,joaquim-MS-7996,1897,45,280,13,1,1539
HT4BVJT00189,joaquim-MS-7996,1912,10,362,17,1,1525
HT4CWJT00250,joaquim-MS-7996,1988,45,375,19,2,1534
HT4BTJT00127,joaquim-MS-7996,1998,46,400,8,2,1529
HT4BTJT00127,joaquim-MS-7996,1970,12,317,11,11,1606
HT4BTJT00127,joaquim-MS-7996,1926,28,290,22,2,1522
HT4CWJT00250,joaquim-MS-7996,1915,10,315,8,6,1563
HT4CWJT00250,joaquim-MS-7996,3167,11,172,1448,1,1521
HT4CWJT00250,joaquim-MS-7996,2122,47,228,318,1,1515
HT4BTJT00127,joaquim-MS-7996,3151,16,216,1394,1,1514
HT4CWJT00250,joaquim-MS-7996,2036,17,366,13,3,1545
HT4BTJT00127,joaquim-MS-7996,1880,8,316,5,3,1542
HT4BVJT00189,joaquim-MS-7996,3125,20,383,1173,1,1541
HT4BVJT00003,joaquim-MS-7996,3449,49,378,1451,1,1553
HT4BVJT00189,joaquim-MS-7996,2985,38,557,848,1,1528
HT4BVJT00189,joaquim-MS-7996,4476,41,612,2285,1,1534
HT4BVJT00189,joaquim-MS-7996,5436,16,289,3598,1,1523
HT4BVJT00189,joaquim-MS-7996,1896,14,326,9,8,1540
HT4BVJT00189,joaquim-MS-7996,2089,13,431,17,3,1621
HT4BVJT00189,joaquim-MS-7996,3110,13,373,1184,2,1531
HT4BVJT00003,joaquim-MS-7996,1931,12,354,14,6,1554
HT4BVJT00189,joaquim-MS-7996,2015,43,321,12,5,1615
HT4BVJT00003,joaquim-MS-7996,1971,17,357,18,1,1555
HT4CWJT00250,joaquim-MS-7996,1990,92,271,14,2,1542
HT4BVJT00003,joaquim-MS-7996,2914,8,363,997,1,1546
HT4BVJT00003,joaquim-MS-7996,2456,42,225,673,0,1520
HT4BVJT00003,joaquim-MS-7996,2038,51,397,23,2,1546
HT4BVJT00189,joaquim-MS-7996,2186,15,416,220,2,1529
HT4BVJT00189,joaquim-MS-7996,1970,48,355,12,2,1547
HT4BTJT00127,joaquim-MS-7996,2187,11,567,20,3,1554
HT4BVJT00189,joaquim-MS-7996,3513,38,524,1414,1,1523
HT4BVJT00003,joaquim-MS-7996,2095,49,438,14,4,1579
HT4BTJT00127,joaquim-MS-7996,2222,86,505,80,3,1552
HT4CWJT00250,joaquim-MS-7996,2198,79,506,11,2,1574
