ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10139,35,90,19,4,9990
HT4BTJT00127,HT4BTJT00127,10722,23,228,205,3,10441
HT4BVJT00003,HT4BVJT00003,18124,20,56,8478,3,9593
HT4BVJT00003,HT4BVJT00003,26450,42,61,16501,6,9879
HT4CWJT00250,HT4CWJT00250,9886,35,73,21,3,9797
HT4BVJT00189,HT4BVJT00189,10631,25,59,16,2,10561
HT4BVJT00003,HT4BVJT00189,15165,20,195,4858,3,10122
HT4BVJT00003,HT4BVJT00189,23673,11,217,13100,3,10339
HT4CWJT00250,HT4BVJT00189,33394,58,192,22836,2,10334
HT4BTJT00127,joaquim-MS-7996,1780,24,216,19,2,1511
HT4CWJT00250,joaquim-MS-7996,2210,14,196,7,3,1985
HT4BVJT00003,joaquim-MS-7996,2972,25,150,1336,0,1456
HT4BVJT00189,joaquim-MS-7996,1683,13,240,2,1,1426
HT4BVJT00189,joaquim-MS-7996,1657,17,212,7,2,1417
HT4CWJT00250,joaquim-MS-7996,1525,17,148,1,1,1349
HT4BTJT00127,joaquim-MS-7996,1590,29,168,2,0,1382
HT4BTJT00127,joaquim-MS-7996,1562,59,107,7,1,1384
HT4BTJT00127,joaquim-MS-7996,1552,52,73,4,0,1411
HT4CWJT00250,joaquim-MS-7996,1783,49,171,2,1,1557
HT4BVJT00003,joaquim-MS-7996,3148,15,158,1459,0,1514
HT4CWJT00250,joaquim-MS-7996,4651,9,174,2818,1,1637
HT4CWJT00250,joaquim-MS-7996,3558,21,135,1945,0,1460
HT4BTJT00127,joaquim-MS-7996,4495,16,143,2907,1,1429
HT4BVJT00003,joaquim-MS-7996,5508,52,238,3765,1,1471
HT4CWJT00250,joaquim-MS-7996,1703,17,113,3,0,1564
HT4BTJT00127,joaquim-MS-7996,1695,29,111,2,1,1544
HT4BVJT00189,joaquim-MS-7996,2931,61,239,1078,1,1542
HT4BVJT00189,joaquim-MS-7996,3250,31,406,1372,1,1439
HT4BVJT00189,joaquim-MS-7996,1788,25,350,8,0,1408
HT4BVJT00189,joaquim-MS-7996,4318,22,234,2402,1,1644
HT4BVJT00003,joaquim-MS-7996,3706,18,150,1919,0,1595
HT4BVJT00003,joaquim-MS-7996,1684,53,226,4,1,1406
HT4BVJT00189,joaquim-MS-7996,3121,47,202,1376,0,1485
HT4BVJT00189,joaquim-MS-7996,3172,29,215,1028,1,1899
HT4BVJT00189,joaquim-MS-7996,4313,47,218,2339,1,1699
HT4BVJT00003,joaquim-MS-7996,5283,43,137,3326,0,1754
HT4BVJT00189,joaquim-MS-7996,2044,38,164,4,1,1825
HT4BVJT00189,joaquim-MS-7996,1608,12,172,3,0,1415
HT4CWJT00250,joaquim-MS-7996,1658,13,130,1,1,1508
HT4BVJT00189,joaquim-MS-7996,2014,12,141,9,2,1831
HT4BVJT00189,joaquim-MS-7996,1710,41,156,8,1,1490
HT4BVJT00189,joaquim-MS-7996,2033,9,201,10,0,1814
HT4BVJT00189,joaquim-MS-7996,2488,33,170,927,0,1357
HT4BVJT00189,joaquim-MS-7996,3543,19,156,1990,0,1366
HT4BVJT00189,joaquim-MS-7996,4556,10,162,2982,0,1387
HT4BTJT00127,joaquim-MS-7996,1902,41,158,6,1,1681
HT4BVJT00003,HT4BVJT00003,10044,63,67,28,2,9913
HT4BTJT00127,HT4BTJT00127,11128,37,121,656,2,10347
HT4BVJT00003,HT4BVJT00003,17840,48,28,8374,4,9391
HT4BVJT00003,HT4BVJT00003,25847,12,59,16246,3,9565
HT4CWJT00250,HT4CWJT00250,9813,17,32,20,3,9740
HT4BVJT00189,HT4BVJT00189,10735,59,18,15,2,10637
HT4BVJT00003,HT4BVJT00189,15206,19,182,4926,4,10047
HT4BVJT00003,HT4BVJT00189,23756,61,311,12973,4,10398
HT4CWJT00250,joaquim-MS-7996,1731,22,164,24,2,1514
HT4BTJT00127,joaquim-MS-7996,1618,20,169,7,2,1417
HT4CWJT00250,joaquim-MS-7996,1639,18,170,7,2,1433
HT4BVJT00003,joaquim-MS-7996,2224,32,183,631,0,1381
HT4BVJT00189,joaquim-MS-7996,1613,12,200,6,1,1391
HT4BVJT00189,joaquim-MS-7996,1566,18,164,4,1,1375
HT4CWJT00250,joaquim-MS-7996,1554,16,144,4,1,1386
HT4BTJT00127,joaquim-MS-7996,1598,44,154,7,1,1387
HT4BTJT00127,joaquim-MS-7996,1513,24,119,2,0,1357
HT4BTJT00127,joaquim-MS-7996,1511,52,72,4,1,1375
HT4CWJT00250,joaquim-MS-7996,1590,21,156,5,1,1415
HT4BVJT00003,joaquim-MS-7996,2901,16,138,1327,1,1406
HT4CWJT00250,joaquim-MS-7996,4153,15,174,2532,1,1421
HT4CWJT00250,joaquim-MS-7996,2996,19,110,1494,0,1372
HT4BTJT00127,joaquim-MS-7996,3850,43,109,2311,1,1372
HT4BVJT00003,joaquim-MS-7996,4788,93,159,3135,1,1377
HT4CWJT00250,joaquim-MS-7996,1565,49,124,6,0,1383
HT4BTJT00127,joaquim-MS-7996,1622,64,122,4,1,1414
HT4BVJT00189,joaquim-MS-7996,2703,59,183,1058,1,1399
HT4BVJT00189,joaquim-MS-7996,3160,9,303,1423,0,1393
HT4BVJT00189,joaquim-MS-7996,1679,12,234,6,0,1421
HT4BVJT00189,joaquim-MS-7996,3887,81,197,2231,0,1381
HT4BVJT00003,joaquim-MS-7996,3069,61,181,1403,0,1372
HT4BVJT00003,joaquim-MS-7996,1612,25,180,4,0,1396
HT4BVJT00189,joaquim-MS-7996,2951,71,171,1298,0,1409
HT4BVJT00189,joaquim-MS-7996,2579,12,199,872,0,1487
HT4BVJT00189,joaquim-MS-7996,3544,55,276,1696,0,1513
HT4BVJT00003,joaquim-MS-7996,4326,17,157,2584,0,1558
HT4BVJT00189,joaquim-MS-7996,1793,18,207,2,1,1538
HT4BVJT00189,joaquim-MS-7996,1905,16,264,6,0,1608
HT4CWJT00250,joaquim-MS-7996,2464,48,127,5,1,2274
