ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10570,45,51,12,1,10493
HT4BTJT00127,HT4BTJT00127,10190,46,34,36,5,10072
HT4BVJT00003,HT4BVJT00003,18365,78,22,8868,2,9400
HT4CWJT00250,HT4CWJT00250,9764,47,28,27,3,9663
HT4BVJT00189,HT4BVJT00189,10473,10,10,15,5,10428
HT4CWJT00250,joaquim-MS-7996,1676,65,65,23,1,1511
HT4BTJT00127,joaquim-MS-7996,1451,35,56,4,1,1348
HT4CWJT00250,joaquim-MS-7996,1491,81,58,3,1,1342
HT4BVJT00189,joaquim-MS-7996,1460,42,63,5,0,1343
HT4BVJT00189,joaquim-MS-7996,1427,34,51,4,0,1332
HT4CWJT00250,joaquim-MS-7996,1488,13,59,4,1,1401
HT4BVJT00003,joaquim-MS-7996,2057,56,42,589,1,1363
HT4BTJT00127,joaquim-MS-7996,1473,43,36,3,1,1370
HT4BTJT00127,joaquim-MS-7996,1498,75,50,4,0,1372
HT4BVJT00189,joaquim-MS-7996,1503,48,43,51,0,1353
HT4BVJT00189,joaquim-MS-7996,1458,44,52,2,0,1360
HT4CWJT00250,joaquim-MS-7996,2177,16,48,780,0,1324
HT4CWJT00250,joaquim-MS-7996,3236,52,40,1777,0,1355
HT4CWJT00250,joaquim-MS-7996,2043,45,49,598,0,1352
HT4BVJT00189,joaquim-MS-7996,1897,56,26,459,0,1340
HT4BVJT00003,joaquim-MS-7996,1694,16,59,268,0,1339
HT4BVJT00003,joaquim-MS-7996,1480,58,49,3,1,1356
HT4BVJT00189,joaquim-MS-7996,1999,100,61,479,0,1359
HT4BVJT00189,joaquim-MS-7996,1552,30,44,60,0,1408
HT4BVJT00189,joaquim-MS-7996,2337,74,45,875,0,1347
HT4CWJT00250,joaquim-MS-7996,2756,19,47,1347,0,1340
HT4BTJT00127,joaquim-MS-7996,1496,26,81,4,1,1381
HT4BVJT00189,joaquim-MS-7996,1501,51,76,6,1,1353
HT4BVJT00189,joaquim-MS-7996,1495,58,30,2,1,1397
HT4BVJT00003,joaquim-MS-7996,2775,18,29,1316,0,1333
HT4BTJT00127,joaquim-MS-7996,3855,16,38,2463,0,1336
HT4BVJT00189,joaquim-MS-7996,5024,49,55,3558,0,1343
HT4BVJT00189,joaquim-MS-7996,3320,51,50,1832,0,1380
HT4BVJT00189,joaquim-MS-7996,1661,48,54,164,0,1391
HT4BVJT00189,joaquim-MS-7996,2154,54,57,653,0,1387
HT4BVJT00189,joaquim-MS-7996,3163,50,61,1718,1,1342
HT4BTJT00127,joaquim-MS-7996,1499,102,57,3,1,1316
HT4BTJT00127,joaquim-MS-7996,2724,45,27,1314,0,1330
HT4BTJT00127,joaquim-MS-7996,2634,61,69,1148,0,1351
HT4BVJT00189,joaquim-MS-7996,1477,45,56,1,0,1366
HT4BVJT00003,joaquim-MS-7996,2608,17,42,1199,0,1325
HT4CWJT00250,joaquim-MS-7996,2840,66,96,1324,0,1352
HT4BVJT00189,joaquim-MS-7996,1966,52,44,522,0,1346
HT4BVJT00003,joaquim-MS-7996,2985,58,78,1463,0,1377
HT4BVJT00189,joaquim-MS-7996,1503,75,63,3,0,1359
HT4BVJT00003,HT4BVJT00003,10001,36,17,24,2,9919
HT4BTJT00127,HT4BTJT00127,10371,20,69,24,6,10289
HT4BVJT00003,HT4BVJT00003,17813,50,15,8447,2,9302
