ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10270,21,103,16,4,10139
HT4BTJT00127,HT4BTJT00127,10646,61,119,34,5,10458
HT4CWJT00250,HT4CWJT00250,9987,43,87,39,4,9839
HT4BVJT00003,HT4BVJT00003,10240,46,125,651,4,9454
HT4BVJT00189,HT4BVJT00189,10857,11,100,25,7,10742
HT4CWJT00250,HT4BVJT00189,13008,7,406,2475,4,10161
HT4BTJT00127,joaquim-MS-7996,2116,18,348,22,3,1733
HT4CWJT00250,joaquim-MS-7996,2147,30,554,10,3,1554
HT4BVJT00003,joaquim-MS-7996,3470,12,542,1360,1,1542
HT4BVJT00189,joaquim-MS-7996,2014,16,365,11,1,1578
HT4BVJT00189,joaquim-MS-7996,2297,42,614,12,3,1573
HT4CWJT00250,joaquim-MS-7996,1957,17,386,4,1,1538
HT4BTJT00127,joaquim-MS-7996,1998,41,415,12,1,1533
HT4BTJT00127,joaquim-MS-7996,1923,8,302,5,2,1546
HT4BTJT00127,joaquim-MS-7996,2015,42,301,4,1,1532
HT4CWJT00250,joaquim-MS-7996,1879,16,304,10,3,1542
HT4CWJT00250,joaquim-MS-7996,3113,17,170,1382,1,1547
HT4CWJT00250,joaquim-MS-7996,2144,13,250,331,1,1548
HT4BTJT00127,joaquim-MS-7996,3125,62,241,1293,2,1532
HT4CWJT00250,joaquim-MS-7996,1941,9,376,17,1,1535
HT4BTJT00127,joaquim-MS-7996,1955,47,323,11,1,1569
HT4BVJT00189,joaquim-MS-7996,3129,20,416,1135,1,1542
HT4BVJT00003,joaquim-MS-7996,3571,14,351,1608,1,1605
HT4BVJT00189,joaquim-MS-7996,3131,50,567,946,2,1563
HT4BVJT00189,joaquim-MS-7996,4633,48,652,2371,1,1551
HT4BVJT00189,joaquim-MS-7996,5587,17,335,3697,1,1536
HT4BVJT00189,joaquim-MS-7996,1907,11,313,9,2,1572
HT4BVJT00189,joaquim-MS-7996,2044,43,406,4,4,1599
HT4BVJT00189,joaquim-MS-7996,3106,41,313,1194,2,1550
HT4BVJT00003,joaquim-MS-7996,1986,40,351,13,2,1566
HT4BVJT00189,joaquim-MS-7996,1984,20,327,18,2,1594
HT4BVJT00003,joaquim-MS-7996,1909,9,355,5,2,1529
HT4CWJT00250,joaquim-MS-7996,1968,23,325,9,1,1586
HT4BVJT00003,joaquim-MS-7996,2812,23,380,834,3,1566
HT4BVJT00003,joaquim-MS-7996,2403,10,294,519,2,1531
HT4BVJT00003,joaquim-MS-7996,1973,10,329,17,2,1586
HT4BVJT00189,joaquim-MS-7996,2003,19,382,41,1,1550
HT4BVJT00189,joaquim-MS-7996,1929,26,340,11,6,1540
HT4BTJT00127,joaquim-MS-7996,2056,37,428,13,2,1580
HT4BVJT00189,joaquim-MS-7996,3410,16,438,1395,1,1548
HT4BVJT00003,HT4BVJT00003,10167,11,97,17,5,10063
HT4BTJT00127,HT4BTJT00127,10438,15,122,44,6,10272
HT4CWJT00250,HT4CWJT00250,10010,10,94,42,4,9883
HT4BVJT00003,HT4BVJT00003,10194,14,98,593,4,9517
HT4BVJT00189,HT4BVJT00189,10575,12,97,28,17,10446
HT4CWJT00250,joaquim-MS-7996,2082,8,302,20,2,1714
HT4BTJT00127,HT4BVJT00003,10104,8,529,23,4,9519
HT4CWJT00250,joaquim-MS-7996,2006,52,358,15,4,1570
HT4BVJT00003,joaquim-MS-7996,3194,15,386,1259,1,1530
HT4BVJT00189,joaquim-MS-7996,1971,10,375,2,1,1593
HT4BVJT00189,joaquim-MS-7996,2137,49,431,14,2,1592
HT4CWJT00250,joaquim-MS-7996,1956,13,386,4,3,1536
HT4BTJT00127,joaquim-MS-7996,2081,16,468,15,6,1548
HT4BTJT00127,joaquim-MS-7996,1920,10,352,4,1,1540
HT4BTJT00127,joaquim-MS-7996,1902,10,280,8,3,1545
HT4CWJT00250,joaquim-MS-7996,1911,10,300,15,2,1572
HT4CWJT00250,joaquim-MS-7996,3303,25,172,1415,0,1588
HT4CWJT00250,joaquim-MS-7996,2292,12,269,422,1,1535
HT4BTJT00127,joaquim-MS-7996,3229,43,236,1421,1,1517
HT4CWJT00250,joaquim-MS-7996,1982,13,410,7,1,1536
HT4BTJT00127,joaquim-MS-7996,2002,18,351,18,2,1592
HT4BVJT00189,joaquim-MS-7996,3267,42,461,1210,2,1564
HT4BVJT00003,joaquim-MS-7996,3690,18,379,1639,1,1613
HT4BVJT00189,joaquim-MS-7996,3203,36,563,1052,1,1532
HT4BVJT00189,joaquim-MS-7996,4698,49,626,2470,2,1542
HT4BVJT00189,joaquim-MS-7996,5625,13,313,3756,1,1537
HT4BVJT00189,joaquim-MS-7996,1901,11,323,11,6,1553
HT4BVJT00189,joaquim-MS-7996,2096,31,419,11,2,1596
HT4BVJT00189,joaquim-MS-7996,3112,9,390,1167,1,1532
HT4BVJT00003,joaquim-MS-7996,1991,11,379,13,6,1557
HT4BVJT00189,joaquim-MS-7996,1910,12,323,9,1,1564
HT4BVJT00003,joaquim-MS-7996,2026,25,315,12,1,1535
HT4CWJT00250,joaquim-MS-7996,1967,22,330,12,2,1588
HT4BVJT00003,joaquim-MS-7996,2866,11,368,836,1,1578
HT4BVJT00003,joaquim-MS-7996,2381,58,237,522,1,1523
HT4BVJT00003,joaquim-MS-7996,2086,19,345,19,2,1591
HT4BVJT00189,joaquim-MS-7996,2180,15,387,206,1,1550
HT4BVJT00189,joaquim-MS-7996,1927,41,288,8,2,1569
HT4BTJT00127,joaquim-MS-7996,2024,11,441,14,3,1537
HT4BVJT00189,joaquim-MS-7996,3325,21,450,1302,1,1532
HT4BVJT00003,HT4BVJT00003,10229,43,109,42,8,10064
HT4BTJT00127,HT4BTJT00127,10766,16,114,33,5,10617
HT4CWJT00250,HT4CWJT00250,10138,17,110,36,5,9983
HT4BVJT00003,HT4BVJT00003,10406,55,104,670,5,9604
HT4BVJT00189,HT4BVJT00189,10725,54,114,28,14,10547
HT4CWJT00250,joaquim-MS-7996,2030,9,285,9,2,1712
HT4BTJT00127,joaquim-MS-7996,1988,34,336,10,2,1564
HT4CWJT00250,joaquim-MS-7996,1998,11,423,13,3,1553
HT4BVJT00003,joaquim-MS-7996,3257,20,413,1257,2,1542
HT4BVJT00189,joaquim-MS-7996,1970,52,354,11,1,1557
HT4BVJT00189,joaquim-MS-7996,1930,18,392,11,5,1538
