ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BTJT00127,10255,20,264,24,5,9984
HT4BTJT00127,HT4BVJT00003,10124,56,263,18,4,9740
HT4BVJT00003,HT4BVJT00189,10270,17,406,36,5,9844
HT4BVJT00003,HT4BVJT00189,18630,12,260,8382,2,9894
HT4CWJT00250,HT4BVJT00003,15491,66,206,6178,4,9040
HT4BVJT00189,HT4BTJT00127,9318,56,163,9,2,9077
HT4BVJT00003,HT4BVJT00189,13399,17,147,3346,3,9860
HT4BVJT00003,HT4BVJT00189,21882,13,223,11370,2,10188
HT4CWJT00250,HT4BVJT00189,31211,19,275,20926,3,9959
HT4BTJT00127,HT4BVJT00189,34429,12,264,24047,3,10096
HT4CWJT00250,HT4BVJT00189,39639,16,200,29261,3,10153
HT4BVJT00003,HT4BVJT00189,49126,14,207,38621,3,10323
HT4BVJT00189,HT4BVJT00003,9769,6,242,34,11,9511
HT4BVJT00189,HT4BVJT00189,53251,7,43,42748,6,10456
HT4CWJT00250,HT4BVJT00003,13863,17,178,4262,2,9318
HT4BTJT00127,HT4BVJT00003,19726,9,196,10273,3,9215
HT4BTJT00127,HT4BVJT00003,26881,9,115,17470,3,9266
HT4BTJT00127,HT4BVJT00189,52107,31,266,41478,9,10328
HT4CWJT00250,HT4BVJT00189,60330,16,238,49604,3,10409
HT4BVJT00003,HT4BTJT00127,10020,42,213,9,3,9668
HT4CWJT00250,HT4BVJT00003,29977,16,262,20255,3,9422
HT4CWJT00250,HT4BTJT00127,16481,21,207,7061,3,9233
HT4BTJT00127,HT4CWJT00250,9664,10,202,53,4,9309
HT4BVJT00003,HT4BVJT00003,35987,16,96,26331,3,9540
HT4CWJT00250,HT4BVJT00189,55530,53,293,44815,3,10387
HT4BTJT00127,HT4CWJT00250,8754,10,120,15,2,8605
HT4BVJT00189,HT4BVJT00003,29932,9,205,20246,4,9488
HT4BVJT00189,HT4BVJT00003,36485,9,252,26510,3,9737
HT4BVJT00189,HT4BVJT00189,58398,13,46,48045,3,10292
HT4BVJT00189,HT4BTJT00127,9541,17,472,19,5,9051
HT4BVJT00003,HT4BVJT00003,43741,7,29,33686,3,10018
HT4BVJT00003,HT4BVJT00189,60845,6,335,50158,4,10340
HT4BVJT00189,HT4BVJT00003,48717,16,211,38188,2,10301
HT4BVJT00189,HT4BVJT00003,57549,12,201,46681,5,10582
HT4BVJT00189,HT4BTJT00127,9557,7,366,8,2,9201
HT4BVJT00003,HT4BVJT00003,66851,11,69,56100,3,10717
HT4BVJT00189,HT4BVJT00189,62807,14,58,52379,3,10386
HT4BVJT00189,HT4BVJT00189,69444,6,69,58944,4,10459
HT4CWJT00250,HT4BVJT00189,77676,49,211,66550,4,10852
HT4BVJT00189,HT4BVJT00189,84108,7,43,73215,3,10855
HT4BVJT00189,HT4BVJT00003,58261,6,257,47593,4,10440
HT4BVJT00189,HT4BVJT00189,88972,7,34,78002,4,10927
HT4BVJT00189,HT4BTJT00127,9342,8,256,9,3,9097
HT4BVJT00189,HT4BTJT00127,18178,16,122,8874,3,9153
HT4BVJT00189,HT4BTJT00127,27120,10,175,17634,4,9293
HT4BTJT00127,HT4BVJT00189,92250,14,295,80717,7,11111
HT4BVJT00003,HT4BTJT00127,11824,22,217,1693,11,9924
