ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00189,10008,35,74,36,4,9829
HT4BTJT00127,HT4CWJT00250,9563,33,126,36,6,9363
HT4BVJT00003,HT4BTJT00127,10065,14,74,39,3,9886
HT4CWJT00250,HT4CWJT00250,14662,78,26,5823,1,8736
HT4BVJT00189,HT4BTJT00127,9474,26,103,24,4,9305
HT4CWJT00250,HT4BTJT00127,8902,23,69,1410,4,7323
HT4BTJT00127,HT4CWJT00250,8782,7,109,19,5,8626
HT4CWJT00250,HT4BVJT00189,9320,10,86,23,34,9152
HT4BVJT00189,HT4BTJT00127,9273,7,156,28,4,9080
HT4BVJT00189,HT4BVJT00189,11540,6,12,1992,2,9529
HT4CWJT00250,HT4CWJT00250,8756,14,54,13,3,8675
HT4BVJT00003,HT4BVJT00189,18406,10,60,8545,7,9770
HT4BTJT00127,HT4CWJT00250,14406,11,125,5372,1,8890
HT4BTJT00127,HT4CWJT00250,21313,51,75,12183,1,8983
HT4BVJT00189,HT4BTJT00127,9250,8,72,13,1,9148
HT4BVJT00189,HT4BTJT00127,15226,13,98,5015,2,10012
HT4CWJT00250,HT4BVJT00189,17596,6,168,7544,2,9827
HT4CWJT00250,HT4CWJT00250,22012,5,84,14862,1,7097
HT4CWJT00250,HT4BTJT00127,21524,6,109,11640,2,9764
HT4BVJT00189,HT4CWJT00250,27205,6,43,18013,1,9123
HT4BVJT00003,HT4BVJT00189,21551,11,96,11461,2,9959
HT4BVJT00003,HT4CWJT00250,29663,46,72,20315,2,9156
HT4BVJT00189,HT4BTJT00127,22495,6,114,12467,1,9907
HT4BVJT00189,HT4BTJT00127,30901,6,41,20559,1,10283
HT4BVJT00189,HT4CWJT00250,35748,14,39,26411,1,9182
HT4CWJT00250,HT4CWJT00250,43977,6,9,34581,1,9377
HT4BTJT00127,HT4BVJT00189,18858,8,104,8662,2,9995
HT4BVJT00189,HT4BTJT00127,34927,11,188,24265,1,10418
HT4BVJT00189,HT4BTJT00127,39621,15,35,31017,1,8447
HT4BVJT00003,HT4BTJT00127,50025,17,54,39224,3,10721
HT4BTJT00127,HT4BTJT00127,61309,7,7,49815,1,11479
HT4BVJT00189,HT4CWJT00250,44513,11,90,34666,3,9704
HT4BVJT00189,HT4CWJT00250,51348,10,67,41327,2,9941
HT4BVJT00189,HT4BVJT00189,16973,5,9,6959,2,9999
HT4BVJT00189,HT4BVJT00189,26293,7,50,16168,2,10066
HT4BVJT00189,HT4CWJT00250,57004,7,74,47092,2,9828
HT4BTJT00127,HT4BVJT00189,27642,7,61,17550,2,10013
HT4BTJT00127,HT4BTJT00127,57242,6,6,45449,3,11777
HT4BTJT00127,HT4CWJT00250,56728,15,149,46877,2,9686
HT4BVJT00189,HT4BTJT00127,65774,7,70,53390,5,12198
HT4BVJT00003,HT4BVJT00189,33378,19,72,23154,2,10121
HT4CWJT00250,HT4BTJT00127,76177,8,82,64215,3,11833
HT4BVJT00189,HT4CWJT00250,60695,11,76,50717,1,9880
HT4BVJT00003,HT4BVJT00189,39710,48,93,29508,2,10050
HT4BVJT00189,HT4CWJT00250,62943,6,128,52756,2,10005
HT4BVJT00003,HT4BVJT00189,10017,14,110,31,5,9850
HT4BTJT00127,HT4BVJT00189,17963,39,121,8359,1,9447
HT4BVJT00003,HT4BTJT00127,10139,31,86,50,3,9972
HT4CWJT00250,HT4BTJT00127,16047,61,102,6486,2,9304
HT4BVJT00189,HT4BTJT00127,17809,14,121,8288,2,9390
HT4CWJT00250,HT4BVJT00003,9677,20,95,41,5,9509
HT4BTJT00127,HT4BVJT00189,9620,10,152,26,7,9348
HT4CWJT00250,HT4BVJT00003,8956,15,123,17,3,8784
HT4BVJT00189,HT4BTJT00127,9491,15,152,7,2,9254
HT4BVJT00189,HT4BTJT00127,16065,15,132,6320,2,9550
HT4CWJT00250,HT4BVJT00003,9145,48,97,39,4,8949
HT4BVJT00003,HT4BTJT00127,23095,6,76,12915,1,10091
HT4BTJT00127,HT4BTJT00127,30522,45,56,20481,2,9942
