ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BTJT00127,10923,14,515,83,7,10305
HT4BTJT00127,HT4BTJT00127,18957,14,229,9173,5,9545
HT4CWJT00250,HT4BVJT00189,11037,12,953,25,10,10048
HT4BVJT00003,HT4BTJT00127,20592,9,358,10535,4,9696
HT4BVJT00189,HT4BVJT00189,13404,35,146,3376,5,9865
HT4CWJT00250,HT4BVJT00189,15731,9,316,5049,3,10330
HT4BTJT00127,HT4BTJT00127,12336,8,99,2538,4,9685
HT4CWJT00250,HT4BVJT00189,14264,9,639,3245,5,10391
HT4BVJT00003,HT4BVJT00189,24159,10,897,13126,6,10077
HT4BVJT00189,HT4CWJT00250,10110,8,512,28,7,9588
HT4BVJT00189,HT4BVJT00189,27331,19,139,17083,5,10118
HT4CWJT00250,HT4BVJT00189,35638,18,584,24465,5,10572
HT4BTJT00127,HT4BTJT00127,9801,12,120,14,8,9691
HT4BTJT00127,HT4CWJT00250,9921,14,663,42,10,9176
HT4BTJT00127,HT4CWJT00250,15072,25,445,5645,5,8984
HT4CWJT00250,HT4CWJT00250,22025,21,69,12766,6,9182
HT4CWJT00250,HT4CWJT00250,31080,6,75,21689,7,9339
HT4CWJT00250,HT4CWJT00250,38313,88,100,28353,7,9812
HT4BTJT00127,HT4BTJT00127,10142,15,86,12,10,10057
HT4CWJT00250,HT4BTJT00127,10421,67,555,19,8,9756
HT4BTJT00127,HT4BTJT00127,16481,9,113,6375,9,10001
HT4BVJT00189,HT4BVJT00189,15392,6,157,4776,5,10478
HT4BVJT00003,HT4BTJT00127,25352,10,414,14503,12,10310
HT4BVJT00189,HT4BVJT00189,22751,10,170,12019,11,10561
HT4BVJT00189,HT4CWJT00250,27975,18,642,17947,8,9394
HT4BVJT00189,HT4BVJT00189,32704,12,153,22011,5,10564
HT4BVJT00189,HT4BTJT00127,25993,12,437,14695,5,10834
HT4BVJT00189,HT4CWJT00250,27656,11,412,17719,8,9505
HT4BVJT00189,HT4BVJT00189,33340,22,178,22657,6,10509
HT4BVJT00003,HT4CWJT00250,32567,12,721,22340,5,9431
HT4BVJT00189,HT4CWJT00250,40270,10,413,30225,5,9613
HT4BVJT00003,HT4BVJT00189,34670,12,596,23639,6,10383
HT4CWJT00250,HT4BTJT00127,22531,7,312,11082,4,11057
HT4BVJT00003,HT4BTJT00127,32859,8,383,21332,6,11121
HT4BVJT00003,HT4BVJT00189,39147,15,371,28373,4,10372
HT4BVJT00003,HT4BTJT00127,38475,8,442,26749,6,11186
HT4BVJT00189,HT4CWJT00250,36098,18,440,25619,20,9963
HT4BVJT00189,HT4BTJT00127,45010,16,317,32854,8,11794
HT4BTJT00127,HT4BTJT00127,50009,8,137,37958,7,11926
HT4BVJT00189,HT4BTJT00127,60193,13,384,49430,7,10272
HT4BVJT00003,HT4BVJT00003,9791,49,114,18,5,9634
HT4BTJT00127,HT4BVJT00189,11825,13,1307,33,8,10431
HT4CWJT00250,HT4BVJT00189,17786,11,867,7141,5,9773
HT4BVJT00003,HT4BVJT00003,9340,9,105,154,5,9064
HT4BVJT00189,HT4BVJT00189,18306,26,267,10140,6,7906
HT4CWJT00250,HT4BTJT00127,10249,16,393,28,4,9831
HT4BTJT00127,HT4BVJT00189,13545,20,343,3022,4,10142
HT4CWJT00250,HT4CWJT00250,9870,12,113,30,4,9728
HT4BVJT00003,HT4BTJT00127,9913,13,560,17,6,9351
HT4BVJT00189,HT4BTJT00127,15837,19,404,5750,6,9685
HT4BVJT00189,HT4CWJT00250,11753,12,737,1950,5,9031
HT4CWJT00250,HT4BVJT00189,10682,7,555,20,7,10101
HT4BTJT00127,HT4BTJT00127,17306,17,223,7008,5,10089
HT4BTJT00127,HT4CWJT00250,13373,9,736,3364,5,9280
HT4BTJT00127,HT4BVJT00189,11785,16,504,1026,4,10224
HT4CWJT00250,HT4BVJT00189,19828,11,522,8943,5,10380
HT4CWJT00250,HT4CWJT00250,16108,13,133,6909,2,9087
HT4CWJT00250,HT4CWJT00250,23125,11,66,13527,3,9522
HT4BTJT00127,HT4CWJT00250,31707,10,288,22257,6,9171
HT4CWJT00250,HT4CWJT00250,29314,12,109,19876,6,9349
HT4BTJT00127,HT4BVJT00189,11827,7,756,244,8,10474
HT4BVJT00189,HT4CWJT00250,34746,15,782,24389,6,9594
HT4BVJT00003,HT4BTJT00127,10934,7,498,22,12,10422
HT4BVJT00189,HT4CWJT00250,40932,15,1170,30396,6,9362
HT4BVJT00189,HT4BTJT00127,19265,15,682,8137,7,10328
HT4BVJT00189,HT4BTJT00127,29070,12,490,18126,6,10342
HT4BVJT00189,HT4BVJT00189,10579,20,135,12,4,10437
HT4BVJT00189,HT4BTJT00127,30403,18,454,19179,9,10723
HT4BVJT00189,HT4BVJT00189,18844,13,158,8089,6,10612
HT4BVJT00003,HT4BVJT00003,8967,7,131,16,6,8839
HT4BVJT00189,HT4BVJT00189,21381,18,130,12802,10,8444
HT4BVJT00003,HT4CWJT00250,30954,6,486,20859,4,9561
HT4CWJT00250,HT4BVJT00189,25568,17,1024,14034,8,10513
HT4BVJT00003,HT4BTJT00127,27842,5,499,16392,5,10869
HT4BVJT00003,HT4CWJT00250,34747,14,538,24501,4,9677
HT4BVJT00003,HT4BTJT00127,33053,10,410,21591,6,10995
HT4BVJT00189,HT4BTJT00127,42617,26,414,31233,6,10923
HT4BVJT00189,HT4CWJT00250,35627,9,515,25366,5,9678
HT4BTJT00127,HT4CWJT00250,38583,9,455,28129,6,9899
HT4BVJT00189,HT4BVJT00189,17280,21,105,6828,4,10326
HT4BVJT00003,HT4BTJT00127,11249,13,892,34,7,10198
HT4BTJT00127,HT4BTJT00127,19075,15,170,9514,6,9402
HT4CWJT00250,HT4BVJT00189,10967,11,884,31,8,10022
HT4BVJT00003,HT4BTJT00127,20866,9,457,10760,4,9588
HT4BVJT00189,HT4BVJT00189,11037,17,158,3178,5,7690
HT4CWJT00250,HT4CWJT00250,9440,8,146,25,31,9284
HT4BTJT00127,HT4BTJT00127,12346,16,105,2644,3,9605
HT4CWJT00250,HT4CWJT00250,8885,14,74,28,5,8764
HT4BVJT00003,HT4BVJT00189,10060,8,466,20,10,9551
HT4BVJT00189,HT4BVJT00189,16541,7,86,6124,5,10354
HT4BVJT00189,HT4BVJT00189,23781,13,148,13340,5,10306
HT4CWJT00250,HT4BTJT00127,11166,8,657,16,7,10508
HT4BTJT00127,HT4BTJT00127,18790,19,212,7757,23,10767
HT4BTJT00127,HT4BVJT00189,26472,16,886,15390,7,10220
HT4BTJT00127,HT4BVJT00189,33075,8,577,22047,10,10411
HT4CWJT00250,HT4BVJT00189,41417,9,456,30359,5,10556
HT4CWJT00250,HT4CWJT00250,8880,23,115,17,3,8755
HT4CWJT00250,HT4BTJT00127,18877,13,287,7521,5,10947
HT4BTJT00127,HT4BVJT00189,48278,9,328,37771,4,10170
HT4CWJT00250,HT4CWJT00250,10049,9,124,23,5,9926
HT4BTJT00127,HT4CWJT00250,15357,19,765,5448,4,9153
HT4BVJT00189,HT4CWJT00250,24578,6,1134,13906,7,9531
HT4BVJT00003,HT4BTJT00127,12244,7,485,515,7,11221
HT4BVJT00189,HT4BVJT00189,39537,21,166,28867,6,10506
HT4BVJT00189,HT4BTJT00127,21264,42,430,9726,11,10977
HT4BVJT00189,HT4CWJT00250,30034,14,446,20327,5,9273
HT4BVJT00189,HT4BTJT00127,25548,7,384,12847,5,12334
HT4BVJT00189,HT4BTJT00127,36109,10,512,23182,7,12395
HT4BVJT00189,HT4CWJT00250,27377,15,480,19637,8,7171
HT4BVJT00003,HT4CWJT00250,32592,9,759,22561,6,9221
HT4BVJT00189,HT4CWJT00250,40008,17,373,30251,6,9275
HT4BVJT00003,HT4CWJT00250,46062,25,518,36175,5,9365
HT4CWJT00250,HT4BTJT00127,35681,10,367,22900,6,12399
HT4BVJT00003,HT4BTJT00127,47342,8,430,34521,8,12366
HT4BVJT00003,HT4BTJT00127,57216,8,274,45124,4,11728
HT4BVJT00003,HT4BTJT00127,65635,13,407,53051,7,12201
HT4BVJT00189,HT4BVJT00189,19656,15,184,8889,9,10585
HT4BVJT00189,HT4BVJT00189,26073,8,119,15723,5,10243
HT4BTJT00127,HT4BVJT00189,29449,8,724,18399,10,10288
HT4BVJT00189,HT4BTJT00127,65827,8,529,52873,7,12373
