ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,3728,17,1410,4,1,2312
HT4BVJT00189,compute-europe-west-1,8543,17,6415,4,2,2117
HT4BVJT00007,HT4BTJT00127,9912,42,401,22,6,9474
HT4BVJT00007,HT4BVJT00007,9258,10,39,13,2,9194
HT4BTJT00127,HT4BVJT00007,16858,68,125,7552,4,9103
HT4BVJT00007,HT4BTJT00127,12997,4,143,3488,1,9353
HT4BVJT00003,HT4BVJT00189,10108,14,355,42,11,9721
HT4BVJT00003,HT4BVJT00007,22699,11,174,13385,2,9123
HT4BVJT00189,compute-europe-west-1,3785,4,1676,3,1,2095
HT4BVJT00007,HT4BVJT00189,18578,6,270,8684,2,9609
HT4BVJT00007,HT4BVJT00189,27708,11,303,17505,3,9896
HT4BVJT00003,HT4BVJT00007,29837,40,224,20248,2,9284
HT4BTJT00127,HT4BVJT00189,37281,40,341,26998,3,9939
HT4BVJT00189,HT4BTJT00127,19684,10,230,10117,2,9357
HT4BTJT00127,compute-europe-west-1,3713,5,1508,4,0,2189
HT4BVJT00003,compute-europe-west-1,7409,16,2739,2515,2,2149
HT4BTJT00127,compute-europe-west-1,4600,42,772,1688,3,2096
HT4BVJT00007,HT4BTJT00127,24947,17,186,15523,2,9214
HT4BTJT00127,compute-europe-west-1,4687,5,1867,592,4,2236
HT4BVJT00007,HT4BVJT00189,39890,21,279,29710,2,9918
HT4BVJT00003,HT4BVJT00007,29047,8,163,19527,2,9365
HT4BTJT00127,HT4BVJT00007,37590,5,182,28034,4,9392
HT4BVJT00189,compute-europe-west-1,4211,5,1999,5,0,2200
HT4BVJT00189,HT4BVJT00007,42832,6,143,33324,3,9346
HT4BVJT00189,HT4BTJT00127,22626,6,171,13253,2,9185
HT4BTJT00127,HT4BVJT00007,50351,43,202,40741,2,9350
HT4BVJT00189,compute-europe-west-1,3369,4,1198,4,1,2157
HT4BTJT00127,HT4BTJT00127,30103,4,41,20553,2,9518
HT4BVJT00189,HT4BTJT00127,37975,13,201,28471,4,9325
HT4BVJT00007,HT4BVJT00007,55073,8,81,45601,2,9417
HT4BVJT00007,HT4BTJT00127,44069,12,192,34500,2,9362
HT4BVJT00189,compute-europe-west-1,3390,5,1343,3,1,2034
HT4BVJT00007,HT4BVJT00007,60959,11,63,51466,3,9448
HT4BTJT00127,HT4BVJT00007,70200,3,139,60606,1,9449
