ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BTJT00127,9415,50,82,27,3,9251
HT4BVJT00189,compute-europe-west-1,2603,31,535,2,0,2033
HT4BVJT00007,HT4BVJT00003,9370,12,75,41,7,9233
HT4BVJT00007,HT4BTJT00127,14505,17,58,5382,2,9035
HT4BVJT00007,HT4BVJT00189,9593,25,105,26,5,9428
HT4BTJT00127,HT4BTJT00127,22139,9,14,12986,3,9131
HT4BVJT00007,HT4BVJT00189,18849,9,80,9047,2,9702
HT4BVJT00007,HT4BTJT00127,28040,10,87,18848,2,9081
HT4BVJT00003,compute-europe-west-1,2648,4,696,3,0,1943
HT4BVJT00003,HT4BTJT00127,37091,4,38,27898,1,9151
HT4BVJT00189,HT4BTJT00127,45668,7,42,36467,1,9147
HT4BVJT00003,HT4BVJT00189,23303,5,43,13469,1,9790
HT4BVJT00189,HT4BVJT00003,9418,6,31,365,4,9013
HT4BVJT00003,compute-europe-west-1,2492,6,514,3,0,1966
HT4BTJT00127,HT4BVJT00189,28265,6,79,18217,2,9956
HT4BTJT00127,compute-europe-west-1,2666,45,684,2,0,1931
HT4BTJT00127,HT4BVJT00189,36267,8,51,26379,2,9822
HT4BVJT00003,HT4BTJT00127,43112,19,64,33798,2,9231
HT4BTJT00127,HT4BVJT00189,41931,6,76,31879,1,9968
HT4BVJT00007,HT4BVJT00189,51134,10,46,41011,1,10060
HT4BVJT00007,HT4BVJT00189,60272,5,68,50163,1,10072
HT4BVJT00189,compute-europe-west-1,3281,12,1353,3,1,1913
HT4BVJT00189,HT4BTJT00127,47448,5,67,38088,3,9284
HT4BVJT00007,HT4BTJT00127,56348,10,76,46947,2,9306
HT4BVJT00189,HT4BTJT00127,65427,11,73,55951,2,9392
HT4BTJT00127,HT4BTJT00127,74834,6,47,65315,2,9460
HT4BVJT00007,HT4BTJT00127,84060,9,46,74526,5,9470
HT4BVJT00189,HT4BTJT00127,93097,5,57,83564,1,9421
HT4BVJT00189,compute-europe-west-1,2251,5,353,2,0,1888
HT4BTJT00127,HT4BTJT00127,97208,6,44,87744,2,9414
HT4BVJT00007,HT4BVJT00003,9178,10,53,20,4,9089
HT4BTJT00127,HT4BVJT00003,17524,5,29,8353,1,9141
HT4BVJT00007,HT4BVJT00003,26779,9,78,17415,2,9268
HT4BVJT00189,compute-europe-west-1,2793,7,863,3,1,1914
HT4BVJT00007,HT4BVJT00003,33568,10,44,24303,2,9201
HT4BVJT00007,HT4BVJT00189,57826,4,104,47579,2,10144
HT4BVJT00189,HT4BTJT00127,102991,7,65,93438,1,9481
HT4BVJT00189,compute-europe-west-1,2972,5,1041,3,0,1918
HT4BVJT00189,compute-europe-west-1,3312,5,1401,3,0,1907
HT4BTJT00127,HT4BVJT00189,63136,5,83,52904,2,10144
HT4BVJT00007,HT4BVJT00189,71912,50,54,61579,1,10199
HT4BVJT00189,HT4BVJT00189,81609,18,44,71349,2,10197
HT4BVJT00003,HT4BTJT00127,104658,50,49,95134,2,9421
HT4BVJT00007,HT4BTJT00127,113672,47,71,104032,1,9516
HT4BVJT00003,compute-europe-west-1,2794,4,859,3,0,1927
HT4BVJT00007,HT4BTJT00127,118929,17,40,109319,1,9554
HT4BVJT00003,HT4BVJT00003,27425,8,27,16933,1,10472
HT4BVJT00003,compute-europe-west-1,2794,4,857,3,0,1928
HT4BVJT00007,HT4BVJT00003,33384,42,73,23480,2,9778
HT4BVJT00003,HT4BTJT00127,120467,5,33,110706,2,9705
HT4BVJT00007,HT4BVJT00003,41308,16,112,31971,2,9233
HT4BVJT00189,HT4BVJT00189,76725,5,44,66442,4,10233
HT4BTJT00127,HT4BTJT00127,129248,5,10,119086,2,10152
HT4BVJT00003,compute-europe-west-1,2566,4,632,2,0,1917
