ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,4489,8,2121,9,4,2362
HT4BVJT00189,HT4BVJT00007,10170,68,694,34,6,9558
HT4BVJT00007,HT4BVJT00007,18940,7,93,9398,9,9474
HT4BVJT00007,HT4BVJT00007,26609,38,112,17115,6,9371
HT4BTJT00127,HT4BVJT00189,10232,8,548,23,9,9634
HT4BVJT00007,HT4BTJT00127,10453,5,464,13,4,9927
HT4BVJT00003,compute-europe-west-1,5304,19,2920,13,3,2347
HT4BVJT00003,compute-europe-west-1,7601,8,3417,1846,2,2324
HT4BVJT00189,HT4BVJT00007,30839,12,290,21055,3,9521
HT4BVJT00007,HT4BVJT00189,15882,10,343,5509,2,10046
HT4BVJT00007,HT4BVJT00007,39198,4,139,29428,5,9664
HT4BVJT00003,HT4BVJT00003,9684,5,102,12,5,9556
HT4BTJT00127,HT4BVJT00007,48508,46,572,38244,5,9675
HT4BVJT00189,HT4BVJT00189,25072,7,133,14360,6,10594
HT4BTJT00127,HT4BVJT00007,57485,11,313,47610,5,9601
HT4BTJT00127,compute-europe-west-1,5787,5,3117,406,3,2244
HT4BVJT00007,HT4BVJT00007,63469,9,124,53751,14,9602
HT4BVJT00003,HT4BVJT00189,29628,26,1025,18272,6,10293
HT4BTJT00127,HT4BVJT00007,71181,9,609,60983,8,9569
HT4BVJT00003,compute-europe-west-1,3948,13,1705,5,1,2207
HT4BVJT00007,HT4BVJT00189,38630,4,444,27943,5,10273
HT4BTJT00127,compute-europe-west-1,11497,5,9223,14,2,2251
HT4BVJT00189,HT4BTJT00127,10447,4,828,28,7,9606
HT4BVJT00189,HT4BVJT00189,41260,7,87,30833,4,10367
HT4BVJT00189,HT4BVJT00003,9783,16,425,16,12,9312
HT4BVJT00003,HT4BVJT00189,50448,86,543,39574,6,10239
HT4BTJT00127,compute-europe-west-1,8760,8,6533,11,2,2194
HT4BVJT00189,HT4BVJT00003,17276,9,320,7771,5,9178
HT4BTJT00127,HT4BVJT00189,59028,7,476,48300,6,10271
HT4BVJT00189,HT4BVJT00007,68035,8,317,57780,4,9956
HT4BVJT00007,HT4BVJT00189,65838,10,501,54777,4,10577
HT4BVJT00007,HT4BVJT00007,74797,55,85,64601,6,10085
