ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9619,29,76,32,4,9485
HT4BVJT00189,compute-europe-west-1,6094,18,4032,5,3,2041
HT4BVJT00007,HT4BVJT00003,14398,51,301,4630,5,9446
HT4BVJT00007,HT4BVJT00189,10533,9,305,10,3,10224
HT4BTJT00127,HT4BTJT00127,9276,7,24,9,2,9243
HT4BVJT00007,HT4BVJT00189,11620,57,168,958,2,10435
HT4BVJT00003,HT4BVJT00007,9433,5,318,17,5,9083
HT4BVJT00003,HT4BVJT00007,18268,6,305,8992,2,8949
HT4BVJT00189,HT4BVJT00007,26201,7,217,16906,2,9094
HT4BVJT00007,HT4BVJT00007,34341,50,68,25030,2,9215
HT4BVJT00007,HT4BVJT00007,42027,4,95,32760,4,9200
HT4BVJT00003,HT4BVJT00007,50824,7,238,41234,6,9375
HT4BTJT00127,HT4BTJT00127,9507,19,97,8,3,9415
HT4BVJT00189,HT4BTJT00127,18352,6,213,8773,3,9354
HT4BTJT00127,HT4BVJT00189,15933,10,241,5405,6,10269
HT4BVJT00003,HT4BVJT00189,25217,6,290,14606,3,10344
HT4BTJT00127,HT4BVJT00189,34553,5,295,23587,4,10691
HT4BVJT00007,HT4BVJT00189,40068,6,409,29296,5,10349
HT4BTJT00127,compute-europe-west-1,4454,23,2398,5,1,2022
HT4BVJT00007,HT4BVJT00189,44412,9,320,33664,2,10449
HT4BVJT00003,HT4BVJT00007,39959,15,190,30297,1,9479
HT4BTJT00127,HT4BVJT00189,47710,6,233,36925,2,10533
HT4BVJT00189,HT4BVJT00003,9583,14,347,23,4,9193
HT4BVJT00189,compute-europe-west-1,5291,8,3212,5,1,2004
HT4BVJT00189,HT4BVJT00007,38061,6,272,28357,2,9435
HT4BTJT00127,HT4BVJT00189,46266,41,681,35071,3,10502
HT4BVJT00189,HT4BVJT00003,12332,6,238,2845,4,9237
HT4BTJT00127,HT4BVJT00003,21248,18,440,11277,2,9562
HT4BVJT00189,HT4BVJT00003,27834,3,353,18018,3,9449
HT4BVJT00007,HT4BVJT00189,47649,11,398,36531,2,10664
HT4BVJT00007,HT4BVJT00007,34581,16,20,24547,2,9996
HT4BVJT00189,HT4BVJT00003,27368,43,216,17176,2,9938
HT4BVJT00007,HT4BVJT00007,38869,5,80,29303,2,9518
HT4BTJT00127,HT4BVJT00003,35173,17,285,25248,3,9622
HT4BVJT00189,HT4BTJT00127,9507,12,387,12,4,9084
HT4BVJT00007,HT4BVJT00003,44125,8,291,34094,2,9753
HT4BVJT00189,HT4BVJT00007,39959,5,407,30022,3,9521
HT4BVJT00007,HT4BVJT00003,39978,11,359,32168,3,7472
HT4BVJT00007,HT4BVJT00007,43392,5,55,33907,2,9459
HT4BVJT00189,HT4BVJT00003,46957,7,438,36914,1,9591
HT4BVJT00003,HT4BVJT00189,34937,5,891,23420,3,10663
HT4BVJT00007,HT4BVJT00007,48132,4,61,38477,3,9587
HT4BVJT00007,HT4BVJT00189,41672,13,278,30970,2,10438
HT4BVJT00003,HT4BVJT00007,56168,5,190,46407,5,9581
HT4BVJT00189,HT4BVJT00003,50049,12,185,40209,1,9639
HT4BVJT00189,HT4BTJT00127,9321,6,279,18,4,9046
HT4BVJT00007,HT4BVJT00007,54146,4,23,44557,1,9569
HT4BVJT00003,HT4BVJT00007,62915,4,149,53199,8,9552
HT4BTJT00127,compute-europe-west-1,4029,44,1964,3,1,2015
