ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00189,10464,46,98,38,2,10224
HT4BVJT00189,compute-europe-west-1,2465,11,509,2,0,1939
HT4BVJT00007,HT4BVJT00189,15896,11,63,5674,2,10151
HT4BVJT00007,HT4BVJT00189,22688,9,69,12548,1,10056
HT4BVJT00007,HT4BVJT00003,9603,14,130,43,2,9332
HT4BTJT00127,HT4BVJT00007,9144,58,118,15,2,8941
HT4BVJT00007,HT4BVJT00003,18071,6,79,8519,2,9467
HT4BVJT00007,HT4BVJT00189,24054,43,206,13045,2,10719
HT4BVJT00003,HT4BVJT00007,11595,6,127,2550,2,8908
HT4BVJT00003,HT4BVJT00007,20460,44,41,11385,2,8984
HT4BVJT00189,HT4BVJT00189,34643,6,8,22649,3,11976
HT4BVJT00003,HT4BVJT00007,25092,41,61,15946,1,9045
HT4BVJT00189,HT4BVJT00007,33607,12,50,24391,2,9155
HT4BVJT00003,HT4BVJT00003,14503,5,7,4925,2,9565
HT4BTJT00127,HT4BVJT00189,31729,27,299,21112,2,10285
HT4BTJT00127,HT4BVJT00007,32274,18,148,22949,1,9174
HT4BTJT00127,HT4BVJT00189,38710,11,97,28038,1,10600
HT4BVJT00003,compute-europe-west-1,3776,58,1788,4,0,1926
HT4BTJT00127,HT4BVJT00003,9398,45,85,10,2,9241
HT4BVJT00007,HT4BVJT00007,28877,6,5,19575,1,9289
HT4BVJT00007,HT4BVJT00007,36187,26,49,26907,1,9206
HT4BVJT00189,HT4BVJT00003,12365,5,79,2939,3,9338
HT4BVJT00189,HT4BVJT00003,20168,4,77,10607,2,9474
HT4BVJT00007,HT4BVJT00007,40227,4,47,30865,2,9308
HT4BVJT00189,compute-europe-west-1,5356,5,3386,3,1,1903
HT4BTJT00127,HT4BVJT00007,48730,14,42,39399,1,9268
HT4BVJT00007,HT4BVJT00007,57623,5,8,48280,2,9331
HT4BVJT00189,compute-europe-west-1,5705,4,2885,919,0,1899
HT4BVJT00189,HT4BVJT00189,26156,5,6,15652,2,10493
HT4BTJT00127,HT4BVJT00003,16179,15,53,6640,1,9466
HT4BVJT00007,HT4BVJT00189,29223,5,31,18896,2,10279
HT4BVJT00007,HT4BVJT00189,37858,12,184,27422,2,10239
HT4BTJT00127,compute-europe-west-1,2606,14,688,3,0,1902
HT4BVJT00189,HT4BVJT00189,46598,5,45,36224,1,10324
HT4BVJT00007,HT4BVJT00189,53683,6,56,43280,1,10341
HT4BVJT00007,HT4BVJT00007,49302,4,46,38907,3,10345
HT4BVJT00189,compute-europe-west-1,2925,5,1021,3,0,1897
HT4BVJT00189,compute-europe-west-1,3458,6,505,1037,0,1904
HT4BVJT00189,HT4BVJT00007,50721,11,88,41183,1,9440
HT4BTJT00127,compute-europe-west-1,3789,23,1859,2,1,1902
HT4BVJT00007,HT4BVJT00007,55590,10,47,46143,1,9390
HT4BVJT00189,HT4BVJT00003,9551,12,77,17,6,9438
HT4BVJT00003,HT4BVJT00189,47842,14,81,37344,2,10394
HT4BVJT00007,HT4BVJT00003,15855,8,94,6326,2,9416
HT4BVJT00003,compute-europe-west-1,2937,4,1000,3,0,1929
HT4BVJT00007,HT4BVJT00189,48591,43,39,38214,1,10293
HT4BVJT00003,compute-europe-west-1,3041,53,1055,3,0,1930
HT4BVJT00003,compute-europe-west-1,2789,20,874,2,1,1891
HT4BVJT00007,HT4BVJT00189,43929,9,313,33216,2,10389
HT4BVJT00003,HT4BVJT00007,35929,15,59,26399,2,9451
HT4BVJT00007,HT4BVJT00003,9511,5,275,26,3,9237
HT4BVJT00189,HT4BVJT00007,43292,8,39,33788,3,9458
HT4BTJT00127,HT4BVJT00189,50223,9,97,39720,2,10387
HT4BVJT00003,compute-europe-west-1,2891,28,869,90,0,1904
HT4BVJT00189,compute-europe-west-1,2470,27,515,2,0,1920
