ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00007,9850,44,501,33,4,9303
HT4BVJT00189,HT4BTJT00127,10492,10,971,14,5,9531
HT4BVJT00007,HT4BVJT00007,14916,12,123,5112,4,9708
HT4BVJT00007,HT4BVJT00003,10339,14,832,19,5,9492
HT4BTJT00127,HT4BVJT00007,18424,28,606,8029,4,9796
HT4BVJT00007,HT4BTJT00127,10595,5,848,12,4,9765
HT4BVJT00003,compute-europe-west-1,5420,50,2884,25,6,2425
HT4BVJT00003,HT4BVJT00007,21332,52,637,11185,6,9479
HT4BVJT00189,compute-europe-west-1,6336,7,1757,2334,1,2240
HT4BVJT00007,HT4BVJT00003,9865,4,334,13,4,9510
HT4BVJT00007,HT4BVJT00007,26943,5,95,17476,5,9386
HT4BVJT00003,HT4BTJT00127,15781,6,818,5210,5,9734
HT4BTJT00127,HT4BVJT00007,35848,14,831,25387,6,9653
HT4BVJT00189,HT4BVJT00007,45028,8,864,34449,5,9705
HT4BTJT00127,HT4BTJT00127,23997,7,74,14314,4,9599
HT4BTJT00127,HT4BTJT00127,31383,10,155,21396,7,9818
HT4BVJT00007,HT4BVJT00007,46903,6,146,37008,9,9781
HT4BVJT00003,compute-europe-west-1,5062,6,2696,17,2,2316
HT4BTJT00127,compute-europe-west-1,9131,17,3288,3603,1,2216
HT4BVJT00003,compute-europe-west-1,4836,19,1173,1415,2,2212
HT4BVJT00007,HT4BTJT00127,30072,17,891,19557,6,9602
HT4BTJT00127,HT4BVJT00003,10550,28,1024,26,11,9497
HT4BVJT00189,HT4BVJT00003,13429,44,883,3056,5,9481
HT4BVJT00189,HT4BTJT00127,24310,45,386,14143,5,9770
HT4BVJT00189,compute-europe-west-1,4539,14,2275,21,1,2213
HT4BVJT00003,HT4BTJT00127,32292,5,691,21688,6,10094
HT4BTJT00127,HT4BVJT00007,31387,13,415,21279,15,9694
HT4BVJT00189,HT4BVJT00007,40312,6,310,29858,3,10163
HT4BTJT00127,HT4BTJT00127,38985,5,129,28868,8,10014
HT4BVJT00189,HT4BVJT00003,13019,9,425,3003,5,9595
HT4BVJT00007,HT4BVJT00007,42077,16,173,32014,5,9910
HT4BVJT00007,HT4BVJT00007,49977,17,156,40048,13,9787
HT4BVJT00189,HT4BVJT00007,55764,42,375,45669,6,9673
HT4BVJT00007,HT4BVJT00007,64211,17,104,54350,3,9757
HT4BTJT00127,HT4BVJT00003,11057,27,1124,27,9,9874
HT4BVJT00189,HT4BVJT00003,28396,20,1549,16995,6,9857
HT4BVJT00007,HT4BVJT00003,18142,20,517,9774,4,7864
HT4BVJT00189,HT4BVJT00003,30643,40,433,20338,8,9874
HT4BVJT00007,HT4BVJT00003,36240,17,458,25782,5,10012
HT4BVJT00007,HT4BVJT00007,59815,10,149,49612,4,10077
HT4BVJT00189,HT4BTJT00127,18957,5,565,8288,13,10100
HT4BVJT00007,HT4BTJT00127,25686,11,424,14703,5,10546
HT4BVJT00189,compute-europe-west-1,12929,5,10472,235,2,2209
HT4BVJT00007,HT4BTJT00127,29621,4,705,18745,6,10187
HT4BVJT00189,HT4BTJT00127,38115,8,610,27064,5,10463
HT4BVJT00003,compute-europe-west-1,4468,25,2186,24,2,2230
HT4BVJT00003,HT4BVJT00007,51501,14,441,40901,9,10175
