ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9967,16,110,15,3,9858
HT4BTJT00127,HT4BVJT00003,17903,19,354,8197,6,9368
HT4BVJT00003,HT4BVJT00189,10516,14,332,25,4,10147
HT4BVJT00003,HT4BVJT00003,25781,8,73,16099,3,9606
HT4CWJT00250,HT4CWJT00250,9650,24,59,29,3,9529
HT4BVJT00189,HT4BVJT00003,25941,40,231,15983,2,9640
HT4BVJT00003,HT4BVJT00003,30039,7,63,20310,2,9691
HT4BVJT00003,HT4CWJT00250,9298,9,274,11,2,9001
HT4CWJT00250,HT4BVJT00189,7538,5,212,19,4,7323
HT4BTJT00127,HT4BVJT00003,30518,13,166,20625,3,9731
HT4CWJT00250,HT4BVJT00189,10084,9,218,9,3,9846
HT4BVJT00003,HT4BTJT00127,10364,14,225,15,3,10144
HT4BVJT00189,HT4BTJT00127,16358,7,233,6792,2,9345
HT4BVJT00189,HT4BVJT00003,28040,6,259,18120,3,9601
HT4CWJT00250,HT4BTJT00127,20745,11,162,10824,2,9740
HT4BTJT00127,HT4BTJT00127,26965,12,57,17451,2,9478
HT4BTJT00127,HT4BVJT00003,30263,5,104,20254,2,9890
HT4BTJT00127,HT4BTJT00127,30560,11,14,21022,3,9515
HT4CWJT00250,HT4BTJT00127,37889,54,321,27912,3,9601
HT4BVJT00003,HT4BVJT00189,9820,5,231,19,4,9562
HT4CWJT00250,HT4BTJT00127,47421,22,339,37256,2,9845
HT4CWJT00250,HT4CWJT00250,8969,16,29,13,2,8912
HT4BTJT00127,HT4BVJT00003,30852,6,191,20705,3,9988
HT4BVJT00003,HT4BTJT00127,53876,12,152,43851,3,9847
HT4CWJT00250,HT4BVJT00189,10417,63,251,34,28,10040
HT4BTJT00127,HT4BVJT00189,16819,5,143,6393,2,10270
HT4BVJT00189,HT4CWJT00250,9315,6,243,22,4,9037
HT4BVJT00189,HT4BVJT00003,22082,5,251,11407,4,10408
HT4BVJT00189,HT4BVJT00189,23587,14,75,13135,2,10396
HT4BVJT00189,HT4BVJT00003,31873,11,235,21272,4,10382
HT4BVJT00003,HT4CWJT00250,12531,13,191,3096,1,9222
