ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BTJT00127,10422,35,90,47,11,10230
HT4BTJT00127,HT4BTJT00127,18026,20,22,8962,2,9019
HT4BVJT00003,HT4BTJT00127,27054,15,66,17772,2,9098
HT4CWJT00250,HT4CWJT00250,9736,52,16,38,4,9629
HT4BVJT00189,joaquim-MS-7996,1955,62,72,29,1,1791
HT4CWJT00250,HT4BVJT00189,10189,37,112,39,2,10001
HT4BTJT00127,HT4BTJT00127,10268,5,7,1071,2,9181
HT4CWJT00250,HT4BVJT00189,9484,20,83,24,3,9357
HT4BVJT00189,HT4BTJT00127,10327,12,186,904,4,9228
HT4BVJT00189,HT4BTJT00127,16993,16,99,7137,1,9635
HT4CWJT00250,HT4BVJT00189,9597,12,79,4,2,9496
HT4BVJT00003,HT4BTJT00127,23170,40,61,13753,2,9306
HT4BTJT00127,HT4BTJT00127,30009,23,47,20594,2,9340
HT4BTJT00127,joaquim-MS-7996,1725,44,59,3,0,1615
HT4BVJT00189,joaquim-MS-7996,1909,6,54,292,0,1554
HT4BVJT00189,HT4BVJT00189,9660,22,27,13,3,9605
HT4CWJT00250,HT4BTJT00127,31259,44,86,21795,3,9330
HT4CWJT00250,HT4BTJT00127,40321,17,48,30887,1,9368
HT4CWJT00250,HT4CWJT00250,9030,15,55,21,3,8938
HT4BVJT00189,HT4BTJT00127,45808,5,67,36303,1,9430
HT4BVJT00003,joaquim-MS-7996,1689,11,68,5,1,1591
HT4BVJT00003,joaquim-MS-7996,1633,13,43,1,0,1567
HT4BVJT00189,HT4BVJT00189,9716,14,55,7,1,9636
HT4BVJT00189,HT4CWJT00250,9002,15,74,25,4,8886
HT4BVJT00189,HT4BVJT00189,17141,17,75,7278,3,9784
HT4CWJT00250,HT4BTJT00127,44377,12,70,34886,1,9386
HT4BTJT00127,HT4BVJT00189,22378,6,82,12491,9,9786
HT4BVJT00189,joaquim-MS-7996,1692,6,87,5,1,1586
HT4BVJT00189,HT4BTJT00127,45044,16,64,35455,2,9500
HT4BVJT00003,HT4BVJT00189,27014,42,66,16906,3,9903
HT4BTJT00127,HT4BTJT00127,54135,14,51,44596,1,9477
HT4BVJT00189,HT4BVJT00189,36571,5,19,26600,1,9956
HT4BVJT00189,joaquim-MS-7996,1660,16,54,4,1,1583
HT4BVJT00189,HT4BTJT00127,57463,6,53,47897,3,9482
HT4BVJT00189,HT4CWJT00250,8989,5,89,22,4,8866
