ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10430,11,105,26,5,10325
HT4BTJT00127,HT4CWJT00250,10947,8,909,48,7,9995
HT4CWJT00250,HT4BVJT00003,14737,16,780,4441,7,9525
HT4BVJT00003,HT4BVJT00189,11296,15,662,45,7,10585
HT4BVJT00189,HT4CWJT00250,9991,27,517,23,6,9352
HT4CWJT00250,HT4BVJT00003,10095,4,353,22,9,9708
HT4BTJT00127,HT4CWJT00250,9711,10,480,24,4,9217
HT4CWJT00250,HT4BVJT00003,10520,16,548,20,7,9930
HT4BVJT00003,HT4BTJT00127,10771,47,692,27,8,10033
HT4BVJT00189,HT4BVJT00003,16312,6,629,5747,3,9966
HT4BVJT00189,HT4BVJT00189,9745,6,127,17,6,9629
HT4CWJT00250,HT4CWJT00250,9466,9,134,23,5,9326
HT4BTJT00127,HT4CWJT00250,15602,13,491,5613,10,9488
HT4BTJT00127,HT4BVJT00003,15500,5,681,4915,4,9914
HT4BTJT00127,HT4BTJT00127,9902,7,90,12,6,9820
HT4CWJT00250,HT4BTJT00127,17307,21,756,6905,5,9613
HT4CWJT00250,HT4BVJT00189,10419,15,492,12,4,9895
HT4CWJT00250,HT4CWJT00250,14229,6,94,4659,3,9503
HT4BTJT00127,HT4BVJT00003,16126,5,465,5715,3,9964
HT4CWJT00250,HT4CWJT00250,11465,8,117,1819,8,9533
HT4BTJT00127,HT4BTJT00127,8244,23,59,16,4,8143
HT4BVJT00189,HT4BTJT00127,18020,7,1032,6973,9,10036
HT4BVJT00003,HT4BTJT00127,26727,31,758,15999,5,9933
HT4BVJT00189,HT4BVJT00189,10227,32,79,28,8,10087
HT4BVJT00189,HT4BVJT00189,21035,13,131,10087,15,10813
HT4BVJT00189,HT4BTJT00127,34547,8,556,23624,6,10363
HT4BVJT00189,HT4BTJT00127,37823,52,453,26558,5,10778
HT4BVJT00189,HT4BTJT00127,46848,12,696,35180,8,10962
HT4BVJT00189,HT4CWJT00250,10229,33,577,34,5,9574
HT4BVJT00003,HT4CWJT00250,15777,7,764,5408,4,9626
HT4BVJT00189,HT4BVJT00189,15691,19,117,4538,5,11027
HT4BVJT00003,HT4BVJT00189,23558,17,762,11823,6,10948
HT4CWJT00250,HT4BVJT00189,30974,16,368,20012,4,10590
HT4BVJT00003,HT4BVJT00189,40910,10,546,29620,9,10730
HT4BVJT00003,HT4CWJT00250,14449,55,372,4491,4,9555
HT4BVJT00003,HT4BVJT00189,46176,13,452,34916,5,10732
HT4BVJT00189,HT4BVJT00189,55392,19,159,44519,12,10722
HT4BVJT00189,HT4BVJT00189,62437,17,138,51515,12,10797
HT4BTJT00127,HT4BVJT00189,66315,13,753,54810,16,10746
