ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,3676,36,1387,5,1,2245
HT4BVJT00189,compute-europe-west-1,4136,13,1904,106,3,2123
HT4BTJT00127,compute-europe-west-1,3956,25,1725,4,1,2157
HT4BVJT00003,compute-europe-west-1,4352,18,2086,4,1,2243
HT4BVJT00003,compute-europe-west-1,8647,8,2382,4275,3,2107
HT4BVJT00189,compute-europe-west-1,5947,23,1597,2079,3,2239
HT4BVJT00003,compute-europe-west-1,8575,10,716,5735,2,2099
HT4BTJT00127,compute-europe-west-1,14959,28,2088,10718,3,2118
HT4BVJT00189,compute-europe-west-1,10446,22,1241,6936,4,2231
HT4BTJT00127,compute-europe-west-1,16521,27,2050,12351,2,2117
HT4BVJT00003,compute-europe-west-1,11736,35,576,8945,4,2177
HT4BTJT00127,compute-europe-west-1,17416,20,1103,14163,4,2123
HT4BTJT00127,compute-europe-west-1,15251,21,3597,9541,3,2108
HT4BVJT00003,compute-europe-west-1,13493,17,1581,9670,5,2141
HT4BTJT00127,compute-europe-west-1,14697,35,1564,10981,4,2109
HT4BVJT00189,compute-europe-west-1,17846,11,8359,7361,3,2107
HT4BVJT00189,compute-europe-west-1,19134,18,11647,5351,4,2115
HT4BVJT00189,compute-europe-west-1,22677,21,12511,8012,3,2098
HT4BTJT00127,compute-europe-west-1,10948,15,4804,3943,4,2169
HT4BVJT00189,compute-europe-west-1,23059,16,10850,10074,5,2098
HT4BTJT00127,compute-europe-west-1,12231,23,4209,5795,4,2136
HT4BVJT00189,compute-europe-west-1,23410,21,10556,10711,4,2109
HT4BVJT00189,compute-europe-west-1,20338,12,5478,12697,1,2141
HT4BTJT00127,compute-europe-west-1,10937,32,1875,6895,3,2136
HT4BVJT00189,compute-europe-west-1,21365,17,6226,13025,3,2093
HT4BVJT00189,compute-europe-west-1,19648,10,2807,14709,3,2091
HT4BVJT00189,compute-europe-west-1,18146,19,1191,14811,0,2117
HT4BVJT00003,compute-europe-west-1,19979,14,2325,15522,4,2137
HT4BVJT00003,compute-europe-west-1,19799,23,551,17069,3,2153
HT4BVJT00189,compute-europe-west-1,21333,19,1230,17984,1,2095
HT4BVJT00189,compute-europe-west-1,20652,10,1717,16768,3,2092
HT4BVJT00003,compute-europe-west-1,19931,16,1386,16440,1,2095
HT4BTJT00127,compute-europe-west-1,21100,27,1587,17421,3,2082
HT4BTJT00127,compute-europe-west-1,21061,26,1367,17572,4,2087
HT4BVJT00003,compute-europe-west-1,26951,11,8930,15888,3,2118
HT4BTJT00127,compute-europe-west-1,22424,25,3487,16799,2,2118
HT4BVJT00003,compute-europe-west-1,28109,32,8965,16944,1,2164
HT4BVJT00003,compute-europe-west-1,29425,27,6806,20445,3,2110
HT4BTJT00127,compute-europe-west-1,17866,27,1279,14459,0,2096
HT4BVJT00189,compute-europe-west-1,22417,9,1901,18409,0,2093
HT4BVJT00189,compute-europe-west-1,23657,23,1400,20155,0,2077
HT4BTJT00127,compute-europe-west-1,17257,31,1756,13391,3,2091
HT4BTJT00127,compute-europe-west-1,18835,13,2055,14624,3,2114
HT4BTJT00127,compute-europe-west-1,17720,30,1061,14466,4,2154
HT4BVJT00003,compute-europe-west-1,17508,32,1577,13679,3,2216
HT4BVJT00003,compute-europe-west-1,19588,21,2005,15371,0,2188
HT4BVJT00189,compute-europe-west-1,22619,26,2078,18379,5,2124
HT4BVJT00003,compute-europe-west-1,19131,13,719,16267,4,2125
HT4BVJT00003,compute-europe-west-1,20997,14,1055,17841,0,2089
HT4BVJT00189,compute-europe-west-1,18921,18,1410,15393,0,2101
HT4BTJT00127,compute-europe-west-1,20893,12,1742,17022,4,2104
HT4BTJT00127,compute-europe-west-1,22444,15,1493,18801,3,2137
HT4BVJT00003,compute-europe-west-1,23427,18,1265,20044,0,2116
HT4BVJT00189,compute-europe-west-1,24197,9,1736,20247,3,2193
HT4BVJT00003,compute-europe-west-1,25270,13,1380,21760,4,2096
HT4BTJT00127,compute-europe-west-1,25208,25,1765,21297,4,2098
HT4BVJT00003,compute-europe-west-1,25512,25,1630,21795,2,2059
HT4BVJT00189,compute-europe-west-1,28669,10,2427,24139,4,2081
HT4BVJT00003,compute-europe-west-1,26567,14,918,23567,1,2066
HT4BVJT00003,compute-europe-west-1,28501,22,1737,24683,3,2059
HT4BVJT00003,compute-europe-west-1,27540,20,1226,24256,2,2058
HT4BVJT00189,compute-europe-west-1,27548,16,6018,19409,2,2069
HT4BVJT00189,compute-europe-west-1,34846,17,8578,24164,4,2073
HT4BTJT00127,compute-europe-west-1,30651,14,6496,22028,3,2100
HT4BVJT00003,compute-europe-west-1,27573,22,4473,20978,3,2097
HT4BTJT00127,compute-europe-west-1,36090,32,5800,28145,3,2069
HT4BVJT00189,compute-europe-west-1,41784,10,6160,33531,3,2078
HT4BVJT00189,compute-europe-west-1,33457,8,5287,26078,2,2076
HT4BVJT00189,compute-europe-west-1,38549,12,4820,31623,3,2062
HT4BVJT00003,compute-europe-west-1,27512,56,2381,22965,2,2069
HT4BVJT00189,compute-europe-west-1,35601,14,3937,29558,4,2068
HT4BVJT00189,compute-europe-west-1,39562,11,2001,35454,3,2080
HT4BTJT00127,compute-europe-west-1,40561,10,1733,36745,3,2079
HT4BVJT00003,compute-europe-west-1,3026,26,1018,4,1,1953
HT4BVJT00189,compute-europe-west-1,3532,21,1585,4,1,1918
HT4BTJT00127,compute-europe-west-1,3530,30,1569,3,1,1908
HT4BVJT00003,compute-europe-west-1,4019,39,2073,5,0,1913
HT4BVJT00003,compute-europe-west-1,7818,31,3032,2828,2,1919
HT4BVJT00189,compute-europe-west-1,5316,23,1544,1821,2,1918
HT4BVJT00003,compute-europe-west-1,9605,15,7596,29,2,1961
HT4BTJT00127,compute-europe-west-1,11499,28,8353,1104,2,2005
HT4BVJT00189,compute-europe-west-1,7277,6,3825,1473,3,1974
HT4BTJT00127,compute-europe-west-1,14735,24,9821,2990,2,1907
HT4BVJT00003,compute-europe-west-1,12266,14,7322,3014,2,1917
HT4BTJT00127,compute-europe-west-1,15433,26,9087,4381,3,1931
HT4BTJT00127,compute-europe-west-1,13091,24,4984,6140,3,1940
HT4BVJT00003,compute-europe-west-1,11066,23,1231,7884,3,1920
HT4BTJT00127,compute-europe-west-1,12108,27,1033,9132,2,1905
HT4BVJT00189,compute-europe-west-1,10734,12,3074,5740,3,1903
HT4BVJT00189,compute-europe-west-1,12161,11,3252,6640,3,2253
HT4BVJT00189,compute-europe-west-1,13815,20,2843,8570,3,2383
HT4BTJT00127,compute-europe-west-1,18558,19,2647,13915,3,1912
HT4BVJT00189,compute-europe-west-1,14015,5,1490,10594,3,1914
HT4BTJT00127,compute-europe-west-1,15624,38,1654,12037,2,1894
HT4BVJT00189,compute-europe-west-1,18005,24,1071,15000,3,1906
HT4BVJT00189,compute-europe-west-1,14720,10,2735,10055,1,1923
HT4BTJT00127,compute-europe-west-1,15723,28,1907,11863,3,1919
HT4BVJT00189,compute-europe-west-1,17445,23,10696,4813,3,1895
HT4BVJT00189,compute-europe-west-1,19392,5,9385,8057,2,1907
HT4BVJT00189,compute-europe-west-1,11987,17,5323,4740,1,1896
HT4BVJT00003,compute-europe-west-1,19221,27,6930,10357,3,1906
HT4BVJT00003,compute-europe-west-1,18836,32,4636,12252,2,1907
HT4BVJT00189,compute-europe-west-1,10645,16,2504,6205,1,1911
HT4BVJT00189,compute-europe-west-1,11684,11,719,9053,2,1890
HT4BVJT00003,compute-europe-west-1,14558,30,1380,11236,1,1912
HT4BTJT00127,compute-europe-west-1,15600,27,1582,12048,3,1919
HT4BTJT00127,compute-europe-west-1,15360,20,901,12535,2,1898
HT4BVJT00003,compute-europe-west-1,18678,17,2823,13933,3,1896
HT4BTJT00127,compute-europe-west-1,16525,15,837,13755,2,1916
HT4BVJT00003,compute-europe-west-1,19611,17,1877,15824,1,1891
HT4BVJT00003,compute-europe-west-1,22396,15,7380,13101,2,1901
HT4BTJT00127,compute-europe-west-1,15542,32,1056,12542,0,1909
HT4BVJT00189,compute-europe-west-1,15634,20,1373,12335,1,1898
HT4BVJT00189,compute-europe-west-1,16471,10,710,13853,1,1896
HT4BTJT00127,compute-europe-west-1,10017,26,1544,6431,2,1963
HT4BTJT00127,compute-europe-west-1,11301,22,1499,7867,3,1903
HT4BTJT00127,compute-europe-west-1,9959,23,1097,6943,3,1900
HT4BVJT00003,compute-europe-west-1,9422,61,2067,5407,3,1893
HT4BVJT00003,compute-europe-west-1,11211,12,2320,6967,2,1904
HT4BVJT00189,compute-europe-west-1,13817,18,1939,9950,2,1929
HT4BVJT00003,compute-europe-west-1,10520,16,538,8043,2,1910
HT4BVJT00003,compute-europe-west-1,11999,53,540,9512,0,1901
HT4BVJT00189,compute-europe-west-1,9690,22,1375,6383,0,1911
HT4BTJT00127,compute-europe-west-1,11482,20,1747,7782,1,1925
HT4BTJT00127,compute-europe-west-1,12878,23,1541,9390,2,1927
HT4BVJT00003,compute-europe-west-1,13614,55,1388,10281,0,1907
HT4BVJT00189,compute-europe-west-1,14130,14,1567,10645,3,1910
HT4BVJT00003,compute-europe-west-1,15123,14,1222,11933,2,1949
HT4BTJT00127,compute-europe-west-1,14881,25,2105,10840,2,1909
HT4BVJT00003,compute-europe-west-1,15028,10,1542,11555,2,1928
HT4BVJT00003,compute-europe-west-1,15901,20,638,13303,0,1926
HT4BVJT00189,compute-europe-west-1,17804,26,1750,14117,3,1905
HT4BVJT00003,compute-europe-west-1,17534,19,1212,14359,3,1934
HT4BVJT00003,compute-europe-west-1,16593,12,1050,13524,2,1902
HT4BVJT00189,compute-europe-west-1,16214,13,1547,12756,3,1894
HT4BVJT00189,compute-europe-west-1,17133,12,1058,14141,3,1901
HT4BTJT00127,compute-europe-west-1,19051,51,1614,15453,3,1908
HT4BVJT00003,compute-europe-west-1,19987,26,1581,16399,3,1943
HT4BTJT00127,compute-europe-west-1,19921,30,1073,16905,2,1906
HT4BVJT00189,compute-europe-west-1,21357,17,1943,17498,3,1902
HT4BVJT00189,compute-europe-west-1,23213,19,2077,19179,2,1897
HT4BVJT00189,compute-europe-west-1,24783,16,1084,20964,2,1910
HT4BVJT00003,compute-europe-west-1,27066,15,1521,23629,2,1887
HT4BVJT00189,compute-europe-west-1,25015,8,534,22555,2,1907
HT4BVJT00189,compute-europe-west-1,26544,45,2921,21685,3,1893
HT4BTJT00127,compute-europe-west-1,27423,10,2092,23427,3,1898
HT4BVJT00003,compute-europe-west-1,3054,35,1068,3,0,1949
HT4BVJT00189,compute-europe-west-1,3555,57,1569,4,1,1924
HT4BTJT00127,compute-europe-west-1,3324,20,1385,3,0,1923
HT4BVJT00003,compute-europe-west-1,3812,30,1772,4,0,2026
HT4BVJT00003,compute-europe-west-1,5739,23,1769,1977,2,1958
HT4BVJT00189,compute-europe-west-1,7071,11,1387,3744,3,1925
HT4BVJT00003,compute-europe-west-1,7451,31,527,4926,2,1958
HT4BTJT00127,compute-europe-west-1,13171,40,2911,8262,2,1956
HT4BVJT00189,compute-europe-west-1,9000,18,895,6159,2,1927
HT4BTJT00127,compute-europe-west-1,14492,37,3995,8521,2,1918
HT4BVJT00003,compute-europe-west-1,10073,27,537,7560,2,1938
HT4BTJT00127,compute-europe-west-1,15260,12,3657,9627,2,1947
HT4BTJT00127,compute-europe-west-1,12822,25,1750,9140,3,1919
HT4BVJT00003,compute-europe-west-1,10796,25,1590,7276,2,1912
HT4BTJT00127,compute-europe-west-1,11855,24,1728,8199,2,1892
HT4BVJT00189,compute-europe-west-1,10486,9,1729,6836,3,1915
HT4BVJT00189,compute-europe-west-1,11571,25,1366,8271,2,1913
HT4BVJT00189,compute-europe-west-1,12766,10,857,9944,3,1943
HT4BTJT00127,compute-europe-west-1,17579,27,2736,12823,3,1929
HT4BVJT00189,compute-europe-west-1,13047,11,706,10360,2,1948
HT4BTJT00127,compute-europe-west-1,14649,29,1797,10886,2,1935
HT4BVJT00189,compute-europe-west-1,17115,9,875,14270,3,1949
HT4BVJT00189,compute-europe-west-1,13840,15,1405,10517,0,1922
HT4BTJT00127,compute-europe-west-1,16764,14,1507,13326,3,1911
HT4BVJT00189,compute-europe-west-1,14671,13,813,11911,3,1926
HT4BVJT00189,compute-europe-west-1,16626,9,6324,8359,3,1945
HT4BVJT00189,compute-europe-west-1,16972,19,4975,10042,0,1899
HT4BVJT00003,compute-europe-west-1,10795,12,1458,7400,3,1912
HT4BVJT00003,compute-europe-west-1,12361,8,861,9576,3,1916
HT4BVJT00189,compute-europe-west-1,15580,20,2995,10634,0,1918
HT4BVJT00189,compute-europe-west-1,14761,6,1398,11442,3,1907
HT4BVJT00003,compute-europe-west-1,13779,28,2113,9747,1,1903
HT4BTJT00127,compute-europe-west-1,14766,32,1550,11278,2,1901
HT4BTJT00127,compute-europe-west-1,14536,20,892,11726,3,1892
HT4BVJT00003,compute-europe-west-1,17938,15,3279,12745,2,1891
HT4BTJT00127,compute-europe-west-1,15681,25,612,13127,3,1904
HT4BVJT00003,compute-europe-west-1,18783,37,3089,13781,1,1896
HT4BVJT00003,compute-europe-west-1,17739,23,2395,13447,2,1888
HT4BTJT00127,compute-europe-west-1,16574,14,1204,13474,0,1884
HT4BVJT00189,compute-europe-west-1,16677,16,1250,13519,1,1894
HT4BVJT00189,compute-europe-west-1,15586,13,1191,12509,1,1868
HT4BTJT00127,compute-europe-west-1,8991,26,1521,5546,3,1902
HT4BTJT00127,compute-europe-west-1,10335,11,1466,6938,3,1906
HT4BTJT00127,compute-europe-west-1,9011,8,1076,6040,2,1904
HT4BVJT00003,compute-europe-west-1,8462,13,1596,4972,2,1893
HT4BVJT00003,compute-europe-west-1,10254,8,2044,6318,2,1888
HT4BVJT00189,compute-europe-west-1,12831,19,2354,8542,2,1916
HT4BVJT00003,compute-europe-west-1,9541,20,695,6922,1,1893
HT4BVJT00003,compute-europe-west-1,11019,14,721,8379,0,1908
HT4BVJT00189,compute-europe-west-1,8795,16,2403,4457,0,1941
HT4BTJT00127,compute-europe-west-1,12519,10,6226,4324,3,1941
HT4BTJT00127,compute-europe-west-1,15776,25,7459,6382,2,1922
