ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,2941,14,1053,3,1,1860
HT4BVJT00189,compute-europe-west-1,3177,18,530,765,0,1859
HT4BTJT00078,compute-europe-west-1,3128,18,1254,4,0,1845
HT4BVJT00003,compute-europe-west-1,2875,49,893,3,0,1926
HT4BVJT00003,compute-europe-west-1,4764,22,1043,1748,0,1953
HT4BVJT00189,compute-europe-west-1,6151,16,868,3297,0,1967
HT4BVJT00003,compute-europe-west-1,6497,25,638,3915,0,1926
HT4BVJT00189,compute-europe-west-1,8092,17,678,5437,0,1954
HT4BVJT00003,compute-europe-west-1,9150,10,357,6865,0,1907
HT4BTJT00078,compute-europe-west-1,7214,11,1064,4276,0,1864
HT4BTJT00078,compute-europe-west-1,8488,16,640,5964,0,1866
HT4BTJT00078,compute-europe-west-1,9133,20,530,6708,0,1877
HT4BVJT00003,compute-europe-west-1,7647,19,901,4860,0,1858
HT4BTJT00078,compute-europe-west-1,8544,25,1062,5614,1,1838
HT4BVJT00189,compute-europe-west-1,7252,14,1040,4305,0,1896
HT4BVJT00189,compute-europe-west-1,8374,18,712,5691,1,1856
HT4BVJT00189,compute-europe-west-1,9418,35,536,6987,0,1860
HT4BTJT00078,compute-europe-west-1,11178,18,560,8765,0,1832
HT4BVJT00189,compute-europe-west-1,12335,18,357,10122,0,1829
HT4BVJT00189,compute-europe-west-1,12384,26,526,10027,1,1804
HT4BTJT00078,compute-europe-west-1,10744,17,1762,7076,0,1889
HT4BTJT00078,compute-europe-west-1,13535,19,1741,9943,0,1837
HT4BVJT00189,compute-europe-west-1,10923,11,842,8214,0,1848
HT4BVJT00189,compute-europe-west-1,12611,10,1016,9724,1,1860
HT4BVJT00189,compute-europe-west-1,13906,14,653,11272,1,1933
HT4BVJT00189,compute-europe-west-1,12574,14,1180,9338,0,1949
HT4BTJT00078,compute-europe-west-1,13729,20,1580,10128,0,1980
HT4BVJT00189,compute-europe-west-1,13644,24,1051,10714,0,1863
HT4BVJT00003,compute-europe-west-1,14464,9,708,11892,0,1859
HT4BVJT00003,compute-europe-west-1,13999,29,884,11195,0,1896
HT4BVJT00003,compute-europe-west-1,9693,21,906,6898,1,1866
HT4BVJT00003,compute-europe-west-1,8091,27,1068,5148,0,1840
HT4BVJT00003,compute-europe-west-1,8868,24,711,6296,0,1832
HT4BVJT00189,compute-europe-west-1,9661,10,690,7109,0,1850
HT4BTJT00078,compute-europe-west-1,11243,19,1082,8291,0,1849
HT4BVJT00003,compute-europe-west-1,11503,22,862,8740,0,1860
HT4BTJT00078,compute-europe-west-1,12846,19,708,10238,0,1857
HT4BVJT00189,compute-europe-west-1,15968,12,691,13414,0,1835
HT4BTJT00078,compute-europe-west-1,13946,17,361,11710,0,1855
HT4BTJT00078,compute-europe-west-1,10969,15,882,8220,0,1852
HT4BVJT00189,compute-europe-west-1,3582,12,693,1043,0,1827
HT4BTJT00078,compute-europe-west-1,2572,20,713,3,0,1821
HT4BTJT00078,compute-europe-west-1,3802,14,841,1130,0,1817
HT4BVJT00003,compute-europe-west-1,4847,32,2617,365,0,1831
HT4BVJT00003,compute-europe-west-1,10365,8,5156,3310,0,1890
HT4BTJT00078,compute-europe-west-1,4261,16,1032,1349,0,1861
HT4BVJT00189,compute-europe-west-1,6078,17,1050,3131,0,1853
HT4BVJT00003,compute-europe-west-1,9585,22,3546,4193,0,1839
HT4BVJT00003,compute-europe-west-1,10938,18,2713,6334,1,1861
HT4BVJT00189,compute-europe-west-1,8357,58,1044,5418,0,1836
HT4BVJT00003,compute-europe-west-1,6722,18,1056,3789,0,1858
HT4BVJT00189,compute-europe-west-1,7987,9,933,5195,1,1841
HT4BVJT00003,compute-europe-west-1,8089,28,712,5488,1,1852
HT4BTJT00078,compute-europe-west-1,9108,14,709,6545,0,1836
HT4BTJT00078,compute-europe-west-1,10383,16,491,8033,0,1836
HT4BVJT00003,compute-europe-west-1,9590,20,859,6869,1,1827
HT4BVJT00003,compute-europe-west-1,10406,15,533,8053,0,1811
HT4BVJT00189,compute-europe-west-1,11679,17,1037,8745,0,1844
HT4BVJT00189,compute-europe-west-1,12489,15,354,10277,0,1838
HT4BTJT00078,compute-europe-west-1,15646,16,857,12923,0,1848
HT4BVJT00003,compute-europe-west-1,13691,54,360,11456,0,1821
