ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,4688,16,2296,8,4,2359
HT4BVJT00189,compute-europe-west-1,11018,8,8631,7,2,2366
HT4BTJT00127,compute-europe-west-1,4564,21,2254,16,2,2264
HT4BVJT00003,compute-europe-west-1,8372,21,4596,1543,6,2215
HT4BVJT00003,compute-europe-west-1,12814,32,5516,5005,3,2250
HT4BVJT00189,compute-europe-west-1,5500,16,2301,920,1,2256
HT4BVJT00003,compute-europe-west-1,12913,13,3721,6885,4,2252
HT4BTJT00127,compute-europe-west-1,21872,10,17270,2310,4,2295
HT4BVJT00189,compute-europe-west-1,7993,10,2862,2863,4,2243
HT4BTJT00127,compute-europe-west-1,18974,29,14542,2109,2,2292
HT4BTJT00127,compute-europe-west-1,37997,10,19228,16524,4,2231
HT4BVJT00003,compute-europe-west-1,9022,19,4895,1840,3,2257
HT4BTJT00127,compute-europe-west-1,31438,23,14732,14420,4,2258
HT4BVJT00003,compute-europe-west-1,10127,15,4256,3611,4,2256
HT4BTJT00127,compute-europe-west-1,31159,10,10931,17938,3,2256
HT4BVJT00189,compute-europe-west-1,14394,11,4707,7408,3,2256
HT4BVJT00189,compute-europe-west-1,9097,13,3221,3627,3,2235
HT4BVJT00189,compute-europe-west-1,15177,7,3743,9153,4,2256
HT4BVJT00003,compute-europe-west-1,10251,20,2596,5398,3,2228
HT4BTJT00127,compute-europe-west-1,27456,32,5495,19689,4,2231
HT4BVJT00189,compute-europe-west-1,15638,21,2016,11391,1,2210
HT4BTJT00127,compute-europe-west-1,28742,17,6106,20413,4,2212
HT4BVJT00189,compute-europe-west-1,16050,29,1555,12253,4,2210
HT4BVJT00189,compute-europe-west-1,24288,11,3908,18148,3,2221
HT4BTJT00127,compute-europe-west-1,30104,9,6149,21736,3,2229
HT4BVJT00189,compute-europe-west-1,25491,8,4160,19070,3,2256
HT4BVJT00189,compute-europe-west-1,23880,24,1841,19805,3,2224
HT4BVJT00189,compute-europe-west-1,24796,10,2603,19969,5,2222
HT4BVJT00189,compute-europe-west-1,23770,6,1589,19956,4,2234
HT4BVJT00189,compute-europe-west-1,23309,7,1877,19170,4,2251
HT4BVJT00003,compute-europe-west-1,25174,15,4065,18897,3,2242
HT4BVJT00003,compute-europe-west-1,25123,9,2351,20474,4,2309
HT4BTJT00127,compute-europe-west-1,26325,11,2829,21245,4,2236
HT4BTJT00127,compute-europe-west-1,26393,33,2074,22114,3,2189
HT4BTJT00127,compute-europe-west-1,34509,10,16807,15485,3,2208
HT4BTJT00127,compute-europe-west-1,38810,9,18500,18104,3,2220
HT4BTJT00127,compute-europe-west-1,36372,36,16757,17368,3,2210
HT4BVJT00003,compute-europe-west-1,30000,24,13020,14768,4,2201
HT4BTJT00127,compute-europe-west-1,44680,8,14722,27697,1,2257
HT4BVJT00003,compute-europe-west-1,37620,10,13694,21738,3,2209
HT4BTJT00127,compute-europe-west-1,41818,10,13913,25679,3,2242
HT4BVJT00003,compute-europe-west-1,34361,21,12119,20026,4,2216
HT4BVJT00189,compute-europe-west-1,19352,25,2508,14607,4,2211
HT4BTJT00127,compute-europe-west-1,43104,15,11218,29624,4,2250
HT4BVJT00003,compute-europe-west-1,35917,14,9867,23792,4,2232
HT4BVJT00189,compute-europe-west-1,18595,14,1092,15271,4,2213
HT4BTJT00127,compute-europe-west-1,33414,52,1049,30103,3,2203
HT4BTJT00127,compute-europe-west-1,35691,46,1089,31807,3,2222
HT4BTJT00127,compute-europe-west-1,40566,16,16618,21666,3,2238
HT4BVJT00189,compute-europe-west-1,35863,6,11128,22531,3,2203
HT4BVJT00003,compute-europe-west-1,28900,27,2928,23724,4,2223
HT4BVJT00003,compute-europe-west-1,26641,42,2550,21877,5,2183
HT4BVJT00003,compute-europe-west-1,30717,8,5288,23184,3,2250
HT4BVJT00189,compute-europe-west-1,34715,7,11796,20669,1,2216
HT4BVJT00003,compute-europe-west-1,39445,8,11064,26163,3,2205
HT4BTJT00127,compute-europe-west-1,33810,16,8742,22827,4,2211
HT4BVJT00189,compute-europe-west-1,35815,7,9096,24507,3,2189
HT4BTJT00127,compute-europe-west-1,41975,8,7804,31868,4,2213
HT4BVJT00003,compute-europe-west-1,35622,9,5439,27963,3,2182
HT4BVJT00189,compute-europe-west-1,36518,7,4552,29675,4,2231
HT4BVJT00003,compute-europe-west-1,39904,44,4105,33532,4,2188
HT4BTJT00127,compute-europe-west-1,42683,11,3943,36498,3,2182
HT4BTJT00127,compute-europe-west-1,44897,10,3187,39490,3,2194
HT4BVJT00003,compute-europe-west-1,38167,9,1433,34419,3,2188
HT4BVJT00003,compute-europe-west-1,41461,8,1674,37555,3,2195
HT4BVJT00189,compute-europe-west-1,46664,13,4441,39971,4,2183
HT4BVJT00003,compute-europe-west-1,43558,25,1746,39586,3,2182
HT4BVJT00189,compute-europe-west-1,52348,9,13602,36470,4,2209
HT4BVJT00003,compute-europe-west-1,47278,8,9920,35127,4,2189
HT4BVJT00189,compute-europe-west-1,59818,6,13719,43923,4,2180
HT4BVJT00189,compute-europe-west-1,55497,5,12499,40751,3,2167
HT4BTJT00127,compute-europe-west-1,44216,18,8768,33179,3,2185
HT4BVJT00189,compute-europe-west-1,63050,6,13210,47578,3,2207
HT4BVJT00189,compute-europe-west-1,55570,7,11312,42049,3,2164
HT4BVJT00003,compute-europe-west-1,50515,15,9165,39104,3,2198
HT4BTJT00127,compute-europe-west-1,46878,50,7161,37398,3,2206
HT4BVJT00189,compute-europe-west-1,57744,9,10060,45402,4,2199
HT4BVJT00189,compute-europe-west-1,4449,11,2064,7,3,2360
HT4BTJT00127,compute-europe-west-1,4738,17,2421,17,2,2277
HT4BVJT00003,compute-europe-west-1,24914,41,13629,9033,2,2237
HT4BVJT00003,compute-europe-west-1,31634,19,14327,15030,4,2270
HT4BVJT00189,compute-europe-west-1,12842,7,9255,1243,1,2314
HT4BVJT00003,compute-europe-west-1,24962,22,11964,10716,3,2245
HT4BTJT00127,compute-europe-west-1,13503,12,7672,3473,5,2373
HT4BVJT00189,compute-europe-west-1,15458,24,9305,3856,2,2255
HT4BTJT00127,compute-europe-west-1,8209,11,5848,21,1,2330
HT4BTJT00127,compute-europe-west-1,16276,13,8776,5162,4,2312
HT4BVJT00003,compute-europe-west-1,25674,13,6394,16985,3,2275
HT4BTJT00127,compute-europe-west-1,14311,15,4782,7198,2,2301
HT4BVJT00003,compute-europe-west-1,19943,16,4896,12788,2,2241
HT4BTJT00127,compute-europe-west-1,22989,16,1793,18915,2,2273
HT4BVJT00189,compute-europe-west-1,24609,7,3561,18393,2,2323
HT4BVJT00189,compute-europe-west-1,21163,20,2413,16449,2,2283
HT4BVJT00189,compute-europe-west-1,25049,5,2445,20293,1,2257
HT4BVJT00003,compute-europe-west-1,29167,10,2831,24249,2,2245
HT4BTJT00127,compute-europe-west-1,30663,9,8503,19898,2,2239
HT4BVJT00189,compute-europe-west-1,25629,10,1124,22258,2,2236
HT4BTJT00127,compute-europe-west-1,34241,10,13709,18276,2,2241
HT4BVJT00189,compute-europe-west-1,30484,16,7835,20389,1,2244
HT4BVJT00189,compute-europe-west-1,32127,20,11857,17995,1,2254
HT4BTJT00127,compute-europe-west-1,28966,11,8882,17818,4,2275
HT4BVJT00189,compute-europe-west-1,35565,7,11944,21332,2,2286
HT4BVJT00189,compute-europe-west-1,29482,18,7429,19777,2,2259
HT4BVJT00189,compute-europe-west-1,30467,8,4951,23263,1,2247
HT4BVJT00189,compute-europe-west-1,29460,7,2142,25037,1,2235
HT4BVJT00189,compute-europe-west-1,28902,44,1234,25393,2,2237
HT4BVJT00003,compute-europe-west-1,30797,12,2857,25691,1,2237
HT4BVJT00003,compute-europe-west-1,30682,14,1525,26896,2,2252
HT4BTJT00127,compute-europe-west-1,43240,13,17284,23699,4,2254
HT4BTJT00127,compute-europe-west-1,43356,20,15829,25278,1,2243
