ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,3216,25,1174,2,1,2002
HT4BVJT00189,compute-europe-west-1,4431,14,2450,3,1,1965
HT4BTJT00127,compute-europe-west-1,3248,23,1249,3,1,1967
HT4BVJT00003,compute-europe-west-1,3906,14,1908,4,1,1989
HT4BVJT00003,compute-europe-west-1,5752,17,2130,1642,3,1964
HT4BVJT00189,compute-europe-west-1,6736,23,1730,2781,2,2186
HT4BVJT00003,compute-europe-west-1,5581,22,1561,2013,4,1983
HT4BTJT00127,compute-europe-west-1,7399,19,1576,3817,2,1968
HT4BVJT00189,compute-europe-west-1,10749,26,1788,6979,3,1951
HT4BTJT00127,compute-europe-west-1,8145,20,896,5264,3,1963
HT4BVJT00003,compute-europe-west-1,11030,21,1715,7272,3,1967
HT4BTJT00127,compute-europe-west-1,11614,20,1863,7753,4,1988
HT4BTJT00127,compute-europe-west-1,5011,15,1888,1136,3,1959
HT4BVJT00003,compute-europe-west-1,3373,10,1376,2,1,1973
HT4BTJT00127,compute-europe-west-1,3629,10,1551,85,3,1967
HT4BVJT00189,compute-europe-west-1,4134,28,2127,3,1,1986
HT4BVJT00189,compute-europe-west-1,4479,22,1825,626,3,1968
HT4BVJT00189,compute-europe-west-1,5057,16,1614,1407,3,2009
HT4BTJT00127,compute-europe-west-1,4834,13,1944,881,3,1977
HT4BVJT00189,compute-europe-west-1,7563,31,1423,4127,2,1967
HT4BTJT00127,compute-europe-west-1,4984,33,534,2427,2,1975
HT4BVJT00189,compute-europe-west-1,5994,16,1826,2209,3,1960
HT4BVJT00189,compute-europe-west-1,3714,14,1741,4,0,1962
HT4BTJT00127,compute-europe-west-1,4756,14,2783,3,1,1972
HT4BVJT00189,compute-europe-west-1,6396,33,3353,1046,3,1973
HT4BVJT00189,compute-europe-west-1,3943,22,1961,3,1,1962
HT4BVJT00189,compute-europe-west-1,3398,11,1410,3,1,1974
HT4BVJT00003,compute-europe-west-1,4617,8,2514,117,2,1971
HT4BVJT00003,compute-europe-west-1,3685,10,1697,3,1,1965
HT4BVJT00189,compute-europe-west-1,4489,14,1313,1200,0,1952
HT4BVJT00189,compute-europe-west-1,3770,44,1741,3,0,1975
HT4BVJT00003,compute-europe-west-1,3385,23,1385,3,0,1967
HT4BTJT00127,compute-europe-west-1,3540,28,1472,119,2,1957
HT4BTJT00127,compute-europe-west-1,5971,18,3948,3,1,1989
HT4BVJT00003,compute-europe-west-1,7203,31,4346,767,2,1967
HT4BTJT00127,compute-europe-west-1,10409,24,7306,1119,3,1974
HT4BVJT00003,compute-europe-west-1,6993,27,4400,594,1,1966
HT4BVJT00003,compute-europe-west-1,4785,27,2768,6,1,1968
