ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,2996,36,1053,3,0,1899
HT4BVJT00189,compute-europe-west-1,2509,33,557,2,0,1914
HT4BTJT00127,compute-europe-west-1,2956,24,1038,2,1,1887
HT4BVJT00003,compute-europe-west-1,2973,19,1045,3,0,1911
HT4BVJT00003,compute-europe-west-1,4757,33,1087,1735,0,1896
HT4BVJT00189,compute-europe-west-1,5497,23,942,2638,0,1896
HT4BVJT00003,compute-europe-west-1,4227,13,700,1616,0,1901
HT4BVJT00189,compute-europe-west-1,5367,31,705,2730,0,1895
HT4BVJT00003,compute-europe-west-1,5583,30,534,3105,0,1921
HT4BTJT00127,compute-europe-west-1,3635,19,1702,2,0,1912
HT4BTJT00127,compute-europe-west-1,4329,34,977,1421,0,1888
HT4BTJT00127,compute-europe-west-1,3800,43,1029,827,0,1894
HT4BVJT00003,compute-europe-west-1,2778,16,864,3,0,1895
HT4BTJT00127,compute-europe-west-1,3104,20,1179,2,0,1900
HT4BVJT00189,compute-europe-west-1,3124,24,1190,3,0,1904
HT4BVJT00189,compute-europe-west-1,3699,26,1762,3,0,1907
HT4BVJT00189,compute-europe-west-1,6127,23,2601,1602,0,1896
HT4BTJT00127,compute-europe-west-1,4059,57,875,1189,0,1947
HT4BVJT00189,compute-europe-west-1,6534,15,2665,1949,1,1898
HT4BVJT00189,compute-europe-west-1,4876,14,531,2447,0,1878
HT4BTJT00127,compute-europe-west-1,2779,23,862,2,0,1896
HT4BTJT00127,compute-europe-west-1,2836,21,379,533,0,1897
HT4BVJT00189,compute-europe-west-1,3570,19,1669,2,0,1883
HT4BVJT00189,compute-europe-west-1,4026,21,2111,3,0,1887
HT4BVJT00189,compute-europe-west-1,4955,25,3003,2,1,1922
HT4BVJT00189,compute-europe-west-1,3486,23,1562,3,0,1902
HT4BTJT00127,compute-europe-west-1,3794,24,1381,481,1,1909
HT4BVJT00189,compute-europe-west-1,2990,27,1070,2,0,1892
HT4BVJT00003,compute-europe-west-1,2740,23,532,298,0,1878
HT4BVJT00003,compute-europe-west-1,2801,26,872,2,0,1901
HT4BVJT00003,compute-europe-west-1,2779,23,866,2,0,1890
HT4BVJT00003,compute-europe-west-1,2775,20,865,2,0,1885
HT4BVJT00003,compute-europe-west-1,2621,21,694,2,0,1875
HT4BVJT00189,compute-europe-west-1,2670,57,705,2,0,1901
HT4BTJT00127,compute-europe-west-1,4000,26,1066,1003,1,1903
HT4BVJT00003,compute-europe-west-1,2831,32,897,4,0,1893
HT4BVJT00189,compute-europe-west-1,2463,23,534,3,0,1903
HT4BTJT00127,compute-europe-west-1,3569,60,1610,4,0,1907
HT4BVJT00003,compute-europe-west-1,3020,27,1076,2,0,1905
HT4BVJT00003,compute-europe-west-1,4807,10,1290,1608,0,1895
HT4BVJT00189,compute-europe-west-1,5510,27,733,2867,0,1879
HT4BVJT00003,compute-europe-west-1,4217,16,709,1598,0,1887
HT4BVJT00189,compute-europe-west-1,5327,29,793,2634,1,1873
HT4BVJT00003,compute-europe-west-1,5541,21,529,3094,0,1893
HT4BTJT00127,compute-europe-west-1,2999,52,1055,3,0,1881
HT4BTJT00127,compute-europe-west-1,3713,16,362,1424,0,1882
HT4BTJT00127,compute-europe-west-1,3128,47,899,294,0,1889
HT4BVJT00003,compute-europe-west-1,2786,28,867,2,0,1887
HT4BTJT00127,compute-europe-west-1,3002,54,1059,2,0,1878
HT4BVJT00189,compute-europe-west-1,3012,29,1050,2,0,1920
HT4BVJT00189,compute-europe-west-1,3230,17,700,616,1,1896
HT4BVJT00189,compute-europe-west-1,3728,20,705,1117,0,1886
HT4BTJT00127,compute-europe-west-1,5462,19,716,2820,1,1872
HT4BVJT00189,compute-europe-west-1,5956,25,885,3193,1,1870
HT4BVJT00189,compute-europe-west-1,4315,27,529,1895,0,1859
HT4BTJT00127,compute-europe-west-1,2810,18,894,2,0,1897
HT4BTJT00127,compute-europe-west-1,2869,30,363,578,0,1892
HT4BVJT00189,compute-europe-west-1,3380,20,702,596,0,1887
HT4BVJT00189,compute-europe-west-1,3397,25,1484,2,1,1888
HT4BVJT00189,compute-europe-west-1,3996,19,1363,696,0,1918
HT4BVJT00189,compute-europe-west-1,4030,20,2116,3,0,1896
HT4BTJT00127,compute-europe-west-1,4265,31,1447,880,1,1908
HT4BVJT00189,compute-europe-west-1,3894,22,1982,2,0,1880
HT4BVJT00003,compute-europe-west-1,3627,26,841,862,1,1897
HT4BVJT00003,compute-europe-west-1,2810,25,878,2,0,1901
HT4BVJT00003,compute-europe-west-1,2796,16,890,2,0,1890
HT4BVJT00003,compute-europe-west-1,2798,24,888,2,0,1876
HT4BVJT00003,compute-europe-west-1,2635,33,719,2,0,1879
HT4BVJT00189,compute-europe-west-1,2594,11,676,2,0,1897
HT4BTJT00127,compute-europe-west-1,3943,25,1414,596,0,1894
HT4BVJT00003,compute-europe-west-1,2965,26,952,2,1,1966
HT4BVJT00189,compute-europe-west-1,2574,42,526,2,0,1955
HT4BTJT00127,compute-europe-west-1,3286,36,1229,4,0,1951
HT4BVJT00003,compute-europe-west-1,3535,28,1518,2,1,1981
HT4BVJT00003,compute-europe-west-1,7318,12,2445,2913,0,1945
HT4BVJT00189,compute-europe-west-1,4200,26,897,1329,0,1935
HT4BVJT00003,compute-europe-west-1,4887,34,880,2020,0,1948
HT4BVJT00189,compute-europe-west-1,6170,30,699,3455,0,1981
HT4BVJT00003,compute-europe-west-1,6493,33,523,3890,1,2039
HT4BTJT00127,compute-europe-west-1,2843,26,865,5,0,1941
HT4BTJT00127,compute-europe-west-1,3566,19,909,705,0,1934
HT4BTJT00127,compute-europe-west-1,3192,18,1211,3,1,1926
HT4BVJT00003,compute-europe-west-1,3052,9,1019,3,0,1955
HT4BTJT00127,compute-europe-west-1,3156,11,1213,3,0,1921
HT4BVJT00189,compute-europe-west-1,3019,21,1046,3,0,1941
HT4BVJT00189,compute-europe-west-1,3345,34,614,702,0,1982
HT4BVJT00189,compute-europe-west-1,5764,20,1054,2756,0,1924
HT4BTJT00127,compute-europe-west-1,3658,20,532,1187,0,1915
HT4BVJT00189,compute-europe-west-1,6144,36,701,3478,1,1926
HT4BVJT00189,compute-europe-west-1,4568,17,528,2124,0,1897
HT4BTJT00127,compute-europe-west-1,3325,21,1382,3,0,1914
