ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,4252,16,1914,7,3,2320
HT4BVJT00189,compute-europe-west-1,13409,27,10164,11,3,3241
HT4BTJT00127,compute-europe-west-1,11464,17,9189,16,3,2228
HT4BVJT00003,compute-europe-west-1,7171,25,2956,1966,2,2211
HT4BVJT00003,compute-europe-west-1,9296,15,3415,3652,2,2206
HT4BVJT00189,compute-europe-west-1,10705,24,2579,5511,1,2169
HT4BVJT00003,compute-europe-west-1,9261,12,3211,3877,2,2174
HT4BTJT00127,compute-europe-west-1,15664,14,4800,8641,2,2196
HT4BVJT00189,compute-europe-west-1,10764,9,2549,6006,2,2178
HT4BTJT00127,compute-europe-west-1,12267,10,2957,7120,1,2164
HT4BTJT00127,compute-europe-west-1,14237,9,2964,9022,2,2197
HT4BVJT00003,compute-europe-west-1,16503,13,14298,6,2,2175
HT4BTJT00127,compute-europe-west-1,11004,20,8799,7,2,2191
HT4BVJT00003,compute-europe-west-1,16266,13,12084,2012,1,2167
HT4BTJT00127,compute-europe-west-1,4375,10,2182,11,2,2174
HT4BVJT00189,compute-europe-west-1,4715,8,2535,8,1,2182
HT4BVJT00189,compute-europe-west-1,5225,25,1204,1801,1,2186
HT4BVJT00189,compute-europe-west-1,5966,18,1091,2672,2,2192
HT4BVJT00003,compute-europe-west-1,7377,10,3342,1864,2,2171
HT4BTJT00127,compute-europe-west-1,8093,13,2451,3425,1,2166
HT4BVJT00189,compute-europe-west-1,9050,24,1762,5113,1,2148
HT4BTJT00127,compute-europe-west-1,10620,25,1487,6942,2,2172
HT4BVJT00189,compute-europe-west-1,16527,13,14194,8,2,2320
HT4BVJT00189,compute-europe-west-1,10567,32,8340,13,2,2174
HT4BTJT00127,compute-europe-west-1,6627,13,3229,1107,2,2265
HT4BVJT00189,compute-europe-west-1,10579,16,6888,1493,2,2176
HT4BVJT00189,compute-europe-west-1,9896,13,7708,5,1,2168
HT4BVJT00189,compute-europe-west-1,8532,12,6298,7,2,2201
HT4BVJT00189,compute-europe-west-1,4175,10,1551,416,2,2186
HT4BVJT00189,compute-europe-west-1,4319,9,2069,12,2,2206
HT4BVJT00003,compute-europe-west-1,5659,12,3270,218,1,2164
HT4BVJT00003,compute-europe-west-1,4552,10,2360,17,1,2176
HT4BTJT00127,compute-europe-west-1,17175,13,13264,1704,1,2201
HT4BTJT00127,compute-europe-west-1,15092,20,11301,1624,1,2157
HT4BTJT00127,compute-europe-west-1,17954,16,11039,4759,2,2156
HT4BTJT00127,compute-europe-west-1,19916,8,11072,6573,2,2251
HT4BTJT00127,compute-europe-west-1,15147,11,10071,2906,1,2163
HT4BVJT00003,compute-europe-west-1,4686,13,2461,12,2,2192
HT4BVJT00003,compute-europe-west-1,11477,18,9226,5,2,2228
HT4BVJT00189,compute-europe-west-1,5455,31,3036,9,4,2362
HT4BTJT00127,compute-europe-west-1,10953,13,8490,15,1,2396
HT4BVJT00003,compute-europe-west-1,6737,10,3643,796,4,2292
HT4BVJT00003,compute-europe-west-1,8950,8,3865,2773,3,2281
HT4BVJT00189,compute-europe-west-1,9938,19,2781,4867,2,2264
HT4BVJT00003,compute-europe-west-1,9096,25,1523,5259,4,2268
HT4BTJT00127,compute-europe-west-1,13443,16,5155,6000,4,2264
HT4BVJT00189,compute-europe-west-1,17517,14,6819,8429,5,2264
HT4BTJT00127,compute-europe-west-1,9964,11,3270,4473,3,2243
HT4BTJT00127,compute-europe-west-1,12174,13,3319,6474,5,2365
HT4BVJT00003,compute-europe-west-1,8401,21,2985,3162,4,2236
HT4BTJT00127,compute-europe-west-1,10354,9,3079,5036,3,2230
HT4BVJT00003,compute-europe-west-1,10508,12,1112,7118,3,2249
HT4BTJT00127,compute-europe-west-1,5190,47,2562,326,4,2242
HT4BVJT00189,compute-europe-west-1,17685,14,8714,6707,3,2241
HT4BVJT00189,compute-europe-west-1,11551,39,6416,2832,3,2268
HT4BVJT00189,compute-europe-west-1,19075,14,8043,8800,3,2226
HT4BVJT00003,compute-europe-west-1,4854,12,2532,14,2,2324
HT4BTJT00127,compute-europe-west-1,5665,13,2149,1241,3,2286
HT4BVJT00189,compute-europe-west-1,13454,11,4301,6893,3,2230
HT4BTJT00127,compute-europe-west-1,8459,13,1156,4954,3,2231
HT4BVJT00189,compute-europe-west-1,14413,21,2317,9786,4,2273
HT4BVJT00189,compute-europe-west-1,6264,15,2356,1667,3,2228
HT4BTJT00127,compute-europe-west-1,8918,8,2450,4213,3,2237
HT4BVJT00189,compute-europe-west-1,6361,14,1169,2932,3,2246
HT4BVJT00189,compute-europe-west-1,6080,8,3828,7,1,2210
HT4BVJT00189,compute-europe-west-1,11691,8,9379,20,3,2270
HT4BVJT00189,compute-europe-west-1,7422,30,4207,913,4,2257
HT4BVJT00189,compute-europe-west-1,7631,15,3318,2040,3,2257
HT4BVJT00003,compute-europe-west-1,4615,13,2344,12,1,2235
HT4BVJT00003,compute-europe-west-1,4785,9,2515,7,1,2267
HT4BTJT00127,compute-europe-west-1,4952,8,2268,400,4,2254
HT4BTJT00127,compute-europe-west-1,5109,9,2885,5,1,2229
HT4BTJT00127,compute-europe-west-1,14652,11,10336,2079,3,2227
HT4BTJT00127,compute-europe-west-1,16707,46,11032,3325,3,2228
HT4BTJT00127,compute-europe-west-1,11784,14,9526,5,2,2246
HT4BVJT00003,compute-europe-west-1,4939,9,2689,13,2,2234
HT4BVJT00003,compute-europe-west-1,4870,23,2391,10,6,2428
HT4BVJT00189,compute-europe-west-1,4127,15,1910,6,1,2195
HT4BTJT00127,compute-europe-west-1,4511,31,2107,104,1,2245
HT4BVJT00003,compute-europe-west-1,4977,12,2630,18,1,2316
HT4BVJT00003,compute-europe-west-1,7130,13,3044,1827,4,2229
HT4BVJT00189,compute-europe-west-1,8170,23,2440,3507,3,2200
HT4BVJT00003,compute-europe-west-1,7187,33,1882,3027,3,2207
HT4BTJT00127,compute-europe-west-1,23745,11,20631,679,4,2419
HT4BVJT00189,compute-europe-west-1,8685,18,4258,2201,5,2237
HT4BTJT00127,compute-europe-west-1,20122,15,16467,1375,2,2245
HT4BTJT00127,compute-europe-west-1,26256,16,21568,2286,5,2356
HT4BVJT00003,compute-europe-west-1,4980,12,2759,17,2,2212
HT4BTJT00127,compute-europe-west-1,15293,12,12820,11,5,2447
HT4BVJT00003,compute-europe-west-1,4704,11,970,1533,1,2201
HT4BTJT00127,compute-europe-west-1,10340,42,4494,3481,4,2303
HT4BVJT00189,compute-europe-west-1,17936,11,14854,843,4,2227
HT4BVJT00189,compute-europe-west-1,18496,18,13660,2605,4,2173
HT4BVJT00189,compute-europe-west-1,23721,18,13102,8384,4,2187
HT4BVJT00003,compute-europe-west-1,11921,9,9644,16,3,2251
HT4BTJT00127,compute-europe-west-1,4758,12,2442,18,3,2305
HT4BVJT00189,compute-europe-west-1,15855,11,9054,4582,3,2198
HT4BTJT00127,compute-europe-west-1,5256,12,1824,1119,3,2235
HT4BVJT00189,compute-europe-west-1,14567,15,6022,6269,4,2252
HT4BVJT00189,compute-europe-west-1,8537,15,2244,4061,4,2192
HT4BTJT00127,compute-europe-west-1,11158,44,2663,6231,4,2222
HT4BVJT00189,compute-europe-west-1,8576,8,1259,5118,4,2185
HT4BVJT00189,compute-europe-west-1,5333,9,2076,1061,1,2177
HT4BVJT00189,compute-europe-west-1,4905,12,2644,16,2,2208
HT4BVJT00189,compute-europe-west-1,4805,15,2579,6,2,2203
HT4BVJT00189,compute-europe-west-1,4339,10,2046,8,5,2213
HT4BVJT00003,compute-europe-west-1,5681,9,2505,944,3,2220
HT4BVJT00003,compute-europe-west-1,11282,7,9096,16,4,2203
