ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9490,49,73,15,2,9375
HT4BTJT00127,HT4BTJT00127,9777,31,67,33,3,9656
HT4BVJT00003,HT4BVJT00003,16578,29,88,7751,6,8729
HT4BVJT00003,HT4BVJT00003,24127,11,42,15047,11,8978
HT4CWJT00250,HT4CWJT00250,9454,26,146,17,3,9300
HT4BVJT00189,HT4BVJT00189,10003,23,42,21,2,9914
HT4BVJT00003,HT4BVJT00003,18088,31,67,8952,2,9074
HT4BVJT00003,HT4BVJT00003,25361,22,94,16157,14,9112
HT4CWJT00250,HT4CWJT00250,8673,17,134,9,2,8543
HT4BTJT00127,HT4BTJT00127,8872,14,44,17,2,8794
HT4CWJT00250,HT4CWJT00250,8635,15,84,27,3,8540
HT4BVJT00003,HT4BVJT00003,21322,24,73,12151,2,9062
HT4BVJT00189,HT4BVJT00189,9288,18,81,19,3,9184
HT4BVJT00189,HT4BVJT00189,15852,12,55,6184,6,9595
HT4CWJT00250,HT4CWJT00250,8670,23,36,12,2,8594
HT4BTJT00127,HT4BTJT00127,9028,18,78,15,3,8934
HT4BTJT00127,HT4BTJT00127,16045,22,22,6904,14,9082
HT4BTJT00127,HT4BTJT00127,21179,31,47,12102,10,8986
HT4CWJT00250,HT4CWJT00250,8777,14,88,14,3,8664
HT4BVJT00003,HT4BVJT00003,10202,20,51,1006,3,9122
HT4CWJT00250,HT4CWJT00250,17243,44,62,8358,4,8808
HT4CWJT00250,HT4CWJT00250,23540,7,24,14674,5,8845
HT4BTJT00127,HT4BTJT00127,24827,21,28,15595,3,9180
HT4BVJT00003,HT4BVJT00003,15607,57,70,6370,3,9149
HT4CWJT00250,HT4CWJT00250,20382,14,57,11341,2,9004
HT4BTJT00127,HT4BTJT00127,18346,17,20,9120,6,9185
HT4BVJT00189,HT4BVJT00189,9448,14,80,12,3,9337
HT4BVJT00189,HT4BVJT00189,25878,61,149,15780,3,9902
HT4BVJT00189,HT4BVJT00189,15951,51,81,6054,3,9789
HT4BVJT00189,HT4BVJT00189,35353,9,101,25143,17,10095
HT4BVJT00003,HT4BVJT00003,9218,14,82,12,5,9150
HT4BVJT00003,HT4BVJT00003,13137,18,53,3987,3,9112
HT4BVJT00189,HT4BVJT00189,37902,18,86,27789,21,9983
HT4BVJT00189,HT4BVJT00189,45983,27,58,36001,3,9930
HT4BVJT00189,HT4BVJT00189,55381,14,99,45356,3,9903
HT4BVJT00003,HT4BVJT00003,19074,32,58,9814,3,9206
HT4BVJT00189,HT4BVJT00189,59470,10,27,49398,4,10028
HT4BVJT00189,HT4BVJT00189,65793,13,47,55662,4,10078
HT4CWJT00250,HT4CWJT00250,8704,13,75,15,2,8597
HT4BVJT00189,HT4BVJT00189,68767,16,81,58672,3,10034
HT4BVJT00189,HT4BVJT00189,75782,16,33,65679,10,10043
HT4BVJT00189,HT4BVJT00189,82862,17,97,72713,4,10104
HT4BVJT00189,HT4BVJT00189,92142,20,33,81960,2,10117
HT4BVJT00189,HT4BVJT00189,102099,24,103,91697,4,10276
HT4BVJT00189,HT4BVJT00189,111802,23,41,101557,3,10180
HT4BTJT00127,HT4BTJT00127,8788,31,103,8,3,8676
HT4BVJT00003,HT4BVJT00003,9537,18,75,30,3,9440
HT4BTJT00127,HT4BTJT00127,9719,60,85,22,3,9589
HT4BVJT00003,HT4BVJT00003,16656,30,97,7819,3,8737
HT4BVJT00003,HT4BVJT00003,24064,13,53,14954,4,9006
HT4CWJT00250,HT4CWJT00250,9440,22,144,17,2,9289
HT4BVJT00189,HT4BVJT00189,10075,20,33,18,3,10001
HT4BVJT00003,HT4BVJT00003,18124,10,33,8932,2,9139
HT4BVJT00003,HT4BVJT00003,25602,23,70,16166,3,9341
HT4CWJT00250,HT4CWJT00250,8646,30,79,27,2,8538
HT4BTJT00127,HT4BTJT00127,8809,49,89,9,4,8672
HT4CWJT00250,HT4CWJT00250,8625,8,83,13,4,8563
HT4BVJT00003,HT4BVJT00003,21668,14,32,12466,6,9155
HT4BVJT00189,HT4BVJT00189,9315,14,69,25,3,9217
