ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9659,25,36,38,3,9571
HT4BTJT00127,HT4BTJT00127,9639,37,38,22,2,9552
HT4BVJT00003,HT4BVJT00003,17211,20,35,7976,3,9149
HT4CWJT00250,HT4CWJT00250,9366,20,28,19,1,9298
HT4BVJT00189,HT4BVJT00189,9674,17,71,20,1,9569
HT4CWJT00250,HT4CWJT00250,8615,25,77,25,4,8488
HT4BTJT00127,HT4BTJT00127,8837,31,88,26,3,8692
HT4CWJT00250,HT4CWJT00250,8490,17,57,16,1,8401
HT4BVJT00189,HT4BVJT00189,8863,17,76,18,2,8754
HT4BVJT00189,HT4BVJT00189,14986,7,8,5815,3,9136
HT4CWJT00250,HT4CWJT00250,8521,21,55,9,1,8438
HT4BVJT00003,HT4BVJT00003,8744,18,55,18,16,8637
HT4BTJT00127,HT4BTJT00127,8710,26,70,21,2,8599
HT4BTJT00127,HT4BTJT00127,15781,17,15,6653,2,9093
HT4BVJT00189,HT4BVJT00189,15413,8,14,6059,2,9333
HT4BVJT00189,HT4BVJT00189,20662,24,11,11263,1,9365
HT4CWJT00250,HT4CWJT00250,8577,14,15,14,4,8528
HT4CWJT00250,HT4CWJT00250,16974,9,9,8375,4,8566
HT4CWJT00250,HT4CWJT00250,22958,7,10,14379,3,8550
HT4BVJT00189,HT4BVJT00189,25344,12,45,15731,1,9553
HT4BVJT00003,HT4BVJT00003,8822,35,81,38,1,8692
HT4BVJT00003,HT4BVJT00003,12457,20,10,3696,2,8730
HT4BVJT00189,HT4BVJT00189,27430,32,32,17754,2,9580
HT4BVJT00189,HT4BVJT00189,35160,18,47,25503,1,9592
HT4BVJT00189,HT4BVJT00189,44238,5,43,34597,3,9589
HT4CWJT00250,HT4CWJT00250,19349,20,8,10632,1,8650
HT4BTJT00127,HT4BTJT00127,8687,13,31,18,3,8627
HT4BVJT00189,HT4BVJT00189,47883,30,23,38244,2,9578
HT4BVJT00189,HT4BVJT00189,53670,11,44,43941,2,9671
HT4BVJT00003,HT4BVJT00003,8953,53,23,19,3,8858
HT4BTJT00127,HT4BTJT00127,11830,110,46,2917,1,8756
HT4BVJT00189,HT4BVJT00189,60763,34,9,53119,2,7582
HT4BVJT00189,HT4BVJT00189,67483,7,8,57785,19,9665
HT4BVJT00189,HT4BVJT00189,74174,34,10,64405,2,9721
HT4BVJT00189,HT4BVJT00189,83049,23,27,73278,3,9686
HT4BVJT00189,HT4BVJT00189,92372,20,60,82492,2,9800
HT4BTJT00127,HT4BTJT00127,8801,21,66,21,3,8694
HT4BTJT00127,HT4BTJT00127,17489,13,11,8621,4,8844
HT4BTJT00127,HT4BTJT00127,24983,20,29,16030,2,8917
HT4BVJT00189,HT4BVJT00189,89884,19,21,80051,4,9793
HT4BVJT00003,HT4BVJT00003,8840,18,32,36,5,8755
HT4CWJT00250,HT4CWJT00250,8507,24,26,12,17,8428
HT4BVJT00189,HT4BVJT00189,96213,13,23,86383,2,9807
HT4BVJT00003,HT4BVJT00003,13974,18,19,5132,1,8798
HT4BVJT00189,HT4BVJT00189,98207,21,8,88381,4,9793
HT4BVJT00003,HT4BVJT00003,9820,20,63,15,1,9728
HT4BTJT00127,HT4BTJT00127,9608,27,37,33,4,9520
HT4BVJT00003,HT4BVJT00003,16968,26,19,8092,8,8825
HT4CWJT00250,HT4CWJT00250,9448,18,67,26,2,9339
HT4BVJT00189,HT4BVJT00189,9826,20,24,26,4,9755
HT4CWJT00250,HT4CWJT00250,8631,20,20,15,3,8574
HT4BTJT00127,HT4BTJT00127,8788,51,59,16,3,8660
HT4CWJT00250,HT4CWJT00250,8502,13,59,10,2,8421
HT4BVJT00189,HT4BVJT00189,9027,20,64,23,3,8909
HT4BVJT00189,HT4BVJT00189,15321,20,15,5928,4,9352
HT4CWJT00250,HT4CWJT00250,8640,50,59,24,3,8508
HT4BVJT00003,HT4BVJT00003,8614,43,56,9,1,8507
HT4BTJT00127,HT4BTJT00127,8936,50,51,12,3,8820
HT4BTJT00127,HT4BTJT00127,15782,23,27,6752,7,8982
HT4BVJT00189,HT4BVJT00189,15851,15,11,6286,1,9536
HT4BVJT00189,HT4BVJT00189,21454,22,9,11724,3,9698
HT4CWJT00250,HT4CWJT00250,8580,15,16,12,2,8532
HT4CWJT00250,HT4CWJT00250,16926,5,8,8281,3,8631
HT4CWJT00250,HT4CWJT00250,23179,10,20,14449,1,8703
HT4BVJT00189,HT4BVJT00189,26516,14,44,16580,4,9874
HT4BVJT00003,HT4BVJT00003,8675,22,74,14,19,8549
HT4BVJT00003,HT4BVJT00003,12290,8,11,3579,4,8687
HT4BVJT00189,HT4BVJT00189,28719,18,56,18864,2,9776
HT4BVJT00189,HT4BVJT00189,36764,16,52,26870,1,9826
HT4BVJT00189,HT4BVJT00189,45960,9,45,36146,2,9757
HT4CWJT00250,HT4CWJT00250,19709,18,7,10863,2,8780
HT4BTJT00127,HT4BTJT00127,8785,29,25,14,3,8721
HT4BVJT00189,HT4BVJT00189,49863,7,50,40028,4,9772
HT4BVJT00189,HT4BVJT00189,55841,10,47,45983,2,9799
HT4BVJT00003,HT4BVJT00003,8929,17,13,14,3,8881
HT4BTJT00127,HT4BTJT00127,12112,17,55,3189,3,8858
HT4BVJT00189,HT4BVJT00189,65182,15,20,55315,2,9834
HT4BVJT00189,HT4BVJT00189,72076,22,16,62125,3,9916
HT4BVJT00189,HT4BVJT00189,78905,7,10,68988,2,9893
HT4BVJT00189,HT4BVJT00189,87851,18,15,77947,2,9871
HT4BVJT00189,HT4BVJT00189,97523,8,49,87540,4,9924
HT4BTJT00127,HT4BTJT00127,8887,51,39,25,1,8773
HT4BTJT00127,HT4BTJT00127,15732,17,9,8753,2,6938
HT4BTJT00127,HT4BTJT00127,23237,34,51,14123,2,9027
HT4BVJT00189,HT4BVJT00189,95166,11,17,85165,4,9965
HT4BVJT00003,HT4BVJT00003,6724,28,27,17,4,6650
HT4CWJT00250,HT4CWJT00250,8595,44,31,11,2,8508
HT4BVJT00189,HT4BVJT00189,101629,13,8,91657,2,9947
HT4BVJT00003,HT4BVJT00003,11820,6,12,3037,4,8758
HT4BVJT00189,HT4BVJT00189,103787,6,9,93722,2,10047
HT4BVJT00003,HT4BVJT00003,10069,32,70,25,5,9972
HT4BTJT00127,HT4BTJT00127,9735,24,235,211,1,9457
HT4BVJT00003,HT4BVJT00003,17300,12,18,8438,2,8836
HT4CWJT00250,HT4CWJT00250,9450,15,31,33,1,9373
HT4BVJT00189,HT4BVJT00189,9912,30,68,24,2,9793
HT4CWJT00250,HT4CWJT00250,8704,20,62,9,1,8616
HT4BTJT00127,HT4BTJT00127,8763,17,69,19,3,8663
HT4CWJT00250,HT4CWJT00250,8575,20,31,19,2,8512
HT4BVJT00189,HT4BVJT00189,9240,25,67,22,6,9121
HT4BVJT00189,HT4BVJT00189,15680,9,7,6202,6,9449
HT4CWJT00250,HT4CWJT00250,8653,11,47,9,1,8585
HT4BVJT00003,HT4BVJT00003,8699,27,55,10,2,8608
HT4BTJT00127,HT4BTJT00127,9049,36,60,24,4,8928
HT4BTJT00127,HT4BTJT00127,15864,17,22,6892,3,8932
HT4BVJT00189,HT4BVJT00189,16245,12,11,6679,1,9545
HT4BVJT00189,HT4BVJT00189,21927,18,11,12139,1,9757
HT4CWJT00250,HT4CWJT00250,8716,24,67,21,2,8609
HT4CWJT00250,HT4CWJT00250,17114,9,9,8428,4,8661
HT4CWJT00250,HT4CWJT00250,23262,8,8,14560,1,8680
HT4BVJT00189,HT4BVJT00189,26896,29,54,16901,2,9894
HT4BVJT00003,HT4BVJT00003,8742,24,74,6,1,8637
HT4BVJT00003,HT4BVJT00003,12439,8,13,3655,2,8760
HT4BVJT00189,HT4BVJT00189,29248,10,26,19375,1,9841
HT4BVJT00189,HT4BVJT00189,37314,54,46,27296,2,9915
HT4BVJT00189,HT4BVJT00189,46690,12,46,36676,3,9948
