ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9729,26,116,22,7,9579
HT4BTJT00127,HT4BTJT00127,9974,11,196,44,7,9744
HT4CWJT00250,HT4CWJT00250,9648,16,130,43,10,9466
HT4BVJT00003,HT4BVJT00003,9268,17,125,162,5,8984
HT4BVJT00189,HT4BVJT00189,10367,20,127,55,26,10148
HT4CWJT00250,HT4CWJT00250,8694,17,108,21,4,8576
HT4BTJT00127,HT4BTJT00127,9051,32,117,11,4,8916
HT4CWJT00250,HT4CWJT00250,8778,20,157,20,11,8612
HT4BVJT00003,HT4BVJT00003,8949,9,102,12,4,8822
HT4BVJT00189,HT4BVJT00189,9618,8,113,11,4,9517
HT4BVJT00189,HT4BVJT00189,16383,15,122,6364,21,9866
HT4CWJT00250,HT4CWJT00250,8822,16,121,19,11,8690
HT4BTJT00127,HT4BTJT00127,9392,12,131,14,6,9187
HT4BTJT00127,HT4BTJT00127,16731,30,120,7143,4,9442
HT4BTJT00127,HT4BTJT00127,22365,22,202,12718,4,9436
HT4CWJT00250,HT4CWJT00250,8912,7,127,22,5,8788
HT4CWJT00250,HT4CWJT00250,17512,13,120,8427,12,8975
HT4CWJT00250,HT4CWJT00250,24118,20,133,14978,5,9015
HT4BTJT00127,HT4BTJT00127,26140,22,119,16610,5,9385
HT4CWJT00250,HT4CWJT00250,20805,15,175,11604,5,8980
HT4BTJT00127,HT4BTJT00127,20049,54,115,10402,11,9509
HT4BVJT00189,HT4BVJT00189,9992,23,168,16,5,9817
HT4BVJT00003,HT4BVJT00003,8915,24,110,30,5,8777
HT4BVJT00189,HT4BVJT00189,17060,41,213,6549,19,10249
HT4BVJT00189,HT4BVJT00189,27140,48,284,16742,7,10097
HT4BVJT00189,HT4BVJT00189,36937,20,148,26436,6,10362
HT4BVJT00189,HT4BVJT00189,39756,20,183,29241,9,10338
HT4BVJT00189,HT4BVJT00189,48219,13,199,37780,6,10265
HT4BVJT00189,HT4BVJT00189,57955,22,138,47559,7,10244
HT4BVJT00003,HT4BVJT00003,9168,14,131,14,4,8997
HT4BVJT00189,HT4BVJT00189,62203,16,156,51821,12,10271
HT4BVJT00003,HT4BVJT00003,13365,19,140,3993,4,9206
HT4CWJT00250,HT4CWJT00250,8769,14,108,16,4,8660
HT4BVJT00003,HT4BVJT00003,18766,11,108,9405,8,9231
HT4BVJT00003,HT4BVJT00003,26049,25,77,16643,5,9274
HT4BVJT00003,HT4BVJT00003,31788,54,121,22251,4,9386
HT4BVJT00189,HT4BVJT00189,58611,10,180,48061,7,10397
HT4BVJT00189,HT4BVJT00189,65187,17,120,54696,6,10366
HT4BTJT00127,HT4BTJT00127,9133,11,148,16,5,8982
HT4BVJT00189,HT4BVJT00189,68502,21,123,58020,6,10357
HT4BVJT00003,HT4BVJT00003,9713,20,100,16,4,9591
HT4BTJT00127,HT4BTJT00127,10003,16,207,30,8,9771
HT4CWJT00250,HT4CWJT00250,9619,25,107,49,5,9431
HT4BVJT00003,HT4BVJT00003,9171,8,140,94,5,8941
HT4BVJT00189,HT4BVJT00189,10360,17,140,37,5,10181
HT4CWJT00250,HT4CWJT00250,8742,11,102,21,3,8637
HT4BTJT00127,HT4BTJT00127,8986,19,95,10,5,8857
HT4CWJT00250,HT4CWJT00250,8822,18,124,20,19,8676
HT4BVJT00003,HT4BVJT00003,9064,17,141,11,4,8921
HT4BVJT00189,HT4BVJT00189,9574,22,131,14,4,9424
HT4BVJT00189,HT4BVJT00189,16321,9,141,6435,65,9696
HT4CWJT00250,HT4CWJT00250,8957,24,143,20,11,8789
HT4BTJT00127,HT4BTJT00127,9205,49,110,12,5,9052
HT4BTJT00127,HT4BTJT00127,16567,14,155,7049,4,9370
HT4BTJT00127,HT4BTJT00127,21959,35,150,12548,6,9273
