ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4CWJT00250,10161,11,300,34,5,9812
HT4BVJT00003,HT4CWJT00250,19377,18,382,9713,2,9315
HT4BVJT00003,HT4CWJT00250,26937,9,220,17610,2,9092
HT4CWJT00250,HT4BVJT00003,10698,43,245,28,5,10388
HT4BVJT00189,HT4CWJT00250,26811,60,269,17182,5,9322
HT4BVJT00003,HT4CWJT00250,30746,15,269,20876,1,9477
HT4BVJT00003,HT4CWJT00250,38474,43,294,28523,3,9615
HT4CWJT00250,HT4BVJT00003,10337,5,198,28,10,10046
HT4BTJT00127,HT4CWJT00250,40353,36,190,30768,2,9379
HT4CWJT00250,HT4BVJT00003,10800,13,255,18,4,10519
HT4BVJT00003,HT4CWJT00250,44520,5,178,34576,2,9788
HT4BVJT00189,HT4CWJT00250,51033,13,192,40909,2,9911
HT4BVJT00189,HT4CWJT00250,57581,14,184,47743,2,9624
HT4CWJT00250,HT4BVJT00003,11855,6,194,1108,2,10578
HT4BTJT00127,HT4CWJT00250,62199,24,175,51847,2,10130
HT4BTJT00127,HT4CWJT00250,70220,17,129,59948,3,10116
HT4BTJT00127,HT4CWJT00250,76440,42,91,66253,1,10046
HT4CWJT00250,HT4BVJT00003,10964,6,153,335,2,10468
HT4BVJT00003,HT4CWJT00250,84497,8,135,73996,2,10341
HT4CWJT00250,HT4BVJT00003,21379,6,148,10519,3,10694
HT4CWJT00250,HT4BVJT00003,30121,43,125,18697,2,11257
HT4BTJT00127,HT4CWJT00250,91737,18,187,81048,3,10500
HT4BVJT00003,HT4CWJT00250,102190,7,224,91085,2,10857
HT4CWJT00250,HT4BVJT00003,29464,4,142,17708,4,11620
HT4BTJT00127,HT4CWJT00250,97280,10,121,86792,3,10331
HT4BVJT00189,HT4CWJT00250,107555,49,195,96755,4,10548
HT4BVJT00189,HT4CWJT00250,126943,9,336,114910,4,11661
HT4BVJT00189,HT4CWJT00250,115221,6,257,103978,2,10973
HT4BVJT00189,HT4CWJT00250,138261,19,235,126060,3,11894
HT4BVJT00003,HT4CWJT00250,148088,4,186,135907,3,11988
HT4BVJT00003,HT4CWJT00250,154863,18,130,142730,3,11972
HT4BVJT00189,HT4CWJT00250,167218,17,234,154438,3,12479
HT4BVJT00189,HT4CWJT00250,178024,59,285,164965,4,12688
HT4BVJT00189,HT4CWJT00250,190457,44,373,177112,4,12961
HT4BVJT00003,HT4CWJT00250,202628,10,140,189537,3,12928
HT4BVJT00189,HT4CWJT00250,208086,13,221,197267,3,10616
HT4BVJT00189,HT4CWJT00250,217138,49,200,203999,4,12900
HT4CWJT00250,HT4BVJT00003,12027,12,117,18,7,11877
HT4BVJT00189,HT4CWJT00250,223021,47,254,209750,4,13003
HT4BVJT00189,HT4CWJT00250,233025,7,181,219894,7,12908
HT4BVJT00189,HT4CWJT00250,242952,10,210,229736,5,12992
HT4BVJT00189,HT4CWJT00250,254972,11,224,241881,3,12889
HT4BVJT00189,HT4CWJT00250,267500,40,164,254457,3,12869
HT4BVJT00189,HT4CWJT00250,280114,12,128,267029,4,12913
HT4BTJT00127,HT4CWJT00250,286685,10,212,273571,4,12923
HT4BTJT00127,HT4CWJT00250,10213,11,460,64,5,9721
HT4BVJT00003,HT4CWJT00250,19389,10,384,9730,5,9308
HT4BVJT00003,HT4CWJT00250,27130,18,219,17567,5,9312
HT4BVJT00189,HT4CWJT00250,27341,12,195,17495,3,9656
HT4BVJT00003,HT4CWJT00250,31370,9,175,21516,2,9642
HT4BVJT00003,HT4CWJT00250,39401,47,261,29254,5,9864
HT4CWJT00250,HT4BVJT00189,10490,5,241,32,4,10229
HT4BTJT00127,HT4CWJT00250,41696,7,165,31780,2,9727
HT4CWJT00250,HT4BVJT00189,10134,9,226,11,3,9885
HT4BVJT00003,HT4CWJT00250,46527,14,167,35804,2,10530
HT4BVJT00189,HT4CWJT00250,53919,41,200,42931,3,10735
HT4BVJT00189,HT4CWJT00250,61673,20,179,50666,2,10799
HT4CWJT00250,HT4BVJT00189,10652,13,191,557,2,9921
HT4BTJT00127,HT4CWJT00250,67705,6,149,55914,3,11622
HT4BTJT00127,HT4CWJT00250,77163,18,121,65493,2,11517
HT4BTJT00127,HT4CWJT00250,85224,45,93,73188,13,11873
HT4CWJT00250,HT4BVJT00189,10342,17,179,42,9,10104
HT4BVJT00003,HT4CWJT00250,95389,16,152,82678,2,12533
HT4CWJT00250,HT4BVJT00189,20196,34,191,9862,3,10142
HT4CWJT00250,HT4BVJT00189,28118,6,140,17545,3,10423
HT4BTJT00127,HT4CWJT00250,104820,5,167,92074,3,12599
HT4BVJT00003,HT4CWJT00250,117389,52,184,104105,4,13045
HT4CWJT00250,HT4BVJT00189,26314,6,310,15521,2,10473
HT4BTJT00127,HT4CWJT00250,115127,13,122,102046,3,12928
