ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,9662,5,48,19,2,9574
HT4BTJT00127,HT4BVJT00189,10513,21,116,21,4,10352
HT4BVJT00003,HT4CWJT00250,16985,16,90,7891,1,8981
HT4CWJT00250,HT4BVJT00003,10710,5,101,38,4,10565
HT4CWJT00250,HT4BVJT00003,9422,13,91,27,3,9276
HT4BTJT00127,HT4BVJT00189,9752,18,84,30,7,9599
HT4CWJT00250,HT4BVJT00003,9261,49,64,11,3,9121
HT4CWJT00250,HT4BVJT00003,9453,19,97,14,5,9324
HT4BVJT00003,HT4CWJT00250,8937,12,59,19,4,8829
HT4BTJT00127,HT4BVJT00189,9848,15,80,20,5,9727
HT4BTJT00127,HT4BVJT00189,17920,18,111,7627,1,10171
HT4CWJT00250,HT4BVJT00003,9560,16,135,20,4,9422
HT4CWJT00250,HT4BVJT00003,18779,7,40,9257,9,9469
HT4CWJT00250,HT4BVJT00003,25982,8,64,16202,1,9712
HT4BVJT00189,HT4BTJT00127,10031,24,60,35,3,9903
HT4BVJT00003,HT4CWJT00250,9019,13,110,20,4,8871
HT4BVJT00003,HT4CWJT00250,12970,12,56,3851,1,9045
HT4BVJT00189,HT4BTJT00127,11758,7,70,2456,1,9225
HT4BVJT00189,HT4BTJT00127,19252,16,48,9833,2,9345
HT4BVJT00189,HT4BTJT00127,28088,14,42,18640,3,9381
HT4CWJT00250,HT4BVJT00003,23467,7,58,13663,1,9729
HT4BTJT00127,HT4BVJT00189,10205,6,94,33,7,10052
HT4BVJT00189,HT4BTJT00127,31640,4,161,21904,2,9567
HT4BVJT00189,HT4BTJT00127,37470,5,46,27879,1,9543
HT4BVJT00003,HT4CWJT00250,9289,41,39,25,4,9175
HT4BTJT00127,HT4BVJT00189,15111,42,66,4507,1,10496
HT4BVJT00189,HT4BTJT00127,46723,9,68,36911,2,9722
HT4BVJT00189,HT4BTJT00127,53839,4,60,43603,1,10152
HT4BVJT00189,HT4BTJT00127,61222,13,49,50734,2,10412
HT4BVJT00189,HT4BTJT00127,71062,6,68,60280,1,10679
HT4BVJT00189,HT4BTJT00127,81366,12,72,70573,5,10704
HT4BTJT00127,HT4BVJT00189,10792,4,190,17,3,10503
HT4BTJT00127,HT4BVJT00189,21044,11,32,10472,3,10526
HT4BTJT00127,HT4BVJT00189,29993,5,94,19453,2,10430
HT4BVJT00189,HT4BTJT00127,79514,6,68,69035,1,10331
HT4BVJT00003,HT4CWJT00250,9056,11,76,24,3,8940
HT4CWJT00250,HT4BVJT00003,10359,13,85,8,2,10243
HT4BVJT00189,HT4BTJT00127,86332,5,52,75845,1,10413
HT4BVJT00003,HT4CWJT00250,14550,8,74,5313,1,9138
HT4BVJT00189,HT4BTJT00127,89242,7,68,78401,2,10737
HT4BTJT00127,HT4CWJT00250,9868,16,118,38,7,9663
HT4BVJT00003,HT4CWJT00250,18700,24,78,9565,1,8932
HT4BVJT00189,HT4CWJT00250,16665,57,66,7456,1,9073
HT4CWJT00250,HT4BVJT00189,10550,4,109,34,4,10404
HT4BTJT00127,HT4CWJT00250,11017,50,67,1677,2,9218
HT4CWJT00250,HT4BVJT00189,10039,5,59,14,6,9956
HT4BVJT00189,HT4CWJT00250,11368,8,59,1872,5,9389
HT4BVJT00189,HT4CWJT00250,17714,4,65,8216,1,9431
HT4CWJT00250,HT4BVJT00189,10777,6,63,495,2,10207
HT4BVJT00003,HT4CWJT00250,24123,15,81,14568,1,9456
HT4BTJT00127,HT4CWJT00250,31179,11,44,21565,1,9555
HT4BTJT00127,HT4CWJT00250,38695,14,71,28986,1,9614
HT4BVJT00189,HT4CWJT00250,47100,6,51,37317,1,9719
HT4BVJT00189,HT4CWJT00250,53218,8,54,42950,5,10204
HT4CWJT00250,HT4BVJT00189,10327,6,72,38,8,10181
HT4CWJT00250,HT4BVJT00189,20472,15,49,9974,2,10431
HT4CWJT00250,HT4BVJT00189,28436,45,58,17844,5,10484
HT4BVJT00189,HT4CWJT00250,58656,12,31,48268,1,10343
HT4BVJT00003,HT4CWJT00250,67371,16,109,56916,2,10329
HT4BVJT00003,HT4CWJT00250,72321,9,57,62193,1,10046
HT4BVJT00189,HT4CWJT00250,81273,10,72,71447,2,9741
HT4BVJT00189,HT4CWJT00250,87388,9,39,79382,3,7936
HT4BVJT00189,HT4CWJT00250,97209,6,48,86780,1,10360
HT4CWJT00250,HT4BVJT00189,26656,19,52,16079,2,10494
HT4BTJT00127,HT4CWJT00250,103151,19,70,92483,2,10529
HT4BVJT00189,HT4CWJT00250,112796,6,82,101713,1,10978
HT4BVJT00189,HT4CWJT00250,120450,5,41,108906,1,11491
HT4BVJT00003,HT4CWJT00250,131972,28,37,120159,1,11745
HT4BTJT00127,HT4CWJT00250,144212,5,40,131734,1,12422
HT4BVJT00189,HT4CWJT00250,156650,43,60,144037,2,12504
HT4BVJT00189,HT4CWJT00250,166528,6,47,153546,2,12920
HT4BVJT00189,HT4CWJT00250,176064,42,51,163401,2,12544
HT4BVJT00189,HT4CWJT00250,187646,5,51,175130,3,12404
HT4BVJT00189,HT4CWJT00250,199673,7,49,187191,1,12415
HT4BTJT00127,HT4CWJT00250,204041,11,75,191242,2,12695
HT4BTJT00127,HT4CWJT00250,216712,10,28,203807,1,12863
HT4BTJT00127,HT4CWJT00250,228159,20,73,215191,2,12864
HT4BVJT00189,HT4CWJT00250,238686,26,66,225696,5,12886
HT4BVJT00003,HT4CWJT00250,251182,10,96,238231,1,12868
HT4CWJT00250,HT4BVJT00189,10373,5,122,11,3,10229
HT4BVJT00189,HT4CWJT00250,260829,22,49,247913,2,12833
HT4BVJT00003,HT4CWJT00250,273264,19,73,260238,2,12884
HT4BVJT00189,HT4CWJT00250,278806,5,88,265820,2,12889
HT4BVJT00003,HT4BTJT00127,10988,52,81,47,559,10188
HT4BVJT00003,HT4BTJT00127,18710,13,76,9198,1,9419
HT4CWJT00250,HT4BTJT00127,24742,11,102,14974,2,9513
HT4CWJT00250,HT4BTJT00127,18764,8,64,9069,3,9610
HT4BTJT00127,HT4BVJT00003,9860,5,76,32,3,9746
HT4CWJT00250,HT4BTJT00127,16631,56,68,6851,1,9654
HT4CWJT00250,HT4BTJT00127,17044,15,90,7078,2,9865
HT4BVJT00003,HT4BTJT00127,26478,14,48,16232,2,10184
HT4BTJT00127,HT4BVJT00003,9169,6,49,20,6,9082
HT4BTJT00127,HT4BVJT00003,16249,4,63,6996,2,9169
HT4CWJT00250,HT4BTJT00127,26149,15,76,15619,1,10393
HT4CWJT00250,HT4BTJT00127,36640,10,39,25852,2,10721
HT4CWJT00250,HT4BTJT00127,45057,9,61,34035,2,10944
HT4BVJT00189,HT4BVJT00003,15314,6,35,5868,1,9394
HT4BVJT00003,HT4BTJT00127,52992,6,75,41946,3,10960
HT4BVJT00003,HT4BTJT00127,58165,14,60,47795,2,10293
HT4BVJT00189,HT4BVJT00003,17346,39,78,7672,2,9549
HT4BVJT00189,HT4BVJT00003,25011,15,54,15434,1,9508
HT4BVJT00189,HT4BVJT00003,34124,8,38,24425,1,9638
HT4CWJT00250,HT4BTJT00127,64443,14,61,53956,2,10408
HT4BTJT00127,HT4BVJT00003,39110,5,80,29423,2,9592
HT4BVJT00189,HT4BVJT00003,47437,8,83,37685,2,9657
HT4BVJT00189,HT4BVJT00003,53320,16,47,43551,1,9695
HT4BVJT00003,HT4BTJT00127,66633,5,28,55431,3,11160
HT4BTJT00127,HT4BVJT00003,63053,8,40,52868,10,10113
HT4BVJT00189,HT4BVJT00003,73385,4,53,62916,3,10396
HT4BVJT00189,HT4BVJT00003,81099,9,52,70241,3,10730
HT4BVJT00189,HT4BVJT00003,86392,12,60,77938,1,8377
HT4BVJT00189,HT4BVJT00003,96026,44,97,85428,5,10481
HT4BVJT00189,HT4BVJT00003,106402,12,69,95586,3,10694
HT4BTJT00127,HT4BVJT00003,109152,4,60,98001,3,11083
HT4BTJT00127,HT4BVJT00003,120309,7,25,108942,2,11332
HT4BTJT00127,HT4BVJT00003,130269,52,71,118757,2,11380
HT4BVJT00189,HT4BVJT00003,138627,11,80,127816,2,10724
HT4BVJT00003,HT4BTJT00127,57632,8,115,46251,1,11258
HT4CWJT00250,HT4BTJT00127,68778,13,91,56590,3,12085
HT4BVJT00189,HT4BVJT00003,145881,9,54,135003,1,10768
HT4BVJT00003,HT4BTJT00127,78552,6,67,66006,3,12469
HT4BVJT00189,HT4BVJT00003,149598,47,69,137821,2,11651
