ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4BVJT00189,11564,7,879,34,12,10628
HT4BVJT00003,HT4BVJT00189,13796,41,552,2974,8,10229
HT4CWJT00250,HT4BVJT00189,13178,6,523,2082,4,10592
HT4BTJT00127,HT4BVJT00189,17138,7,340,5982,9,10725
HT4CWJT00250,HT4BVJT00189,23099,42,510,11526,5,11024
HT4BVJT00003,HT4BVJT00189,33598,6,497,22351,5,10754
HT4CWJT00250,HT4BVJT00189,35646,10,495,23952,7,11207
HT4BTJT00127,HT4BVJT00189,43528,6,421,32013,5,11038
HT4BTJT00127,HT4BVJT00189,50331,10,369,41000,5,8979
HT4BTJT00127,HT4BVJT00189,57878,22,330,46168,7,11374
HT4CWJT00250,HT4BVJT00189,66713,4,361,55268,4,11069
HT4CWJT00250,HT4BVJT00189,77119,14,301,66150,3,10696
HT4CWJT00250,HT4BVJT00189,85304,5,306,74299,5,10726
HT4BTJT00127,HT4BVJT00189,95713,43,237,84536,4,10773
HT4CWJT00250,HT4BVJT00189,94631,7,378,83465,5,10796
HT4BTJT00127,HT4BVJT00189,101764,5,323,90413,7,11015
HT4BVJT00003,HT4BVJT00189,111557,18,415,99842,8,11305
HT4BVJT00189,HT4CWJT00250,11078,17,760,34,5,10286
HT4BVJT00189,HT4CWJT00250,12881,12,424,3165,5,9302
HT4BVJT00189,HT4CWJT00250,20506,10,398,10612,7,9448
HT4BVJT00189,HT4CWJT00250,29629,9,286,19653,7,9670
HT4BVJT00003,HT4BVJT00189,106512,42,378,94660,14,11433
HT4BVJT00189,HT4CWJT00250,33244,11,347,23362,6,9534
HT4BVJT00003,HT4BVJT00189,113405,5,340,101064,6,12003
HT4CWJT00250,HT4BVJT00189,121710,6,322,109968,8,11429
HT4BVJT00003,HT4BVJT00189,132496,7,381,120617,9,11499
HT4BVJT00003,HT4BVJT00189,142527,6,236,130273,9,12004
HT4BVJT00003,HT4BVJT00189,151459,8,367,138511,7,12576
HT4BVJT00189,HT4CWJT00250,28702,7,431,18743,5,9545
HT4BVJT00189,HT4CWJT00250,34557,7,310,24568,5,9668
HT4BTJT00127,HT4BVJT00189,151805,9,722,138584,11,12487
HT4BVJT00189,HT4CWJT00250,37368,15,446,26983,6,9938
HT4BVJT00003,HT4CWJT00250,11019,9,637,32,6,10370
HT4CWJT00250,HT4BVJT00189,11424,14,778,34,5,10594
HT4BVJT00003,HT4CWJT00250,10805,8,450,1121,4,9217
HT4CWJT00250,HT4BVJT00189,10288,5,338,9,3,9964
HT4CWJT00250,HT4BVJT00189,10995,5,536,23,7,10483
HT4BVJT00003,HT4CWJT00250,9715,15,440,23,4,9258
HT4CWJT00250,HT4BVJT00189,12259,54,897,631,5,10707
HT4BTJT00127,HT4CWJT00250,10405,5,650,40,8,9804
HT4BTJT00127,HT4CWJT00250,18047,9,403,7966,4,9631
HT4BTJT00127,HT4CWJT00250,24056,31,467,13676,5,9913
HT4CWJT00250,HT4BVJT00189,11514,14,403,433,8,10662
HT4CWJT00250,HT4BVJT00189,22000,9,212,10964,8,10793
HT4CWJT00250,HT4BVJT00189,30677,4,312,19196,4,11157
HT4BTJT00127,HT4CWJT00250,28059,43,409,18019,4,9568
HT4CWJT00250,HT4BVJT00189,29332,16,377,18004,5,10938
HT4BTJT00127,HT4CWJT00250,22467,5,356,12074,9,10012
HT4BVJT00003,HT4CWJT00250,31795,6,384,20566,5,10850
HT4BVJT00189,HT4BVJT00003,10570,4,368,22,5,10190
HT4BVJT00189,HT4BVJT00003,12674,16,332,2757,4,9604
HT4BVJT00189,HT4BVJT00003,20406,15,424,10391,5,9577
HT4BVJT00189,HT4BVJT00003,29502,11,402,19479,8,9615
HT4BVJT00003,HT4CWJT00250,25750,6,368,14768,4,10600
HT4BVJT00189,HT4BVJT00003,33259,19,346,23233,5,9657
HT4BVJT00003,HT4CWJT00250,31702,9,324,20430,6,10924
HT4CWJT00250,HT4BVJT00189,11109,21,331,14,6,10761
HT4BVJT00003,HT4CWJT00250,38995,9,530,27461,6,11160
HT4BVJT00003,HT4CWJT00250,48560,3,263,36817,5,11503
HT4BVJT00003,HT4CWJT00250,56988,10,356,44548,7,12063
HT4BVJT00189,HT4BVJT00003,28739,12,420,18750,5,9558
HT4BVJT00189,HT4BVJT00003,34482,7,311,24556,7,9579
HT4BTJT00127,HT4CWJT00250,57421,7,614,44236,8,12603
HT4BVJT00189,HT4BVJT00003,37100,6,601,26828,5,9685
HT4BVJT00003,HT4CWJT00250,11010,12,804,49,7,10192
HT4BTJT00127,HT4BVJT00003,11347,8,984,31,8,10307
HT4CWJT00250,HT4BVJT00003,16917,12,772,6919,5,9223
HT4BVJT00003,HT4CWJT00250,10513,19,444,1087,4,8948
HT4BVJT00189,HT4BTJT00127,11227,7,929,30,8,10296
HT4CWJT00250,HT4BVJT00003,10593,15,296,1002,3,9268
HT4BTJT00127,HT4BVJT00003,13368,10,392,3432,4,9577
HT4CWJT00250,HT4BVJT00003,18451,5,888,7560,6,10030
HT4BVJT00003,HT4CWJT00250,9578,11,663,23,40,8879
HT4BVJT00189,HT4BTJT00127,10012,24,576,39,8,9368
HT4BVJT00189,HT4BTJT00127,16363,5,590,6375,5,9430
HT4CWJT00250,HT4BVJT00003,19043,17,435,8576,5,10024
HT4BTJT00127,HT4BVJT00003,25428,14,495,15256,6,9657
HT4BTJT00127,HT4BVJT00003,32978,6,358,22863,5,9751
HT4BTJT00127,HT4BVJT00003,38754,19,276,28956,5,9489
HT4CWJT00250,HT4BVJT00003,46446,6,605,35904,6,9953
HT4CWJT00250,HT4BVJT00003,55847,27,524,45623,3,9710
HT4CWJT00250,HT4BVJT00003,63224,8,428,52951,4,9868
HT4BTJT00127,HT4BVJT00003,73025,9,269,62478,4,10274
HT4CWJT00250,HT4BVJT00003,71225,17,852,60371,5,9986
