ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1939,18,184,13,2,1702
HT4BVJT00003,joaquim-MS-7996,4059,11,178,2394,1,1441
HT4BVJT00003,joaquim-MS-7996,4871,7,136,3156,2,1483
HT4BTJT00127,joaquim-MS-7996,2789,29,216,1013,0,1482
HT4CWJT00250,joaquim-MS-7996,5249,16,197,3568,1,1454
HT4BVJT00189,joaquim-MS-7996,2948,19,169,1257,1,1462
HT4BVJT00003,joaquim-MS-7996,1712,18,121,7,1,1530
HT4BVJT00003,joaquim-MS-7996,2204,21,180,532,1,1442
HT4CWJT00250,joaquim-MS-7996,3459,16,127,1846,1,1458
HT4BTJT00127,joaquim-MS-7996,1719,28,166,8,1,1480
HT4CWJT00250,joaquim-MS-7996,1664,14,188,2,0,1452
HT4BVJT00003,joaquim-MS-7996,2788,16,157,1146,1,1467
HT4BVJT00189,joaquim-MS-7996,2824,16,240,797,1,1469
HT4BVJT00189,joaquim-MS-7996,2473,12,184,801,1,1470
HT4CWJT00250,joaquim-MS-7996,3053,9,127,1222,1,1497
HT4BTJT00127,joaquim-MS-7996,2666,26,144,1041,0,1443
HT4BTJT00127,joaquim-MS-7996,3290,19,97,1558,0,1508
HT4BTJT00127,joaquim-MS-7996,2934,26,71,1163,0,1526
HT4CWJT00250,joaquim-MS-7996,3149,10,127,1457,0,1473
HT4CWJT00250,joaquim-MS-7996,4443,9,188,2779,0,1462
HT4BVJT00003,joaquim-MS-7996,5913,26,196,4199,0,1427
HT4CWJT00250,joaquim-MS-7996,6018,13,91,4421,1,1435
HT4BVJT00003,joaquim-MS-7996,8594,10,126,6863,0,1501
HT4BTJT00127,joaquim-MS-7996,6160,19,109,5495,0,1550
HT4CWJT00250,joaquim-MS-7996,4535,16,113,2792,1,1539
HT4BTJT00127,joaquim-MS-7996,3962,48,119,2287,0,1466
HT4BVJT00189,joaquim-MS-7996,5266,6,159,3649,0,1439
HT4BVJT00189,joaquim-MS-7996,6783,44,295,4874,0,1505
HT4BVJT00189,joaquim-MS-7996,5167,15,256,3372,0,1530
HT4BVJT00189,joaquim-MS-7996,7862,7,145,6245,0,1450
HT4BVJT00003,joaquim-MS-7996,8178,14,115,6542,1,1435
HT4BVJT00003,joaquim-MS-7996,7146,17,162,5377,0,1475
HT4BVJT00189,joaquim-MS-7996,8538,13,192,6792,0,1474
HT4BVJT00189,joaquim-MS-7996,9021,20,144,7377,0,1477
HT4BVJT00189,joaquim-MS-7996,10240,8,142,8608,1,1475
HT4BVJT00003,joaquim-MS-7996,11329,13,122,9720,0,1452
HT4BVJT00189,joaquim-MS-7996,10334,12,163,8552,0,1578
HT4BVJT00189,joaquim-MS-7996,9819,10,232,8115,0,1433
HT4CWJT00250,joaquim-MS-7996,10107,16,109,8413,0,1467
HT4BVJT00189,joaquim-MS-7996,9184,12,192,7447,0,1467
HT4BVJT00189,joaquim-MS-7996,9171,8,201,7424,0,1540
HT4BVJT00189,joaquim-MS-7996,9061,26,263,7282,1,1463
HT4BVJT00189,joaquim-MS-7996,10189,19,175,8500,0,1494
HT4BVJT00189,joaquim-MS-7996,11488,16,159,9808,1,1441
HT4BVJT00189,joaquim-MS-7996,12818,10,167,11041,0,1487
HT4BTJT00127,joaquim-MS-7996,11267,21,153,9523,1,1550
HT4BVJT00189,joaquim-MS-7996,11875,20,256,10066,1,1459
HT4BVJT00189,joaquim-MS-7996,11461,14,164,9807,0,1464
HT4CWJT00250,joaquim-MS-7996,10523,49,158,8739,0,1492
HT4BVJT00189,joaquim-MS-7996,10489,13,122,8866,0,1477
HT4BVJT00189,joaquim-MS-7996,10251,18,208,8449,0,1478
HT4BTJT00127,joaquim-MS-7996,10218,32,126,8530,0,1437
HT4BVJT00189,joaquim-MS-7996,11564,11,236,9785,1,1507
HT4BTJT00127,joaquim-MS-7996,12542,34,164,10787,0,1470
HT4BVJT00003,joaquim-MS-7996,12823,23,131,11150,0,1437
HT4CWJT00250,joaquim-MS-7996,12240,12,108,10498,0,1502
HT4CWJT00250,joaquim-MS-7996,12560,11,110,10964,0,1465
HT4BVJT00189,joaquim-MS-7996,13893,12,161,12201,0,1469
HT4BVJT00003,joaquim-MS-7996,13799,22,97,12192,0,1436
HT4BVJT00189,joaquim-MS-7996,13999,29,78,12418,0,1464
HT4CWJT00250,joaquim-MS-7996,15026,11,90,13477,0,1434
HT4CWJT00250,joaquim-MS-7996,13784,16,115,12219,0,1426
HT4BVJT00003,joaquim-MS-7996,14838,18,118,13133,0,1469
HT4BVJT00003,joaquim-MS-7996,15033,30,102,13372,0,1458
HT4BTJT00127,joaquim-MS-7996,13888,15,133,12131,0,1524
HT4BVJT00189,joaquim-MS-7996,14004,14,131,12345,0,1484
HT4BVJT00189,joaquim-MS-7996,13722,16,143,11984,0,1545
HT4CWJT00250,joaquim-MS-7996,12096,11,124,10398,1,1480
HT4BTJT00127,joaquim-MS-7996,9866,51,144,8105,0,1549
HT4BVJT00189,joaquim-MS-7996,9136,10,132,7439,0,1536
HT4CWJT00250,joaquim-MS-7996,10233,18,192,8410,0,1540
HT4BVJT00003,joaquim-MS-7996,11686,11,227,9898,0,1536
HT4BTJT00127,joaquim-MS-7996,11370,24,171,9671,0,1474
HT4BVJT00003,joaquim-MS-7996,11115,25,230,9333,0,1526
HT4CWJT00250,joaquim-MS-7996,12655,15,240,10842,0,1512
HT4BVJT00189,joaquim-MS-7996,13924,18,189,12136,0,1505
HT4CWJT00250,joaquim-MS-7996,15343,11,134,13584,0,1514
HT4CWJT00250,joaquim-MS-7996,15747,12,192,14003,1,1478
HT4BTJT00127,joaquim-MS-7996,15750,25,121,14109,0,1441
HT4BVJT00189,joaquim-MS-7996,16824,17,155,15191,0,1446
HT4CWJT00250,joaquim-MS-7996,18098,10,140,16473,0,1453
HT4BVJT00189,joaquim-MS-7996,19328,18,171,17589,1,1444
HT4BVJT00003,joaquim-MS-7996,20759,22,179,19014,1,1434
HT4BVJT00189,joaquim-MS-7996,21068,19,154,19450,0,1441
HT4CWJT00250,joaquim-MS-7996,22398,12,153,20697,0,1443
HT4BVJT00003,joaquim-MS-7996,23145,17,168,21495,1,1453
HT4BVJT00189,joaquim-MS-7996,24455,14,164,22771,0,1448
HT4CWJT00250,joaquim-MS-7996,25652,23,116,24044,0,1456
HT4CWJT00250,joaquim-MS-7996,26351,43,154,24730,0,1420
HT4BVJT00189,joaquim-MS-7996,27561,31,166,25880,0,1431
HT4BVJT00003,joaquim-MS-7996,28722,20,161,27087,1,1437
HT4CWJT00250,joaquim-MS-7996,28443,12,155,26803,1,1442
HT4BVJT00003,joaquim-MS-7996,28361,6,188,26698,0,1450
HT4BTJT00127,joaquim-MS-7996,29769,23,193,28093,0,1437
HT4CWJT00250,joaquim-MS-7996,30909,15,184,29158,0,1437
HT4CWJT00250,joaquim-MS-7996,31899,11,109,30227,0,1454
