ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1718,30,65,18,1,1578
HT4BVJT00003,joaquim-MS-7996,2326,52,81,747,0,1427
HT4BTJT00127,joaquim-MS-7996,3768,24,99,2167,0,1417
HT4CWJT00250,joaquim-MS-7996,3457,15,117,1849,0,1414
HT4BVJT00189,joaquim-MS-7996,1513,24,60,5,2,1373
HT4CWJT00250,joaquim-MS-7996,1496,16,56,5,1,1392
HT4BTJT00127,joaquim-MS-7996,1509,35,77,5,0,1378
HT4CWJT00250,joaquim-MS-7996,1669,15,47,4,1,1361
HT4BVJT00189,joaquim-MS-7996,1519,18,67,5,1,1378
HT4BVJT00189,joaquim-MS-7996,1705,15,62,5,1,1600
HT4CWJT00250,joaquim-MS-7996,1721,14,71,188,0,1426
HT4BVJT00003,joaquim-MS-7996,3175,19,56,1541,0,1453
HT4BTJT00127,joaquim-MS-7996,3288,30,50,1748,0,1373
HT4BTJT00127,joaquim-MS-7996,3574,28,52,1984,0,1484
HT4BVJT00189,joaquim-MS-7996,4428,25,63,2897,1,1432
HT4BVJT00189,joaquim-MS-7996,3927,17,50,2305,1,1445
HT4CWJT00250,joaquim-MS-7996,4733,20,72,3283,0,1370
HT4CWJT00250,joaquim-MS-7996,6184,22,44,4611,0,1445
HT4CWJT00250,joaquim-MS-7996,6219,11,50,4676,0,1480
HT4BVJT00189,joaquim-MS-7996,7091,21,38,5580,0,1399
HT4BVJT00003,joaquim-MS-7996,7659,13,77,6087,0,1450
HT4BVJT00003,joaquim-MS-7996,6509,8,47,5012,0,1427
HT4BVJT00189,joaquim-MS-7996,7718,19,66,6060,0,1477
HT4BVJT00189,joaquim-MS-7996,8222,25,53,6616,1,1410
HT4BVJT00189,joaquim-MS-7996,9375,22,41,7766,0,1466
HT4CWJT00250,joaquim-MS-7996,10117,12,49,8639,0,1383
HT4BTJT00127,joaquim-MS-7996,9803,34,85,8231,0,1405
HT4BVJT00189,joaquim-MS-7996,10517,18,73,8929,0,1445
HT4BVJT00189,joaquim-MS-7996,10113,19,41,8568,0,1406
HT4BVJT00003,joaquim-MS-7996,11467,20,40,9898,0,1472
HT4BTJT00127,joaquim-MS-7996,12771,22,46,11246,0,1451
HT4BVJT00189,joaquim-MS-7996,14118,15,49,12650,0,1388
HT4BVJT00189,joaquim-MS-7996,14076,20,57,12493,0,1402
HT4BVJT00189,joaquim-MS-7996,13904,21,47,12301,1,1440
HT4BVJT00189,joaquim-MS-7996,14797,21,57,13327,0,1382
HT4BVJT00189,joaquim-MS-7996,16113,20,56,14563,0,1400
HT4BTJT00127,joaquim-MS-7996,13295,32,70,11789,0,1386
HT4BTJT00127,joaquim-MS-7996,14702,36,48,13164,0,1391
HT4BTJT00127,joaquim-MS-7996,15396,11,52,13876,0,1451
HT4BVJT00189,joaquim-MS-7996,15543,15,58,13985,0,1450
HT4BVJT00003,joaquim-MS-7996,16885,11,46,15355,0,1408
HT4CWJT00250,joaquim-MS-7996,17798,12,73,16223,0,1461
HT4BVJT00189,joaquim-MS-7996,17958,24,55,16463,0,1414
HT4BVJT00003,joaquim-MS-7996,19330,15,60,17773,1,1386
