ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2395,9,431,15,3,1851
HT4BTJT00127,joaquim-MS-7996,3370,13,500,1111,3,1629
HT4CWJT00250,joaquim-MS-7996,3233,8,504,880,2,1704
HT4BVJT00003,joaquim-MS-7996,2800,7,325,693,1,1645
HT4BVJT00189,joaquim-MS-7996,2695,10,491,570,2,1603
HT4CWJT00250,joaquim-MS-7996,1906,17,258,10,1,1601
HT4BTJT00127,joaquim-MS-7996,1928,14,256,7,1,1588
HT4CWJT00250,joaquim-MS-7996,2220,7,522,17,2,1622
HT4BVJT00003,joaquim-MS-7996,3638,36,404,1497,1,1630
HT4BVJT00189,joaquim-MS-7996,3448,7,319,1418,1,1641
HT4BVJT00189,joaquim-MS-7996,3487,19,376,1417,1,1650
HT4CWJT00250,joaquim-MS-7996,4044,11,369,1978,2,1656
HT4BTJT00127,joaquim-MS-7996,4095,14,374,2018,1,1639
HT4BTJT00127,joaquim-MS-7996,4793,12,299,2689,4,1690
HT4BTJT00127,joaquim-MS-7996,4478,16,302,2439,5,1612
HT4CWJT00250,joaquim-MS-7996,4877,11,412,2839,1,1588
HT4CWJT00250,joaquim-MS-7996,6434,6,332,4423,1,1584
HT4CWJT00250,joaquim-MS-7996,6611,9,230,4755,1,1605
HT4BTJT00127,joaquim-MS-7996,7926,16,215,6059,1,1621
HT4CWJT00250,joaquim-MS-7996,3871,9,345,1720,1,1717
HT4BTJT00127,joaquim-MS-7996,3557,30,380,1460,1,1661
HT4BVJT00189,joaquim-MS-7996,4926,14,451,2793,1,1626
HT4BVJT00003,joaquim-MS-7996,6150,6,339,4066,5,1699
HT4BVJT00189,joaquim-MS-7996,6812,11,748,4344,6,1650
HT4BVJT00189,joaquim-MS-7996,8369,11,956,5748,2,1668
HT4BVJT00189,joaquim-MS-7996,9799,34,727,7368,1,1646
