ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,1715,8,156,15,2,1519
HT4BTJT00127,joaquim-MS-7996,1706,45,174,40,0,1361
HT4BVJT00003,joaquim-MS-7996,2841,15,152,1269,1,1365
HT4BVJT00003,joaquim-MS-7996,2738,9,138,1118,1,1354
HT4CWJT00250,joaquim-MS-7996,2017,54,177,331,1,1346
HT4BVJT00189,joaquim-MS-7996,1572,8,169,7,1,1367
HT4BVJT00003,joaquim-MS-7996,1593,11,109,7,0,1380
HT4BVJT00003,joaquim-MS-7996,1606,10,174,9,1,1391
HT4CWJT00250,joaquim-MS-7996,2230,12,114,760,0,1344
HT4BTJT00127,joaquim-MS-7996,1588,47,148,3,0,1364
HT4CWJT00250,joaquim-MS-7996,1604,10,144,6,1,1366
HT4BVJT00003,joaquim-MS-7996,2185,19,116,640,1,1335
HT4BVJT00189,joaquim-MS-7996,1621,20,159,8,1,1370
HT4BVJT00189,joaquim-MS-7996,1605,7,149,7,1,1360
HT4CWJT00250,joaquim-MS-7996,1605,53,144,6,1,1357
HT4BTJT00127,joaquim-MS-7996,1639,25,144,6,1,1360
HT4BTJT00127,joaquim-MS-7996,1613,42,128,6,0,1362
HT4BTJT00127,joaquim-MS-7996,1525,23,73,5,0,1365
HT4CWJT00250,joaquim-MS-7996,1615,10,134,6,1,1369
HT4BVJT00003,joaquim-MS-7996,2829,30,116,1262,1,1339
HT4CWJT00250,joaquim-MS-7996,4070,21,125,2500,1,1374
HT4CWJT00250,joaquim-MS-7996,2823,12,96,1365,0,1342
HT4BTJT00127,joaquim-MS-7996,3662,32,109,2152,0,1335
HT4BVJT00003,joaquim-MS-7996,4480,15,138,2966,1,1336
HT4CWJT00250,joaquim-MS-7996,1517,16,110,3,0,1340
HT4BTJT00127,joaquim-MS-7996,1564,37,111,10,1,1372
HT4BVJT00189,joaquim-MS-7996,2606,17,151,1080,0,1343
HT4BVJT00189,joaquim-MS-7996,3146,11,322,1353,1,1345
HT4BVJT00189,joaquim-MS-7996,1678,13,282,5,1,1379
HT4BVJT00189,joaquim-MS-7996,3861,9,227,2255,1,1358
HT4BVJT00003,joaquim-MS-7996,3006,15,127,1454,0,1343
HT4BVJT00003,joaquim-MS-7996,1526,12,123,5,1,1369
HT4BVJT00189,joaquim-MS-7996,2786,14,105,1278,1,1347
HT4BVJT00189,joaquim-MS-7996,1931,12,138,436,1,1341
HT4BVJT00189,joaquim-MS-7996,3065,18,139,1553,0,1346
HT4BVJT00003,joaquim-MS-7996,3643,25,133,2090,1,1341
HT4BVJT00189,joaquim-MS-7996,1613,16,156,2,1,1356
HT4BVJT00189,joaquim-MS-7996,1540,15,168,3,1,1348
HT4CWJT00250,joaquim-MS-7996,1506,10,112,6,0,1361
HT4BVJT00189,joaquim-MS-7996,1608,16,166,7,1,1375
