ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00189,joaquim-MS-7996,1702,32,72,28,1,1515
HT4BVJT00003,joaquim-MS-7996,1407,22,32,4,0,1337
HT4CWJT00250,joaquim-MS-7996,1480,12,40,6,1,1410
HT4CWJT00250,joaquim-MS-7996,1523,15,55,6,1,1327
HT4CWJT00250,joaquim-MS-7996,1505,14,60,6,0,1329
HT4BTJT00127,joaquim-MS-7996,1921,22,98,480,1,1305
HT4CWJT00250,joaquim-MS-7996,3078,14,65,1686,0,1304
HT4BVJT00189,joaquim-MS-7996,2734,16,53,1290,1,1314
HT4BVJT00189,joaquim-MS-7996,3956,8,33,2527,0,1351
HT4CWJT00250,joaquim-MS-7996,1521,18,116,6,1,1340
HT4BVJT00003,joaquim-MS-7996,4044,14,44,2651,0,1322
HT4BVJT00189,joaquim-MS-7996,2180,23,39,798,0,1309
HT4BVJT00003,joaquim-MS-7996,2745,25,36,1285,0,1339
HT4BVJT00189,joaquim-MS-7996,2463,21,24,1029,0,1300
HT4BTJT00127,joaquim-MS-7996,1453,28,64,4,0,1346
HT4BTJT00127,joaquim-MS-7996,1527,50,33,138,0,1295
HT4BTJT00127,joaquim-MS-7996,1416,12,44,5,0,1328
HT4BVJT00189,joaquim-MS-7996,1417,15,46,4,1,1339
HT4BTJT00127,joaquim-MS-7996,1520,15,64,5,0,1335
HT4CWJT00250,joaquim-MS-7996,1522,18,47,4,1,1383
HT4CWJT00250,joaquim-MS-7996,1401,16,36,4,1,1336
HT4BVJT00003,joaquim-MS-7996,1525,35,64,5,0,1328
HT4BVJT00003,joaquim-MS-7996,1486,20,71,3,1,1387
HT4CWJT00250,joaquim-MS-7996,2040,17,74,517,1,1330
HT4BVJT00003,joaquim-MS-7996,2731,19,76,1205,0,1312
HT4BTJT00127,joaquim-MS-7996,3776,11,28,2391,0,1302
HT4CWJT00250,joaquim-MS-7996,4763,16,43,3331,0,1303
HT4BVJT00003,joaquim-MS-7996,5100,19,55,3620,0,1292
HT4BVJT00003,joaquim-MS-7996,2852,21,28,1464,0,1299
HT4BTJT00127,joaquim-MS-7996,1519,28,44,3,1,1336
HT4CWJT00250,joaquim-MS-7996,2547,19,35,1058,0,1327
HT4BTJT00127,joaquim-MS-7996,2345,8,28,865,1,1351
HT4CWJT00250,joaquim-MS-7996,3661,20,74,2143,0,1309
