ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,joaquim-MS-7996,2319,15,450,34,4,1748
HT4BTJT00127,joaquim-MS-7996,2319,19,485,195,3,1538
HT4CWJT00250,joaquim-MS-7996,2119,9,463,13,3,1555
HT4BVJT00003,joaquim-MS-7996,1894,11,307,13,2,1540
HT4BVJT00189,joaquim-MS-7996,2217,7,496,16,2,1561
HT4CWJT00250,joaquim-MS-7996,1799,11,218,11,1,1541
HT4BTJT00127,joaquim-MS-7996,1914,18,255,7,2,1523
HT4CWJT00250,joaquim-MS-7996,1907,8,313,5,3,1526
HT4BVJT00003,joaquim-MS-7996,3132,17,273,1248,1,1522
HT4BVJT00189,joaquim-MS-7996,1904,14,262,7,2,1513
HT4BVJT00189,joaquim-MS-7996,2011,16,346,13,5,1534
HT4CWJT00250,joaquim-MS-7996,2015,12,335,14,7,1539
HT4BTJT00127,joaquim-MS-7996,2004,14,376,16,3,1541
HT4BTJT00127,joaquim-MS-7996,1908,11,287,14,3,1577
HT4BTJT00127,joaquim-MS-7996,1853,13,292,9,2,1536
HT4CWJT00250,joaquim-MS-7996,1915,8,270,11,2,1582
HT4CWJT00250,joaquim-MS-7996,3168,8,152,1477,0,1510
HT4CWJT00250,joaquim-MS-7996,2307,11,226,347,0,1509
HT4BTJT00127,joaquim-MS-7996,3100,33,229,1318,2,1504
HT4CWJT00250,joaquim-MS-7996,1898,6,330,27,2,1528
HT4BTJT00127,joaquim-MS-7996,1900,11,281,10,8,1568
HT4BVJT00189,joaquim-MS-7996,3107,6,404,1159,1,1523
HT4BVJT00003,joaquim-MS-7996,3545,14,311,1538,1,1580
HT4BVJT00189,joaquim-MS-7996,3005,5,439,1045,2,1514
HT4BVJT00189,joaquim-MS-7996,4474,8,481,2439,2,1515
HT4BVJT00189,joaquim-MS-7996,5501,5,220,3709,1,1516
HT4BVJT00189,joaquim-MS-7996,1828,6,269,9,3,1531
HT4BVJT00189,joaquim-MS-7996,2035,14,364,4,1,1538
HT4BVJT00189,joaquim-MS-7996,2915,13,307,1044,3,1518
HT4BVJT00003,joaquim-MS-7996,1886,7,316,10,3,1536
HT4BVJT00189,joaquim-MS-7996,1985,8,337,13,2,1616
HT4BVJT00003,joaquim-MS-7996,1914,8,295,7,1,1524
HT4CWJT00250,joaquim-MS-7996,1837,8,260,12,2,1541
HT4BVJT00003,joaquim-MS-7996,2626,7,304,779,2,1515
HT4BVJT00003,joaquim-MS-7996,2116,10,202,370,1,1505
HT4BVJT00003,joaquim-MS-7996,1977,48,341,10,2,1545
HT4BVJT00189,joaquim-MS-7996,2094,12,417,55,4,1520
HT4BVJT00189,joaquim-MS-7996,1907,6,292,15,2,1536
HT4BTJT00127,joaquim-MS-7996,2225,24,556,14,6,1531
HT4BVJT00189,joaquim-MS-7996,3731,30,558,1522,1,1512
HT4BVJT00003,joaquim-MS-7996,2269,33,453,22,3,1736
HT4BTJT00127,joaquim-MS-7996,2413,21,491,338,2,1526
HT4CWJT00250,joaquim-MS-7996,2114,11,466,13,2,1542
HT4BVJT00003,joaquim-MS-7996,1892,12,300,6,1,1529
HT4BVJT00189,joaquim-MS-7996,2206,9,497,12,2,1551
HT4CWJT00250,joaquim-MS-7996,1807,12,207,10,1,1531
HT4BTJT00127,joaquim-MS-7996,1835,14,251,11,2,1527
HT4CWJT00250,joaquim-MS-7996,1912,6,305,12,1,1539
HT4BVJT00003,joaquim-MS-7996,3019,17,256,1162,1,1506
HT4BVJT00189,joaquim-MS-7996,1903,10,250,2,0,1503
HT4BVJT00189,joaquim-MS-7996,2008,5,400,5,1,1509
HT4CWJT00250,joaquim-MS-7996,1910,11,329,12,1,1512
HT4BTJT00127,joaquim-MS-7996,1977,16,370,12,2,1551
HT4BTJT00127,joaquim-MS-7996,1950,16,297,14,2,1602
HT4BTJT00127,joaquim-MS-7996,1900,28,277,9,1,1521
HT4CWJT00250,joaquim-MS-7996,1911,6,303,14,2,1546
HT4CWJT00250,joaquim-MS-7996,3243,12,213,1476,0,1522
HT4CWJT00250,joaquim-MS-7996,2220,16,222,381,1,1523
HT4BTJT00127,joaquim-MS-7996,3145,11,223,1398,2,1502
HT4CWJT00250,joaquim-MS-7996,1881,6,329,4,4,1520
HT4BTJT00127,joaquim-MS-7996,1911,12,285,4,3,1570
HT4BVJT00189,joaquim-MS-7996,3087,6,389,1169,3,1515
HT4BVJT00003,joaquim-MS-7996,3526,7,322,1504,1,1579
HT4BVJT00189,joaquim-MS-7996,3168,6,497,1045,1,1518
HT4BVJT00189,joaquim-MS-7996,4527,7,506,2470,1,1523
HT4BVJT00189,joaquim-MS-7996,5520,10,225,3767,2,1510
HT4BVJT00189,joaquim-MS-7996,1855,12,282,8,3,1538
HT4BVJT00189,joaquim-MS-7996,2076,10,415,15,11,1557
HT4BVJT00189,joaquim-MS-7996,3145,18,341,1178,1,1518
HT4BVJT00003,joaquim-MS-7996,1894,6,319,13,3,1518
HT4BVJT00189,joaquim-MS-7996,2095,16,351,11,2,1628
HT4BVJT00003,joaquim-MS-7996,1896,12,284,16,1,1531
HT4CWJT00250,joaquim-MS-7996,1850,6,253,12,2,1538
HT4BVJT00003,joaquim-MS-7996,2834,6,328,949,3,1514
HT4BVJT00003,joaquim-MS-7996,2395,19,225,570,1,1503
HT4BVJT00003,joaquim-MS-7996,2007,6,311,19,6,1563
HT4BVJT00189,joaquim-MS-7996,2225,6,375,220,2,1525
HT4BVJT00189,joaquim-MS-7996,1904,7,299,12,2,1527
HT4BTJT00127,joaquim-MS-7996,2095,22,506,18,5,1542
HT4BVJT00189,joaquim-MS-7996,3529,11,488,1470,1,1511
HT4BVJT00003,joaquim-MS-7996,2505,11,403,138,9,1915
HT4BTJT00127,joaquim-MS-7996,2847,19,469,583,2,1702
HT4CWJT00250,joaquim-MS-7996,2423,8,756,4,1,1550
HT4BVJT00003,joaquim-MS-7996,2002,7,321,8,1,1596
HT4BVJT00189,joaquim-MS-7996,2907,7,1288,7,1,1602
HT4CWJT00250,joaquim-MS-7996,2007,9,453,4,0,1525
HT4BTJT00127,joaquim-MS-7996,2292,14,627,5,1,1520
HT4CWJT00250,joaquim-MS-7996,2831,7,1257,12,7,1542
HT4BVJT00003,joaquim-MS-7996,4052,18,1297,1154,1,1535
HT4BVJT00189,joaquim-MS-7996,2334,10,699,94,2,1545
HT4BVJT00189,joaquim-MS-7996,2130,7,496,15,9,1530
HT4CWJT00250,joaquim-MS-7996,2012,7,380,19,3,1572
HT4BTJT00127,joaquim-MS-7996,2017,14,389,17,3,1538
HT4BTJT00127,joaquim-MS-7996,1887,17,297,4,3,1511
HT4BTJT00127,joaquim-MS-7996,1865,16,304,9,1,1523
HT4CWJT00250,joaquim-MS-7996,1913,10,275,5,3,1523
HT4CWJT00250,joaquim-MS-7996,3102,6,175,1394,0,1508
HT4CWJT00250,joaquim-MS-7996,2003,15,237,189,0,1515
HT4BTJT00127,joaquim-MS-7996,3038,29,239,1185,2,1497
HT4CWJT00250,joaquim-MS-7996,1924,8,339,21,3,1526
HT4BTJT00127,joaquim-MS-7996,1932,11,304,11,5,1583
HT4BVJT00189,joaquim-MS-7996,2990,11,392,1056,2,1525
HT4BVJT00003,joaquim-MS-7996,3443,6,313,1546,1,1554
HT4BVJT00189,joaquim-MS-7996,2981,31,590,830,1,1534
HT4BVJT00189,joaquim-MS-7996,4544,6,627,2272,2,1519
HT4BVJT00189,joaquim-MS-7996,5434,12,253,3617,1,1526
HT4BVJT00189,joaquim-MS-7996,1850,8,285,12,2,1537
HT4BVJT00189,joaquim-MS-7996,1998,10,339,6,1,1528
HT4BVJT00189,joaquim-MS-7996,2928,7,296,1071,3,1525
HT4BVJT00003,joaquim-MS-7996,1989,5,322,11,2,1551
HT4BVJT00189,joaquim-MS-7996,1996,17,313,13,2,1615
HT4BVJT00003,joaquim-MS-7996,1924,6,279,13,2,1537
HT4CWJT00250,joaquim-MS-7996,1839,6,261,12,2,1546
HT4BVJT00003,joaquim-MS-7996,2660,6,317,772,2,1536
HT4BVJT00003,joaquim-MS-7996,2309,23,245,424,1,1515
HT4BVJT00003,joaquim-MS-7996,2002,7,312,9,1,1549
HT4BVJT00189,joaquim-MS-7996,2023,8,403,54,4,1522
HT4BVJT00189,joaquim-MS-7996,1991,18,321,12,3,1533
HT4BTJT00127,joaquim-MS-7996,1994,20,383,19,3,1550
HT4BVJT00189,joaquim-MS-7996,3279,9,388,1362,1,1507
