EXPERIMENT,DEVICES,CLOUDS,MAX_QUEUE_SIZE,AVG_QUEUE_SIZE,TOTAL_JOBS,AVG_JOBS_DEVICE,MAX_JOBS_DEVICES,AVG_JOBS_CLOUD,MAX_JOBS_CLOUD,DEVICES_WITH_1+JOB,EXECUTION_TIME_AVG,EXECUTION_TIME_MAX,EXECUTION_TIME_MIN,EXECUTION_TIME_DEVICE_AVG,EXECUTION_TIME_DEVICE_MAX,EXECUTION_TIME_DEVICE_MIN,EXECUTION_TIME_CLOUD_AVG,EXECUTION_TIME_CLOUD_MAX,EXECUTION_TIME_CLOUD_MIN,AVG_EXPERIMENT_TIME,MAX_EXPERIMENT_TIME
Single_EstimatedTimeScheduler17/0,8.0,0.0,6.666666666666667,4.125,116.33333333333333,14.541666666666666,116.33333333333333,0.0,0.0,8.0,22605.565714336655,74321.0,8872.333333333334,22605.565714336655,74321.0,8872.333333333334,0.0,0.0,0.0,213823.91666666666,270316.3333333333
SingleDeviceSchedulerCloud16/0,6.0,1.0,2.3333333333333335,0.3333333333333333,136.0,11.333333333333334,15.333333333333334,68.0,68.0,7.0,1624.7298387534865,3496.3333333333335,728.3333333333334,1678.7891143578645,3496.3333333333335,1138.3333333333333,1300.3741851272198,3114.0,728.3333333333334,190498.52380952382,229900.0
MultiDeviceSchedulerLocalRemoteRandom07/0,4.0,0.0,9.0,5.083333333333333,62.333333333333336,15.583333333333334,19.666666666666668,0.0,0.0,4.0,37512.18551756835,201825.66666666666,8272.0,37512.18551756835,201825.66666666666,8272.0,0.0,0.0,0.0,770393.4166666666,960737.0
MultiDeviceSchedulerLocalRemoteRoundRobin08/0,4.0,0.0,1.6666666666666667,1.3333333333333333,47.666666666666664,11.916666666666666,15.333333333333334,0.0,0.0,4.0,12779.46696127946,26316.0,8852.333333333334,12779.46696127946,26316.0,8852.333333333334,0.0,0.0,0.0,231760.66666666666,244533.0
SingleDeviceSchedulerCloud15/0,6.0,1.0,5.333333333333333,0.7619047619047619,324.6666666666667,27.055555555555557,31.0,162.33333333333334,162.33333333333334,7.0,2454.499950174934,6086.333333333333,974.0,2503.8760329758593,6086.333333333333,1239.0,2158.2434533693827,5732.666666666667,974.0,228070.66666666666,239824.33333333334
MultiDeviceSchedulerLocalRemoteRandom02/0,2.0,0.0,9.0,6.0,35.333333333333336,17.666666666666668,20.333333333333332,0.0,0.0,2.0,209658.39800808122,401669.6666666667,10560.333333333334,209658.39800808122,401669.6666666667,10560.333333333334,0.0,0.0,0.0,1405367.1666666667,1532729.6666666667
SingleDeviceSchedulerCloud04/0,1.0,1.0,1.0,0.5,26.0,13.0,13.0,13.0,13.0,2.0,1254.9479166666667,2619.3333333333335,708.3333333333334,1454.1278846153846,2619.3333333333335,994.6666666666666,1055.7679487179487,2231.3333333333335,708.3333333333334,213966.83333333334,214138.33333333334
MultiDeviceSchedulerLocalRemoteRoundRobin16/0,8.0,0.0,3.6666666666666665,2.2083333333333335,85.66666666666667,10.708333333333334,16.0,0.0,0.0,8.0,15907.504326749638,40785.333333333336,7838.0,15907.504326749638,40785.333333333336,7838.0,0.0,0.0,0.0,224598.45833333334,247934.33333333334
MultiDeviceSchedulerLocalRemoteRoundRobin14/0,8.0,0.0,9.0,9.0,370.0,46.25,59.333333333333336,0.0,0.0,8.0,170831.6916199976,444557.6666666667,9381.333333333334,170831.6916199976,444557.6666666667,9381.333333333334,0.0,0.0,0.0,642308.625,677632.6666666666
Single_EstimatedTimeScheduler20/0,8.0,0.0,1.3333333333333333,1.0416666666666667,15.666666666666666,1.9583333333333333,15.666666666666666,0.0,0.0,8.0,11941.30980392157,17427.666666666668,8868.666666666666,11941.30980392157,17427.666666666668,8868.666666666666,0.0,0.0,0.0,45519.791666666664,224902.0
SingleDeviceSchedulerCloud05/0,2.0,1.0,9.0,3.0,490.0,122.5,128.0,245.0,245.0,3.0,10364.255138472136,25430.0,1428.3333333333333,10466.531638949617,25430.0,1718.3333333333333,10159.702137517175,25202.333333333332,1428.3333333333333,258096.66666666666,258943.0
SingleDeviceSchedulerRemote03/0,2.0,0.0,4.666666666666667,2.3333333333333335,23.0,11.5,23.0,0.0,0.0,2.0,27211.085839599004,63164.0,9586.0,27211.085839599004,63164.0,9586.0,0.0,0.0,0.0,291489.1666666667,291582.3333333333
Single_EstimatedTimeScheduler14/0,6.0,0.0,4.333333333333333,2.277777777777778,48.666666666666664,8.11111111111111,48.666666666666664,0.0,0.0,6.0,16274.003410059677,45627.333333333336,8826.666666666666,16274.003410059677,45627.333333333336,8826.666666666666,0.0,0.0,0.0,130282.77777777777,252884.0
MultiDeviceSchedulerLocalRemoteRoundRobin11/0,6.0,0.0,3.6666666666666665,2.6666666666666665,122.66666666666667,20.444444444444446,25.0,0.0,0.0,6.0,19234.41311521368,42291.333333333336,8936.0,19234.41311521368,42291.333333333336,8936.0,0.0,0.0,0.0,231631.55555555553,255438.33333333334
Single_MultiDeviceSchedulerLocalRemoteRandom04/0,2.0,0.0,1.6666666666666667,0.8333333333333334,10.0,5.0,10.0,0.0,0.0,2.0,11239.88424908425,18355.0,8789.666666666666,11239.88424908425,18355.0,8789.666666666666,0.0,0.0,0.0,179979.0,180135.0
Single_MultiDeviceSchedulerLocalRemoteRandom10/0,6.0,0.0,2.3333333333333335,1.3888888888888886,52.0,8.666666666666666,52.0,0.0,0.0,6.0,12469.62962962963,28549.666666666668,8664.0,12469.62962962963,28549.666666666668,8664.0,0.0,0.0,0.0,214921.4,246417.0
Single_MultiDeviceSchedulerLocalRemoteRandom03/0,2.0,0.0,6.333333333333333,3.1666666666666665,23.0,11.5,23.0,0.0,0.0,2.0,38441.32062678063,88826.66666666667,10043.333333333334,38441.32062678063,88826.66666666667,10043.333333333334,0.0,0.0,0.0,301118.6666666667,301268.3333333333
MultiDeviceSchedulerLocalRemoteRoundRobin03/0,2.0,0.0,6.0,5.333333333333333,46.0,23.0,24.333333333333332,0.0,0.0,2.0,33738.17200501254,86078.66666666667,9130.666666666666,33738.17200501254,86078.66666666667,9130.666666666666,0.0,0.0,0.0,297052.5,301658.0
Single_MultiDeviceSchedulerLocalRemoteRandom06/0,4.0,0.0,3.6666666666666665,2.1666666666666665,51.0,12.75,51.0,0.0,0.0,4.0,16893.610324633,44623.333333333336,8548.0,16893.610324633,44623.333333333336,8548.0,0.0,0.0,0.0,239797.83333333334,259204.66666666666
SingleDeviceSchedulerCloud11/0,4.0,1.0,9.0,1.8,381.3333333333333,47.666666666666664,51.666666666666664,190.66666666666666,190.66666666666666,5.0,4555.518902303525,14456.666666666666,981.6666666666666,4627.885967601492,14456.666666666666,1198.0,4266.050641111655,14083.0,981.6666666666666,235498.0,239996.33333333334
Single_MultiDeviceSchedulerLocalRemoteRandom11/0,6.0,0.0,1.0,0.7777777777777778,19.333333333333332,3.222222222222222,19.333333333333332,0.0,0.0,6.0,9917.607894736842,14456.0,8773.666666666666,9917.607894736842,14456.0,8773.666666666666,0.0,0.0,0.0,161002.35,230567.66666666666
EstimatedTimeScheduler20/0,8.0,0.0,4.333333333333333,2.75,106.66666666666667,13.333333333333334,19.0,0.0,0.0,8.0,16081.289139233908,47636.333333333336,8415.333333333334,16081.289139233908,47636.333333333336,8415.333333333334,0.0,0.0,0.0,223659.58333333334,251730.0
