EXPERIMENT,DEVICES,CLOUDS,MAX_QUEUE_SIZE,AVG_QUEUE_SIZE,TOTAL_JOBS,AVG_JOBS_DEVICE,MAX_JOBS_DEVICES,AVG_JOBS_CLOUD,MAX_JOBS_CLOUD,DEVICES_WITH_1+JOB,EXECUTION_TIME_AVG,EXECUTION_TIME_MAX,EXECUTION_TIME_MIN,EXECUTION_TIME_DEVICE_AVG,EXECUTION_TIME_DEVICE_MAX,EXECUTION_TIME_DEVICE_MIN,EXECUTION_TIME_CLOUD_AVG,EXECUTION_TIME_CLOUD_MAX,EXECUTION_TIME_CLOUD_MIN,AVG_EXPERIMENT_TIME,MAX_EXPERIMENT_TIME
Single_EstimatedTimeScheduler17/0/2,8,0,7,4.75,123,15.375,123,0,0,8,25033.536585365855,91318,8908,25033.536585365855,91318,8908,0,0,0,224289.0,295795
Single_EstimatedTimeScheduler17/0/1,8,0,6,3.625,114,14.25,114,0,0,8,20975.508771929824,57364,8915,20975.508771929824,57364,8915,0,0,0,219111.625,256831
Single_EstimatedTimeScheduler17/0/0,8,0,7,4.0,112,14.0,112,0,0,8,21807.651785714286,74281,8794,21807.651785714286,74281,8794,0,0,0,198071.125,258323
SingleDeviceSchedulerCloud16/0/2,6,1,3,0.42857142857142855,134,11.166666666666666,16,67,67,7,1689.2149699536426,3552,731,1745.4149773837273,3552,1070,1352.0149253731342,3356,731,189104.14285714287,230808
SingleDeviceSchedulerCloud16/0/1,6,1,2,0.2857142857142857,136,11.333333333333334,15,68,68,7,1503.4627951180476,3193,738,1552.4688492063494,3193,1107,1209.4264705882354,2867,738,198236.42857142858,236853
SingleDeviceSchedulerCloud16/0/0,6,1,2,0.2857142857142857,138,11.5,15,69,69,7,1681.5117511887697,3744,716,1738.4835164835165,3744,1238,1339.6811594202898,3119,716,184155.0,222039
MultiDeviceSchedulerLocalRemoteRandom07/0/2,4,0,9,5.0,80,20.0,23,0,0,4,36280.3054028133,90206,8775,36280.3054028133,90206,8775,0,0,0,293384.25,305201
MultiDeviceSchedulerLocalRemoteRandom07/0/1,4,0,9,5.25,47,11.75,15,0,0,4,40028.169642857145,164255,7026,40028.169642857145,164255,7026,0,0,0,911376.75,1172096
MultiDeviceSchedulerLocalRemoteRandom07/0/0,4,0,9,5.0,60,15.0,21,0,0,4,36228.08150703463,351016,9015,36228.08150703463,351016,9015,0,0,0,1106419.25,1404914
MultiDeviceSchedulerLocalRemoteRoundRobin08/0/2,4,0,2,1.5,51,12.75,18,0,0,4,12783.13005050505,24220,8922,12783.13005050505,24220,8922,0,0,0,235840.25,251340
MultiDeviceSchedulerLocalRemoteRoundRobin08/0/1,4,0,1,1.0,48,12.0,15,0,0,4,11972.62371794872,19764,8832,11972.62371794872,19764,8832,0,0,0,222897.5,235078
MultiDeviceSchedulerLocalRemoteRoundRobin08/0/0,4,0,2,1.5,44,11.0,13,0,0,4,13582.647115384614,34964,8803,13582.647115384614,34964,8803,0,0,0,236544.25,247181
SingleDeviceSchedulerCloud15/0/2,6,1,7,1.0,348,29.0,31,174,174,7,2788.478342207081,7963,887,2835.173966291403,7963,1181,2508.3045977011493,7652,887,230059.42857142858,242402
SingleDeviceSchedulerCloud15/0/1,6,1,4,0.5714285714285714,302,25.166666666666668,33,151,151,7,2027.2593661389117,4718,1007,2072.878752769128,4718,1247,1753.5430463576158,4394,1007,224550.2857142857,239879
SingleDeviceSchedulerCloud15/0/0,6,1,5,0.7142857142857143,324,27.0,29,162,162,7,2547.762142178809,5578,1028,2603.5753798670466,5578,1289,2212.882716049383,5152,1028,229602.2857142857,237192
MultiDeviceSchedulerLocalRemoteRandom02/0/2,2,0,9,9.0,12,6.0,7,0,0,2,243867.5857142857,398001,10707,243867.5857142857,398001,10707,0,0,0,1157331.0,1408768
MultiDeviceSchedulerLocalRemoteRandom02/0/1,2,0,9,4.5,43,21.5,23,0,0,2,191600.74782608694,394673,10551,191600.74782608694,394673,10551,0,0,0,1523887.5,1600179
MultiDeviceSchedulerLocalRemoteRandom02/0/0,2,0,9,4.5,51,25.5,31,0,0,2,193506.86048387096,412335,10423,193506.86048387096,412335,10423,0,0,0,1534883.0,1589242
SingleDeviceSchedulerCloud04/0/2,1,1,1,0.5,20,10.0,10,10,10,2,1212.75,2618,705,1398.6,2618,1006,1026.9,2244,705,214350.0,214542
SingleDeviceSchedulerCloud04/0/1,1,1,1,0.5,26,13.0,13,13,13,2,1284.5,2694,704,1500.8461538461538,2694,993,1068.1538461538462,2281,704,214856.0,215030
SingleDeviceSchedulerCloud04/0/0,1,1,1,0.5,32,16.0,16,16,16,2,1267.59375,2546,716,1462.9375,2546,985,1072.25,2169,716,212694.5,212843
MultiDeviceSchedulerLocalRemoteRoundRobin16/0/2,8,0,3,2.0,85,10.625,20,0,0,8,15439.824107142857,34926,7538,15439.824107142857,34926,7538,0,0,0,231850.25,261052
MultiDeviceSchedulerLocalRemoteRoundRobin16/0/1,8,0,4,2.0,89,11.125,16,0,0,8,14548.914409722222,44035,7084,14548.914409722222,44035,7084,0,0,0,225101.25,245262
MultiDeviceSchedulerLocalRemoteRoundRobin16/0/0,8,0,4,2.625,83,10.375,12,0,0,8,17733.774463383837,43395,8892,17733.774463383837,43395,8892,0,0,0,216843.875,237489
MultiDeviceSchedulerLocalRemoteRoundRobin14/0/2,8,0,9,9.0,352,44.0,54,0,0,8,152592.5680402119,379864,9402,152592.5680402119,379864,9402,0,0,0,591364.625,613893
MultiDeviceSchedulerLocalRemoteRoundRobin14/0/1,8,0,9,9.0,376,47.0,57,0,0,8,178554.9691650548,455809,9666,178554.9691650548,455809,9666,0,0,0,645407.75,693009
MultiDeviceSchedulerLocalRemoteRoundRobin14/0/0,8,0,9,9.0,382,47.75,67,0,0,8,181347.53765472618,498000,9076,181347.53765472618,498000,9076,0,0,0,690153.5,725996
Single_EstimatedTimeScheduler20/0/2,8,0,2,1.125,17,2.125,17,0,0,8,12202.529411764706,18502,8847,12202.529411764706,18502,8847,0,0,0,40204.875,232941
Single_EstimatedTimeScheduler20/0/1,8,0,1,1.0,15,1.875,15,0,0,8,11995.933333333332,16888,8837,11995.933333333332,16888,8837,0,0,0,49260.25,211246
Single_EstimatedTimeScheduler20/0/0,8,0,1,1.0,15,1.875,15,0,0,8,11625.466666666667,16893,8922,11625.466666666667,16893,8922,0,0,0,47094.25,230519
SingleDeviceSchedulerCloud05/0/2,2,1,9,3.0,486,121.5,123,243,243,3,12869.649774164407,32573,1040,12975.252439024389,32573,1304,12658.444444444445,32288,1040,263407.0,264003
SingleDeviceSchedulerCloud05/0/1,2,1,9,3.0,494,123.5,135,247,247,3,11095.455812876207,24599,2208,11194.979265873015,24599,2567,10896.40890688259,24367,2208,256202.33333333334,257157
SingleDeviceSchedulerCloud05/0/0,2,1,9,3.0,490,122.5,126,245,245,3,7127.659828375795,19118,1037,7229.363211951448,19118,1284,6924.25306122449,18952,1037,254680.66666666666,255669
SingleDeviceSchedulerRemote03/0/2,2,0,9,4.5,28,14.0,28,0,0,2,49438.17857142857,126495,10467,49438.17857142857,126495,10467,0,0,0,362312.0,362396
SingleDeviceSchedulerRemote03/0/1,2,0,2,1.0,22,11.0,22,0,0,2,18327.5,30329,9483,18327.5,30329,9483,0,0,0,267530.0,267576
SingleDeviceSchedulerRemote03/0/0,2,0,3,1.5,19,9.5,19,0,0,2,13867.578947368422,32668,8808,13867.578947368422,32668,8808,0,0,0,244625.5,244775
Single_EstimatedTimeScheduler14/0/2,6,0,5,2.6666666666666665,51,8.5,51,0,0,6,17031.70588235294,47705,8817,17031.70588235294,47705,8817,0,0,0,148340.16666666666,247155
Single_EstimatedTimeScheduler14/0/1,6,0,3,1.8333333333333333,49,8.166666666666666,49,0,0,6,15209.0,34937,8833,15209.0,34937,8833,0,0,0,125389.5,254275
Single_EstimatedTimeScheduler14/0/0,6,0,5,2.3333333333333335,46,7.666666666666667,46,0,0,6,16581.304347826088,54240,8830,16581.304347826088,54240,8830,0,0,0,117118.66666666667,257222
MultiDeviceSchedulerLocalRemoteRoundRobin11/0/2,6,0,3,2.3333333333333335,97,16.166666666666668,22,0,0,6,15835.76442621706,32502,8966,15835.76442621706,32502,8966,0,0,0,197962.0,238885
MultiDeviceSchedulerLocalRemoteRoundRobin11/0/1,6,0,4,2.8333333333333335,136,22.666666666666668,27,0,0,6,22202.407747181616,55044,9067,22202.407747181616,55044,9067,0,0,0,258080.16666666666,281718
MultiDeviceSchedulerLocalRemoteRoundRobin11/0/0,6,0,4,2.8333333333333335,135,22.5,26,0,0,6,19665.067172242365,39328,8775,19665.067172242365,39328,8775,0,0,0,238852.5,245712
Single_MultiDeviceSchedulerLocalRemoteRandom04/0/2,2,0,2,1.0,13,6.5,13,0,0,2,12527.538461538461,23520,8938,12527.538461538461,23520,8938,0,0,0,190111.5,190220
Single_MultiDeviceSchedulerLocalRemoteRandom04/0/1,2,0,2,1.0,10,5.0,10,0,0,2,12058.4,21061,8809,12058.4,21061,8809,0,0,0,165054.5,165208
Single_MultiDeviceSchedulerLocalRemoteRandom04/0/0,2,0,1,0.5,7,3.5,7,0,0,2,9133.714285714286,10484,8622,9133.714285714286,10484,8622,0,0,0,184771.0,184977
Single_MultiDeviceSchedulerLocalRemoteRandom10/0/2,6,0,2,1.3333333333333333,45,7.5,45,0,0,6,12347.822222222223,26722,8646,12347.822222222223,26722,8646,0,0,0,233760.4,251036
Single_MultiDeviceSchedulerLocalRemoteRandom10/0/1,6,0,2,1.3333333333333333,51,8.5,51,0,0,6,12259.666666666666,23547,8747,12259.666666666666,23547,8747,0,0,0,204092.6,245504
Single_MultiDeviceSchedulerLocalRemoteRandom10/0/0,6,0,3,1.5,60,10.0,60,0,0,6,12801.4,35380,8599,12801.4,35380,8599,0,0,0,206911.2,242711
Single_MultiDeviceSchedulerLocalRemoteRandom03/0/2,2,0,9,4.5,26,13.0,26,0,0,2,58566.230769230766,136870,11540,58566.230769230766,136870,11540,0,0,0,359623.0,359888
